YYYY-MM,nCommits,nAuthors,timestamp
2013-10,11,1,1380585600
2013-11,5,1,1383264000
2014-01,1,1,1388534400
2014-06,93,4,1401580800
2014-07,283,8,1404172800
2014-08,302,20,1406851200
2014-09,135,14,1409529600
2014-10,9,6,1412121600
2014-11,80,18,1414800000
2014-12,59,11,1417392000
2015-01,44,12,1420070400
2015-02,180,16,1422748800
2015-03,156,8,1425168000
2015-04,157,13,1427846400
2015-05,175,6,1430438400
2015-06,54,5,1433116800
2015-07,11,5,1435708800
2015-08,28,4,1438387200
2015-09,10,5,1441065600
2015-10,25,6,1443657600
2015-11,40,7,1446336000
2015-12,88,4,1448928000
2016-01,74,7,1451606400
2016-02,102,8,1454284800
2016-03,71,10,1456790400
2016-04,84,14,1459468800
2016-05,85,9,1462060800
2016-06,32,6,1464739200
2016-07,36,9,1467331200
2016-08,68,12,1470009600
2016-09,56,9,1472688000
2016-10,24,9,1475280000
2016-11,18,9,1477958400
2016-12,68,11,1480550400
2017-01,80,17,1483228800
2017-02,57,14,1485907200
2017-03,57,10,1488326400
2017-04,58,14,1491004800
2017-05,202,21,1493596800
2017-06,276,11,1496275200
2017-07,311,13,1498867200
2017-08,451,11,1501545600
2017-09,457,14,1504224000
2017-10,268,21,1506816000
2017-11,77,13,1509494400
2017-12,126,13,1512086400
2018-01,166,15,1514764800
2018-02,127,19,1517443200
2018-03,110,19,1519862400
2018-04,129,19,1522540800
2018-05,184,21,1525132800
2018-06,192,21,1527811200
2018-07,153,12,1530403200
2018-08,159,18,1533081600
2018-09,84,16,1535760000
2018-10,57,14,1538352000
2018-11,41,16,1541030400
2018-12,106,24,1543622400
2019-01,142,21,1546300800
2019-02,71,17,1548979200
2019-03,147,19,1551398400
2019-04,87,20,1554076800
2019-05,58,17,1556668800
2019-06,197,25,1559347200
2019-07,73,14,1561939200
2019-08,108,12,1564617600
2019-09,63,11,1567296000
2019-10,75,16,1569888000
2019-11,55,14,1572566400
2019-12,11,5,1575158400
2020-01,32,7,1577836800
2020-02,28,10,1580515200
2020-03,66,9,1583020800
2020-04,73,11,1585699200
2020-05,43,10,1588291200
2020-06,38,6,1590969600
2020-07,50,9,1593561600
2020-08,64,9,1596240000
2020-09,43,7,1598918400
