YYYY-MM,nCommits,nAuthors,timestamp
2007-01,44,17,1167609600
2007-02,754,65,1170288000
2007-03,730,79,1172707200
2007-04,592,58,1175385600
2007-05,541,75,1177977600
2007-06,713,75,1180656000
2007-07,731,86,1183248000
2007-08,1204,98,1185926400
2007-09,1077,90,1188604800
2007-10,1023,105,1191196800
2007-11,1196,135,1193875200
2007-12,1170,102,1196467200
2008-01,997,112,1199145600
2008-02,1204,133,1201824000
2008-03,1022,128,1204329600
2008-04,1109,148,1207008000
2008-05,1374,146,1209600000
2008-06,1509,146,1212278400
2008-07,1735,191,1214870400
2008-08,1158,145,1217548800
2008-09,1578,150,1220227200
2008-10,1760,170,1222819200
2008-11,1344,149,1225497600
2008-12,1509,159,1228089600
2009-01,1876,168,1230768000
2009-02,1340,123,1233446400
2009-03,1722,179,1235865600
2009-04,1231,151,1238544000
2009-05,1372,159,1241136000
2009-06,1593,172,1243814400
2009-07,1647,188,1246406400
2009-08,1981,167,1249084800
2009-09,1226,172,1251763200
2009-10,1491,183,1254355200
2009-11,2095,199,1257033600
2009-12,1151,165,1259625600
2010-01,1190,146,1262304000
2010-02,1113,158,1264982400
2010-03,1451,184,1267401600
2010-04,1449,143,1270080000
2010-05,1292,159,1272672000
2010-06,1231,162,1275350400
2010-07,1100,154,1277942400
2010-08,1123,169,1280620800
2010-09,1585,166,1283299200
2010-10,1722,164,1285891200
2010-11,1904,195,1288569600
2010-12,1922,188,1291161600
2011-01,1709,174,1293840000
2011-02,1515,175,1296518400
2011-03,1512,193,1298937600
2011-04,1786,181,1301616000
2011-05,1884,194,1304208000
2011-06,1641,185,1306886400
2011-07,1664,148,1309478400
2011-08,2203,194,1312156800
2011-09,1676,155,1314835200
2011-10,1618,159,1317427200
2011-11,1981,181,1320105600
2011-12,1403,189,1322697600
2012-01,1387,185,1325376000
2012-02,1631,211,1328054400
2012-03,1798,185,1330560000
2012-04,1827,244,1333238400
2012-05,1757,205,1335830400
2012-06,2179,192,1338508800
2012-07,1589,179,1341100800
2012-08,1140,172,1343779200
2012-09,1227,146,1346457600
2012-10,1067,134,1349049600
2012-11,1646,164,1351728000
2012-12,1283,162,1354320000
2013-01,1272,152,1356998400
2013-02,1568,155,1359676800
2013-03,1391,156,1362096000
2013-04,1212,150,1364774400
2013-05,1091,159,1367366400
2013-06,1367,164,1370044800
2013-07,1344,178,1372636800
2013-08,1195,153,1375315200
2013-09,1045,152,1377993600
2013-10,1219,169,1380585600
2013-11,1397,161,1383264000
2013-12,1174,147,1385856000
2014-01,1427,166,1388534400
2014-02,1587,174,1391212800
2014-03,1279,130,1393632000
2014-04,913,145,1396310400
2014-05,1410,145,1398902400
2014-06,1100,136,1401580800
2014-07,1098,132,1404172800
2014-08,869,136,1406851200
2014-09,1256,150,1409529600
2014-10,1472,138,1412121600
2014-11,1252,151,1414800000
2014-12,1168,147,1417392000
2015-01,1430,159,1420070400
2015-02,939,166,1422748800
2015-03,1681,176,1425168000
2015-04,590,112,1427846400
2015-05,1167,147,1430438400
2015-06,1125,163,1433116800
2015-07,942,162,1435708800
2015-08,961,143,1438387200
2015-09,1196,154,1441065600
2015-10,1794,164,1443657600
2015-11,1254,144,1446336000
2015-12,973,152,1448928000
2016-01,1255,157,1451606400
2016-02,1360,143,1454284800
2016-03,1193,152,1456790400
2016-04,967,148,1459468800
2016-05,749,137,1462060800
2016-06,1106,161,1464739200
2016-07,924,129,1467331200
2016-08,830,146,1470009600
2016-09,1115,137,1472688000
2016-10,941,128,1475280000
2016-11,890,133,1477958400
2016-12,768,121,1480550400
2017-01,1140,142,1483228800
2017-02,1035,151,1485907200
2017-03,964,157,1488326400
2017-04,1185,128,1491004800
2017-05,904,128,1493596800
2017-06,1097,118,1496275200
2017-07,842,131,1498867200
2017-08,989,118,1501545600
2017-09,757,125,1504224000
2017-10,919,148,1506816000
2017-11,669,123,1509494400
2017-12,793,127,1512086400
2018-01,979,152,1514764800
2018-02,859,134,1517443200
2018-03,1251,175,1519862400
2018-04,988,150,1522540800
2018-05,1212,153,1525132800
2018-06,751,108,1527811200
2018-07,907,149,1530403200
2018-08,1020,124,1533081600
2018-09,1321,145,1535760000
2018-10,1454,156,1538352000
2018-11,892,125,1541030400
2018-12,616,124,1543622400
2019-01,1072,164,1546300800
2019-02,1387,148,1548979200
2019-03,964,113,1551398400
2019-04,1229,164,1554076800
2019-05,944,150,1556668800
2019-06,1018,144,1559347200
2019-07,873,143,1561939200
2019-08,938,135,1564617600
2019-09,1102,149,1567296000
2019-10,1213,153,1569888000
2019-11,1295,142,1572566400
2019-12,1086,140,1575158400
2020-01,861,133,1577836800
2020-02,718,108,1580515200
2020-03,321,58,1583020800
