YYYY-MM,nCommits,nAuthors,timestamp
2011-06,5,5,1306886400
2011-07,6,6,1309478400
2011-08,4,4,1312156800
2011-09,8,2,1314835200
2011-10,6,6,1317427200
2011-11,6,3,1320105600
2011-12,2,2,1322697600
2012-01,5,4,1325376000
2012-02,8,8,1328054400
2012-03,36,12,1330560000
2012-04,10,9,1333238400
2012-05,29,7,1335830400
2012-06,56,18,1338508800
2012-07,30,17,1341100800
2012-08,10,7,1343779200
2012-09,18,8,1346457600
2012-10,34,19,1349049600
2012-11,20,13,1351728000
2012-12,25,13,1354320000
2013-01,28,15,1356998400
2013-02,12,6,1359676800
2013-03,44,20,1362096000
2013-04,27,12,1364774400
2013-05,16,9,1367366400
2013-06,27,9,1370044800
2013-07,34,19,1372636800
2013-08,18,10,1375315200
2013-09,26,14,1377993600
2013-10,46,26,1380585600
2013-11,59,31,1383264000
2013-12,24,15,1385856000
2014-01,19,11,1388534400
2014-02,26,15,1391212800
2014-03,31,20,1393632000
2014-04,27,15,1396310400
2014-05,22,11,1398902400
2014-06,27,9,1401580800
2014-07,24,10,1404172800
2014-08,23,8,1406851200
2014-09,17,5,1409529600
2014-10,21,7,1412121600
2014-11,17,5,1414800000
2014-12,32,13,1417392000
2015-01,29,12,1420070400
2015-02,20,10,1422748800
2015-03,25,12,1425168000
2015-04,17,8,1427846400
2015-05,16,9,1430438400
2015-06,32,10,1433116800
2015-07,22,12,1435708800
2015-08,26,10,1438387200
2015-09,13,5,1441065600
2015-10,23,11,1443657600
2015-11,24,9,1446336000
2015-12,31,12,1448928000
2016-01,45,17,1451606400
2016-02,33,18,1454284800
2016-03,18,12,1456790400
2016-04,29,13,1459468800
2016-05,12,9,1462060800
2016-06,31,14,1464739200
2016-07,13,7,1467331200
2016-08,4,4,1470009600
2016-09,7,6,1472688000
2016-10,2,2,1475280000
2016-11,1,1,1477958400
2016-12,7,5,1480550400
2017-01,3,1,1483228800
2017-02,2,2,1485907200
2017-03,37,33,1488326400
2017-04,2,2,1491004800
2017-05,4,4,1493596800
2017-08,1,1,1501545600
2017-10,6,2,1506816000
