YYYY-MM,nCommits,nAuthors,timestamp
2014-08,115,2,1406851200
2014-09,17,1,1409529600
2014-11,6,2,1414800000
2014-12,20,2,1417392000
2015-01,26,2,1420070400
2015-02,6,1,1422748800
2015-03,34,1,1425168000
2015-04,1,1,1427846400
2015-05,41,1,1430438400
2015-06,28,2,1433116800
2015-07,39,1,1435708800
2015-08,47,2,1438387200
2015-09,28,1,1441065600
2015-10,30,2,1443657600
2015-11,11,1,1446336000
2015-12,25,2,1448928000
2016-01,72,2,1451606400
2016-02,44,1,1454284800
2016-03,24,2,1456790400
2016-04,79,1,1459468800
2016-05,45,1,1462060800
2016-06,57,2,1464739200
2016-07,142,8,1467331200
2016-08,120,8,1470009600
2016-09,135,4,1472688000
2016-10,70,4,1475280000
2016-11,73,3,1477958400
2016-12,105,3,1480550400
2017-01,69,4,1483228800
2017-02,28,3,1485907200
2017-03,39,2,1488326400
2017-04,31,2,1491004800
2017-05,43,1,1493596800
2017-06,114,2,1496275200
2017-07,86,4,1498867200
2017-08,64,3,1501545600
2017-09,80,2,1504224000
2017-10,108,6,1506816000
2017-11,104,6,1509494400
2017-12,116,4,1512086400
2018-01,41,3,1514764800
2018-02,74,3,1517443200
2018-03,140,5,1519862400
2018-04,61,3,1522540800
2018-05,64,5,1525132800
2018-06,91,6,1527811200
2018-07,115,2,1530403200
2018-08,74,6,1533081600
2018-09,76,4,1535760000
2018-10,67,6,1538352000
2018-11,66,5,1541030400
2018-12,74,4,1543622400
2019-01,147,4,1546300800
2019-02,101,4,1548979200
2019-03,23,2,1551398400
2019-04,59,4,1554076800
2019-05,67,7,1556668800
2019-06,23,3,1559347200
2019-07,48,4,1561939200
2019-08,60,3,1564617600
2019-09,13,3,1567296000
2019-10,71,4,1569888000
2019-11,11,3,1572566400
2019-12,30,4,1575158400
2020-01,11,4,1577836800
2020-02,15,2,1580515200
2020-03,25,3,1583020800
2020-04,34,3,1585699200
2020-05,16,2,1588291200
2020-06,24,3,1590969600
2020-07,43,3,1593561600
2020-08,40,5,1596240000
