YYYY-MM,nCommits,nAuthors,timestamp
2012-09,46,1,1346457600
2012-10,66,2,1349049600
2012-11,120,2,1351728000
2013-01,114,1,1356998400
2013-02,46,1,1359676800
2013-04,192,1,1364774400
2013-05,54,1,1367366400
2013-06,148,1,1370044800
2013-07,154,1,1372636800
2013-08,80,1,1375315200
2013-09,130,1,1377993600
2013-10,386,1,1380585600
2013-11,172,2,1383264000
2013-12,69,2,1385856000
2014-01,86,1,1388534400
2014-02,93,2,1391212800
2014-03,54,1,1393632000
2014-04,126,3,1396310400
2014-05,40,1,1398902400
2014-06,75,3,1401580800
2014-07,110,1,1404172800
2014-08,154,4,1406851200
2014-09,106,2,1409529600
2014-10,136,7,1412121600
2014-11,139,8,1414800000
2014-12,65,11,1417392000
2015-01,212,14,1420070400
2015-02,160,8,1422748800
2015-03,233,9,1425168000
2015-04,87,9,1427846400
2015-05,100,13,1430438400
2015-06,124,15,1433116800
2015-07,81,11,1435708800
2015-08,110,11,1438387200
2015-09,80,8,1441065600
2015-10,87,11,1443657600
2015-11,64,6,1446336000
2015-12,71,7,1448928000
2016-01,77,10,1451606400
2016-02,81,7,1454284800
2016-03,55,12,1456790400
2016-04,62,12,1459468800
2016-05,46,4,1462060800
2016-06,88,8,1464739200
2016-07,59,6,1467331200
2016-08,71,8,1470009600
2016-09,56,8,1472688000
2016-10,109,13,1475280000
2016-11,133,7,1477958400
2016-12,107,10,1480550400
2017-01,85,8,1483228800
2017-02,37,7,1485907200
2017-03,67,6,1488326400
2017-04,37,10,1491004800
2017-05,48,6,1493596800
2017-06,60,7,1496275200
2017-07,61,7,1498867200
2017-08,52,8,1501545600
2017-09,42,7,1504224000
2017-10,23,5,1506816000
2017-11,14,7,1509494400
2017-12,32,7,1512086400
2018-01,13,5,1514764800
2018-02,17,4,1517443200
2018-03,37,15,1519862400
2018-04,13,6,1522540800
2018-05,32,6,1525132800
2018-06,39,6,1527811200
2018-07,35,9,1530403200
2018-08,35,3,1533081600
2018-09,27,3,1535760000
2018-10,30,6,1538352000
2018-11,49,10,1541030400
2018-12,34,5,1543622400
2019-01,34,4,1546300800
2019-02,40,3,1548979200
2019-03,32,4,1551398400
2019-04,27,2,1554076800
2019-05,32,9,1556668800
2019-06,21,5,1559347200
2019-07,32,6,1561939200
2019-08,41,5,1564617600
2019-09,9,4,1567296000
2019-10,47,7,1569888000
2019-11,58,4,1572566400
2019-12,30,3,1575158400
2020-01,44,2,1577836800
2020-02,28,4,1580515200
2020-03,14,4,1583020800
2020-04,21,3,1585699200
2020-05,61,7,1588291200
2020-06,234,8,1590969600
2020-07,357,9,1593561600
2020-08,122,9,1596240000
2020-09,11,5,1598918400
