YYYY-MM,nCommits,nAuthors,timestamp
2002-07,13,3,1025481600
2002-08,96,1,1028160000
2002-09,92,1,1030838400
2002-10,84,2,1033430400
2002-11,76,1,1036108800
2002-12,66,2,1038700800
2003-01,100,2,1041379200
2003-02,74,2,1044057600
2003-03,42,2,1046476800
2003-04,56,1,1049155200
2003-05,52,2,1051747200
2003-06,63,2,1054425600
2003-07,98,3,1057017600
2003-08,44,4,1059696000
2003-09,66,4,1062374400
2003-10,56,4,1064966400
2003-11,39,3,1067644800
2003-12,102,5,1070236800
2004-01,134,5,1072915200
2004-02,76,4,1075593600
2004-03,80,5,1078099200
2004-04,74,3,1080777600
2004-05,26,4,1083369600
2004-06,56,3,1086048000
2004-07,52,5,1088640000
2004-08,60,3,1091318400
2004-09,124,5,1093996800
2004-10,38,3,1096588800
2004-11,60,3,1099267200
2004-12,24,3,1101859200
2005-01,78,3,1104537600
2005-02,38,2,1107216000
2005-03,100,3,1109635200
2005-04,44,2,1112313600
2005-05,62,3,1114905600
2005-06,190,3,1117584000
2005-07,136,3,1120176000
2005-08,106,3,1122854400
2005-09,108,3,1125532800
2005-10,148,3,1128124800
2005-11,173,5,1130803200
2005-12,120,4,1133395200
2006-01,116,3,1136073600
2006-02,64,4,1138752000
2006-03,90,3,1141171200
2006-04,370,5,1143849600
2006-05,280,4,1146441600
2006-06,110,5,1149120000
2006-07,186,5,1151712000
2006-08,127,3,1154390400
2006-09,68,4,1157068800
2006-10,178,4,1159660800
2006-11,214,5,1162339200
2006-12,69,3,1164931200
2007-01,91,2,1167609600
2007-02,86,3,1170288000
2007-03,60,2,1172707200
2007-04,81,4,1175385600
2007-05,80,4,1177977600
2007-06,82,3,1180656000
2007-07,169,5,1183248000
2007-08,106,3,1185926400
2007-09,50,2,1188604800
2007-10,2,1,1191196800
2007-11,42,2,1193875200
2007-12,20,3,1196467200
2008-01,76,4,1199145600
2008-02,52,3,1201824000
2008-03,100,3,1204329600
2008-04,153,3,1207008000
2008-05,32,3,1209600000
2008-06,86,3,1212278400
2008-07,62,2,1214870400
2008-08,212,3,1217548800
2008-09,230,3,1220227200
2008-10,108,3,1222819200
2008-11,24,3,1225497600
2008-12,10,2,1228089600
2009-01,4,1,1230768000
2009-02,26,1,1233446400
2009-03,24,2,1235865600
2009-04,30,1,1238544000
2009-05,10,1,1241136000
2009-06,52,1,1243814400
2009-07,104,2,1246406400
2009-08,66,2,1249084800
2009-09,60,2,1251763200
2009-10,32,1,1254355200
2009-11,24,1,1257033600
2009-12,34,1,1259625600
2010-01,38,2,1262304000
2010-02,50,2,1264982400
2010-03,20,1,1267401600
2010-04,64,1,1270080000
2010-05,38,2,1272672000
2010-06,102,2,1275350400
2010-07,12,1,1277942400
2010-08,26,1,1280620800
2010-09,12,1,1283299200
2010-10,32,2,1285891200
2010-11,4,1,1288569600
2011-01,4,1,1293840000
2011-02,6,1,1296518400
2011-03,16,1,1298937600
2011-04,6,1,1301616000
2011-05,6,1,1304208000
2011-06,12,1,1306886400
2011-07,20,3,1309478400
2011-08,2,2,1312156800
2011-09,20,2,1314835200
2011-10,22,2,1317427200
2011-11,50,2,1320105600
2011-12,22,2,1322697600
2012-01,32,2,1325376000
2012-02,2,2,1328054400
2012-03,28,2,1330560000
2012-04,6,2,1333238400
2012-05,22,2,1335830400
2012-06,2,2,1338508800
2012-07,4,2,1341100800
2012-08,18,2,1343779200
2012-09,12,3,1346457600
2012-11,14,2,1351728000
2012-12,48,5,1354320000
2013-01,81,4,1356998400
2013-02,124,4,1359676800
2013-03,78,4,1362096000
2013-04,8,2,1364774400
2013-05,6,3,1367366400
2013-06,38,1,1370044800
2013-07,188,6,1372636800
2013-08,178,6,1375315200
2013-09,86,6,1377993600
2013-10,32,3,1380585600
2013-11,36,5,1383264000
2013-12,64,5,1385856000
2014-01,68,5,1388534400
2014-02,80,5,1391212800
2014-03,44,5,1393632000
2014-04,72,5,1396310400
2014-05,40,6,1398902400
2014-06,62,5,1401580800
2014-07,16,3,1404172800
2014-08,4,3,1406851200
2014-09,70,2,1409529600
2014-10,26,2,1412121600
2014-11,8,2,1414800000
2014-12,40,2,1417392000
2015-01,30,4,1420070400
2015-02,10,1,1422748800
2015-03,14,1,1425168000
2015-04,10,2,1427846400
2015-05,4,2,1430438400
2015-06,18,2,1433116800
2015-07,16,5,1435708800
2015-08,22,5,1438387200
2015-09,26,6,1441065600
2015-10,2,1,1443657600
2015-11,8,2,1446336000
2015-12,11,4,1448928000
2016-01,31,10,1451606400
2016-02,23,4,1454284800
2016-03,6,5,1456790400
2016-04,11,5,1459468800
2016-05,7,3,1462060800
2016-07,2,2,1467331200
2016-08,5,4,1470009600
2016-09,1,1,1472688000
2016-10,5,4,1475280000
2016-11,1,1,1477958400
2016-12,24,3,1480550400
2017-01,13,5,1483228800
2017-02,2,2,1485907200
2017-03,8,3,1488326400
2017-04,2,2,1491004800
2017-05,2,1,1493596800
2017-06,28,8,1496275200
2017-07,6,3,1498867200
2017-08,5,2,1501545600
2017-09,14,4,1504224000
2017-10,12,4,1506816000
2017-11,135,7,1509494400
2017-12,81,7,1512086400
2018-01,5,3,1514764800
2018-02,1,1,1517443200
2018-03,7,4,1519862400
2018-04,28,5,1522540800
2018-05,82,4,1525132800
2018-06,100,3,1527811200
2018-07,80,6,1530403200
2018-08,25,4,1533081600
2018-09,12,5,1535760000
2018-10,38,5,1538352000
2018-11,69,6,1541030400
2018-12,87,9,1543622400
2019-01,18,7,1546300800
2019-02,67,6,1548979200
2019-03,83,4,1551398400
2019-04,26,5,1554076800
2019-05,36,5,1556668800
2019-06,15,1,1559347200
2019-07,13,5,1561939200
2019-08,48,4,1564617600
2019-09,5,3,1567296000
2019-10,28,4,1569888000
2019-11,21,2,1572566400
2019-12,69,4,1575158400
2020-01,113,7,1577836800
2020-02,98,6,1580515200
2020-03,42,5,1583020800
2020-04,78,5,1585699200
2020-05,103,5,1588291200
2020-06,63,6,1590969600
2020-07,41,5,1593561600
2020-08,68,6,1596240000
