YYYY-MM,nCommits,nAuthors,timestamp
2013-09,28,2,1377993600
2013-10,5,1,1380585600
2013-11,29,3,1383264000
2013-12,16,2,1385856000
2014-01,8,1,1388534400
2014-02,7,1,1391212800
2014-03,20,2,1393632000
2014-04,25,2,1396310400
2014-05,62,4,1398902400
2014-06,52,4,1401580800
2014-07,42,3,1404172800
2014-08,32,3,1406851200
2014-09,41,3,1409529600
2014-10,17,3,1412121600
2014-11,29,6,1414800000
2014-12,54,4,1417392000
2015-01,37,4,1420070400
2015-02,27,4,1422748800
2015-03,36,3,1425168000
2015-04,10,2,1427846400
2015-05,32,3,1430438400
2015-06,35,3,1433116800
2015-07,5,2,1435708800
2015-08,23,2,1438387200
2015-09,62,4,1441065600
2015-10,101,6,1443657600
2015-11,172,6,1446336000
2015-12,91,5,1448928000
2016-01,40,5,1451606400
2016-02,95,6,1454284800
2016-03,97,4,1456790400
2016-04,95,4,1459468800
2016-05,54,5,1462060800
2016-06,78,6,1464739200
2016-07,107,6,1467331200
2016-08,100,4,1470009600
2016-09,71,3,1472688000
2016-10,164,3,1475280000
2016-11,136,3,1477958400
2016-12,120,3,1480550400
2017-01,40,2,1483228800
2017-02,81,2,1485907200
2017-03,87,2,1488326400
2017-04,22,2,1491004800
2017-05,63,3,1493596800
2017-06,85,5,1496275200
2017-07,72,4,1498867200
2017-08,86,5,1501545600
2017-09,104,6,1504224000
2017-10,107,8,1506816000
2017-11,74,5,1509494400
2017-12,56,8,1512086400
2018-01,64,6,1514764800
2018-02,87,5,1517443200
2018-03,88,5,1519862400
2018-04,11,3,1522540800
2018-05,46,3,1525132800
2018-06,95,5,1527811200
2018-07,5,3,1530403200
2018-08,29,4,1533081600
2018-09,37,3,1535760000
2018-10,85,4,1538352000
2018-11,139,4,1541030400
2018-12,138,6,1543622400
2019-01,84,5,1546300800
2019-02,113,5,1548979200
2019-03,38,4,1551398400
2019-04,47,5,1554076800
2019-05,15,4,1556668800
2019-06,68,5,1559347200
2019-07,99,6,1561939200
2019-08,55,7,1564617600
2019-09,26,3,1567296000
2019-10,44,4,1569888000
2019-11,90,3,1572566400
2019-12,57,4,1575158400
2020-01,49,4,1577836800
2020-02,70,4,1580515200
2020-03,103,5,1583020800
2020-04,16,3,1585699200
2020-05,106,5,1588291200
2020-06,62,5,1590969600
2020-07,118,5,1593561600
2020-08,39,5,1596240000
2020-09,4,2,1598918400
