YYYY-MM,nCommits,nAuthors,timestamp
1998-10,1,1,907200000
2002-09,5,2,1030838400
2002-10,29,3,1033430400
2002-11,4,2,1036108800
2002-12,8,2,1038700800
2003-01,18,3,1041379200
2003-02,11,2,1044057600
2003-03,6,1,1046476800
2003-04,5,2,1049155200
2003-05,11,2,1051747200
2003-06,3,1,1054425600
2003-07,2,1,1057017600
2003-08,13,2,1059696000
2003-10,12,2,1064966400
2003-11,1,1,1067644800
2004-01,9,3,1072915200
2004-02,7,2,1075593600
2004-03,4,1,1078099200
2004-04,7,2,1080777600
2004-05,17,3,1083369600
2004-06,1,1,1086048000
2004-07,1,1,1088640000
2004-09,17,1,1093996800
2004-10,7,2,1096588800
2004-11,50,9,1099267200
2004-12,64,9,1101859200
2005-01,71,10,1104537600
2005-02,66,10,1107216000
2005-03,28,5,1109635200
2005-04,20,2,1112313600
2005-05,17,5,1114905600
2005-06,20,8,1117584000
2005-07,5,1,1120176000
2005-08,7,3,1122854400
2005-09,8,2,1125532800
2005-10,6,3,1128124800
2005-11,1,1,1130803200
2006-04,6,2,1143849600
2006-05,1,1,1146441600
2006-06,8,3,1149120000
2006-07,91,3,1151712000
2006-08,86,3,1154390400
2006-09,166,5,1157068800
2006-10,67,6,1159660800
2007-07,3,2,1183248000
2007-08,2,1,1185926400
2007-09,1,1,1188604800
2007-10,7,2,1191196800
2008-02,1,1,1201824000
2008-07,2,1,1214870400
2008-10,1,1,1222819200
2008-11,4,1,1225497600
2009-02,12,2,1233446400
2010-01,1,1,1262304000
2010-03,1,1,1267401600
2010-05,2,1,1272672000
2010-06,13,4,1275350400
2010-07,6,3,1277942400
2010-08,15,3,1280620800
2010-09,36,6,1283299200
2010-10,67,6,1285891200
2010-11,53,7,1288569600
2010-12,15,4,1291161600
2011-01,12,3,1293840000
2011-02,5,3,1296518400
2011-03,3,2,1298937600
2011-04,1,1,1301616000
2011-05,13,2,1304208000
2011-06,12,1,1306886400
2011-07,2,2,1309478400
2011-08,15,4,1312156800
2011-09,25,3,1314835200
2011-10,58,9,1317427200
2011-11,79,8,1320105600
2011-12,37,6,1322697600
2012-01,46,8,1325376000
2012-02,11,4,1328054400
2012-03,23,5,1330560000
2012-04,1,1,1333238400
2012-05,17,5,1335830400
2012-06,9,3,1338508800
2012-07,31,2,1341100800
2012-08,59,7,1343779200
2012-09,133,7,1346457600
2012-10,77,9,1349049600
2012-11,32,10,1351728000
2012-12,17,6,1354320000
2013-01,2,1,1356998400
2013-02,9,3,1359676800
2013-03,7,4,1362096000
2013-05,2,1,1367366400
2013-06,1,1,1370044800
2013-07,1,1,1372636800
2013-09,4,2,1377993600
2013-10,4,3,1380585600
2013-11,13,4,1383264000
2013-12,3,3,1385856000
2014-01,8,3,1388534400
2014-02,11,2,1391212800
2014-04,2,2,1396310400
2014-05,10,3,1398902400
2014-06,6,1,1401580800
2014-07,9,2,1404172800
2014-08,9,4,1406851200
2014-10,14,3,1412121600
2014-12,5,4,1417392000
2015-01,29,6,1420070400
2015-02,33,8,1422748800
2015-03,22,4,1425168000
2015-04,12,4,1427846400
2015-06,2,2,1433116800
2015-07,1,1,1435708800
2015-08,9,2,1438387200
2015-09,19,5,1441065600
2015-10,3,1,1443657600
2015-11,36,9,1446336000
2015-12,40,4,1448928000
2016-01,15,4,1451606400
2016-02,20,4,1454284800
2016-03,4,1,1456790400
2016-04,5,2,1459468800
2016-05,20,4,1462060800
2016-06,7,3,1464739200
2016-07,21,2,1467331200
2016-08,40,3,1470009600
2016-09,21,2,1472688000
2016-10,7,2,1475280000
2016-11,3,2,1477958400
2016-12,2,2,1480550400
2017-02,2,1,1485907200
2017-04,5,2,1491004800
2017-05,6,2,1493596800
2017-07,2,2,1498867200
2017-08,3,2,1501545600
2017-10,2,1,1506816000
2017-11,4,2,1509494400
2017-12,1,1,1512086400
2018-03,6,1,1519862400
2018-04,5,3,1522540800
2018-05,4,1,1525132800
2018-09,6,2,1535760000
2019-06,2,1,1559347200
