YYYY-MM,nCommits,nAuthors,timestamp
2014-09,41,6,1409529600
2014-10,72,2,1412121600
2014-11,12,2,1414800000
2015-01,33,4,1420070400
2015-02,18,4,1422748800
2015-04,33,6,1427846400
2015-05,108,4,1430438400
2015-06,286,16,1433116800
2015-07,87,12,1435708800
2015-08,174,12,1438387200
2015-09,106,8,1441065600
2015-10,48,8,1443657600
2015-11,42,8,1446336000
2015-12,207,6,1448928000
2016-01,312,10,1451606400
2016-02,226,14,1454284800
2016-03,138,12,1456790400
2016-04,292,8,1459468800
2016-05,171,6,1462060800
2016-06,127,6,1464739200
2016-07,60,8,1467331200
2016-08,186,6,1470009600
2016-09,87,8,1472688000
2016-10,270,14,1475280000
2016-11,219,6,1477958400
2016-12,300,6,1480550400
2017-01,270,6,1483228800
2017-02,130,8,1485907200
2017-03,228,12,1488326400
2017-04,470,14,1491004800
2017-05,349,16,1493596800
2017-06,313,14,1496275200
2017-07,148,12,1498867200
2017-08,189,11,1501545600
2017-09,193,14,1504224000
2017-10,102,6,1506816000
2017-11,98,6,1509494400
2017-12,110,8,1512086400
2018-01,34,6,1514764800
2018-02,10,4,1517443200
2018-03,23,4,1519862400
2018-04,9,4,1522540800
2018-05,19,3,1525132800
2018-06,19,5,1527811200
2018-07,10,2,1530403200
2018-08,9,1,1533081600
2018-09,13,1,1535760000
2018-10,11,2,1538352000
2018-11,12,1,1541030400
2019-01,81,3,1546300800
2019-02,22,2,1548979200
2019-03,38,1,1551398400
2019-04,5,2,1554076800
2019-05,19,1,1556668800
2019-06,1,1,1559347200
2019-07,8,3,1561939200
2019-08,2,1,1564617600
2020-05,2,1,1588291200
