YYYY-MM,nCommits,nAuthors,timestamp
2008-06,33,2,1212278400
2008-07,12,1,1214870400
2008-08,9,1,1217548800
2008-09,30,4,1220227200
2008-10,6,2,1222819200
2008-11,11,3,1225497600
2008-12,6,2,1228089600
2009-01,2,2,1230768000
2009-02,4,2,1233446400
2009-03,22,4,1235865600
2009-04,16,4,1238544000
2009-05,13,3,1241136000
2009-06,28,4,1243814400
2009-07,7,3,1246406400
2009-08,2,2,1249084800
2009-09,5,3,1251763200
2009-10,34,2,1254355200
2009-11,30,3,1257033600
2009-12,30,2,1259625600
2010-01,34,3,1262304000
2010-02,6,2,1264982400
2010-03,9,3,1267401600
2010-04,21,4,1270080000
2010-05,56,5,1272672000
2010-06,91,5,1275350400
2010-07,80,7,1277942400
2010-08,95,8,1280620800
2010-09,72,6,1283299200
2010-10,69,7,1285891200
2010-11,64,9,1288569600
2010-12,69,10,1291161600
2011-01,85,9,1293840000
2011-02,67,10,1296518400
2011-03,266,8,1298937600
2011-04,151,10,1301616000
2011-05,130,9,1304208000
2011-06,73,5,1306886400
2011-07,57,6,1309478400
2011-08,109,7,1312156800
2011-09,86,8,1314835200
2011-10,84,9,1317427200
2011-11,60,8,1320105600
2011-12,71,7,1322697600
2012-01,95,11,1325376000
2012-02,95,13,1328054400
2012-03,147,11,1330560000
2012-04,105,11,1333238400
2012-05,141,11,1335830400
2012-06,170,13,1338508800
2012-07,247,12,1341100800
2012-08,208,16,1343779200
2012-09,178,10,1346457600
2012-10,122,8,1349049600
2012-11,161,11,1351728000
2012-12,112,12,1354320000
2013-01,218,12,1356998400
2013-02,232,12,1359676800
2013-03,143,12,1362096000
2013-04,180,10,1364774400
2013-05,140,11,1367366400
2013-06,108,13,1370044800
2013-07,168,13,1372636800
2013-08,131,12,1375315200
2013-09,166,11,1377993600
2013-10,253,12,1380585600
2013-11,143,10,1383264000
2013-12,134,12,1385856000
2014-01,213,13,1388534400
2014-02,296,29,1391212800
2014-03,475,28,1393632000
2014-04,539,29,1396310400
2014-05,429,32,1398902400
2014-06,407,31,1401580800
2014-07,390,29,1404172800
2014-08,468,29,1406851200
2014-09,484,26,1409529600
2014-10,388,29,1412121600
2014-11,371,32,1414800000
2014-12,302,23,1417392000
2015-01,354,30,1420070400
2015-02,249,31,1422748800
2015-03,322,31,1425168000
2015-04,316,25,1427846400
2015-05,282,30,1430438400
2015-06,401,37,1433116800
2015-07,395,37,1435708800
2015-08,367,35,1438387200
2015-09,322,34,1441065600
2015-10,308,36,1443657600
2015-11,321,31,1446336000
2015-12,259,29,1448928000
2016-01,346,32,1451606400
2016-02,368,39,1454284800
2016-03,441,40,1456790400
2016-04,506,40,1459468800
2016-05,488,40,1462060800
2016-06,255,38,1464739200
2016-07,359,34,1467331200
2016-08,435,41,1470009600
2016-09,328,37,1472688000
2016-10,513,39,1475280000
2016-11,441,40,1477958400
2016-12,272,34,1480550400
2017-01,465,40,1483228800
2017-02,453,59,1485907200
2017-03,569,45,1488326400
2017-04,616,43,1491004800
2017-05,384,46,1493596800
2017-06,461,55,1496275200
2017-07,341,42,1498867200
2017-08,493,46,1501545600
2017-09,526,42,1504224000
2017-10,408,49,1506816000
2017-11,361,37,1509494400
2017-12,202,34,1512086400
2018-01,478,39,1514764800
2018-02,520,44,1517443200
2018-03,539,37,1519862400
2018-04,514,38,1522540800
2018-05,533,48,1525132800
2018-06,342,41,1527811200
2018-07,344,40,1530403200
2018-08,268,35,1533081600
2018-09,418,47,1535760000
2018-10,665,41,1538352000
2018-11,415,38,1541030400
2018-12,189,30,1543622400
2019-01,530,45,1546300800
2019-02,450,45,1548979200
2019-03,497,35,1551398400
2019-04,552,48,1554076800
2019-05,627,54,1556668800
2019-06,464,35,1559347200
2019-07,619,38,1561939200
2019-08,465,37,1564617600
2019-09,308,35,1567296000
2019-10,432,39,1569888000
2019-11,448,39,1572566400
2019-12,244,31,1575158400
2020-01,270,36,1577836800
2020-02,294,41,1580515200
2020-03,651,44,1583020800
2020-04,562,43,1585699200
2020-05,448,45,1588291200
2020-06,420,43,1590969600
2020-07,439,40,1593561600
2020-08,309,37,1596240000
2020-09,143,20,1598918400
