YYYY-MM,nCommits,nAuthors,timestamp
2010-06,33,1,1275350400
2010-07,42,1,1277942400
2010-08,116,2,1280620800
2010-09,155,2,1283299200
2010-10,62,1,1285891200
2010-11,54,1,1288569600
2010-12,11,1,1291161600
2011-01,30,1,1293840000
2011-02,93,1,1296518400
2011-03,65,1,1298937600
2011-04,55,1,1301616000
2011-05,61,1,1304208000
2011-06,11,1,1306886400
2011-07,27,1,1309478400
2011-08,27,1,1312156800
2011-09,65,1,1314835200
2011-10,55,1,1317427200
2011-11,28,1,1320105600
2011-12,16,1,1322697600
2012-01,54,1,1325376000
2012-02,38,1,1328054400
2012-03,44,1,1330560000
2012-04,49,1,1333238400
2012-05,22,1,1335830400
2012-06,19,1,1338508800
2012-07,4,1,1341100800
2012-09,41,1,1346457600
2012-10,7,1,1349049600
2012-11,1,1,1351728000
2013-01,10,1,1356998400
2013-02,20,1,1359676800
2013-03,51,2,1362096000
2013-04,13,2,1364774400
2013-05,1,1,1367366400
2013-06,4,1,1370044800
2013-07,27,3,1372636800
2013-08,14,4,1375315200
2013-09,23,1,1377993600
2013-10,7,1,1380585600
2013-12,40,2,1385856000
2014-01,10,2,1388534400
2014-02,2,1,1391212800
2014-03,7,3,1393632000
2014-04,2,1,1396310400
2014-05,7,1,1398902400
2014-07,1,1,1404172800
2014-08,22,5,1406851200
2014-09,8,5,1409529600
2014-10,1,1,1412121600
2014-11,2,2,1414800000
2014-12,2,1,1417392000
2015-01,6,2,1420070400
2015-02,31,5,1422748800
2015-03,7,2,1425168000
2015-04,1,1,1427846400
2015-08,12,3,1438387200
2015-10,3,2,1443657600
2016-01,1,1,1451606400
2016-02,3,3,1454284800
2016-03,2,1,1456790400
2016-05,41,3,1462060800
2016-06,27,3,1464739200
2016-07,13,1,1467331200
2016-08,3,2,1470009600
2016-09,2,1,1472688000
2016-10,7,2,1475280000
2016-11,2,1,1477958400
2016-12,1,1,1480550400
2017-03,4,4,1488326400
2017-09,1,1,1504224000
2017-10,18,2,1506816000
2017-11,30,2,1509494400
2017-12,1,1,1512086400
2018-02,26,3,1517443200
2018-03,7,5,1519862400
2018-04,1,1,1522540800
2018-06,2,1,1527811200
2018-07,5,3,1530403200
2018-08,6,2,1533081600
2018-10,10,6,1538352000
2018-11,1,1,1541030400
2018-12,41,9,1543622400
2019-01,27,6,1546300800
2019-02,11,7,1548979200
2019-03,4,4,1551398400
2020-01,1,1,1577836800
2020-02,4,4,1580515200
2020-03,13,5,1583020800
2020-04,1,1,1585699200
2020-05,2,2,1588291200
2020-06,1,1,1590969600
