YYYY-MM,nCommits,nAuthors,timestamp
2003-09,9305,20,1062374400
2003-10,27,2,1064966400
2003-11,2,1,1067644800
2004-01,13,1,1072915200
2004-02,101,4,1075593600
2004-03,240,2,1078099200
2004-04,279,3,1080777600
2004-05,213,5,1083369600
2004-06,240,4,1086048000
2004-07,60,2,1088640000
2004-08,28,6,1091318400
2004-09,84,7,1093996800
2004-10,53,2,1096588800
2004-11,101,6,1099267200
2004-12,14,1,1101859200
2005-01,151,4,1104537600
2005-02,355,5,1107216000
2005-03,85,2,1109635200
2005-04,196,4,1112313600
2005-05,172,4,1114905600
2005-06,64,6,1117584000
2005-07,108,6,1120176000
2005-08,135,4,1122854400
2005-09,127,6,1125532800
2005-10,103,6,1128124800
2005-11,78,6,1130803200
2005-12,129,5,1133395200
2006-01,193,4,1136073600
2006-02,68,4,1138752000
2006-03,150,4,1141171200
2006-04,149,5,1143849600
2006-05,109,5,1146441600
2006-06,78,6,1149120000
2006-07,101,7,1151712000
2006-08,96,6,1154390400
2006-09,123,8,1157068800
2006-10,92,6,1159660800
2006-11,239,8,1162339200
2006-12,103,11,1164931200
2007-01,258,9,1167609600
2007-02,205,9,1170288000
2007-03,186,9,1172707200
2007-04,122,4,1175385600
2007-05,233,5,1177977600
2007-06,201,6,1180656000
2007-07,197,4,1183248000
2007-08,98,3,1185926400
2007-09,164,7,1188604800
2007-10,78,5,1191196800
2007-11,120,7,1193875200
2007-12,30,6,1196467200
2008-01,121,12,1199145600
2008-02,56,8,1201824000
2008-03,51,8,1204329600
2008-04,117,8,1207008000
2008-05,93,8,1209600000
2008-06,162,10,1212278400
2008-07,138,10,1214870400
2008-08,68,7,1217548800
2008-09,288,10,1220227200
2008-10,406,11,1222819200
2008-11,239,9,1225497600
2008-12,134,8,1228089600
2009-01,314,9,1230768000
2009-02,213,7,1233446400
2009-03,242,8,1235865600
2009-04,194,7,1238544000
2009-05,106,3,1241136000
2009-06,136,6,1243814400
2009-07,98,6,1246406400
2009-08,75,6,1249084800
2009-09,21,4,1251763200
2009-10,113,6,1254355200
2009-11,125,7,1257033600
2009-12,90,8,1259625600
2010-01,105,6,1262304000
2010-02,27,6,1264982400
2010-03,59,7,1267401600
2010-04,85,7,1270080000
2010-05,28,3,1272672000
2010-06,38,7,1275350400
2010-07,31,6,1277942400
2010-08,28,3,1280620800
2010-09,10,1,1283299200
2010-10,24,3,1285891200
2010-11,61,7,1288569600
2010-12,41,4,1291161600
2011-01,17,2,1293840000
2011-02,34,1,1296518400
2011-03,57,1,1298937600
2011-04,13,1,1301616000
2011-05,4,2,1304208000
2011-07,1,1,1309478400
2011-08,22,3,1312156800
2011-09,89,3,1314835200
2011-10,29,2,1317427200
2011-11,54,4,1320105600
2011-12,17,2,1322697600
2012-01,20,1,1325376000
2012-02,8,1,1328054400
2012-03,13,1,1330560000
2012-04,1,1,1333238400
2012-05,13,1,1335830400
2012-06,33,1,1338508800
2012-07,2,1,1341100800
2012-08,10,1,1343779200
2012-09,4,1,1346457600
2012-10,23,2,1349049600
2012-12,2,1,1354320000
2013-02,9,1,1359676800
2013-03,7,1,1362096000
2013-04,8,1,1364774400
2013-05,16,1,1367366400
2013-06,14,1,1370044800
2013-07,23,1,1372636800
2013-08,4,1,1375315200
2013-09,8,1,1377993600
2013-10,9,1,1380585600
2013-11,13,1,1383264000
2013-12,15,1,1385856000
2014-01,2,1,1388534400
2014-02,1,1,1391212800
2014-03,4,1,1393632000
2014-04,19,2,1396310400
2014-05,12,1,1398902400
2014-06,15,2,1401580800
2014-07,5,1,1404172800
2014-09,51,1,1409529600
2014-10,55,1,1412121600
2014-11,47,1,1414800000
2014-12,37,1,1417392000
2015-01,23,1,1420070400
2015-02,23,1,1422748800
2015-03,40,1,1425168000
2015-04,39,1,1427846400
2015-05,16,1,1430438400
2015-06,22,1,1433116800
2015-07,28,1,1435708800
2015-08,15,1,1438387200
2015-09,42,1,1441065600
2015-10,68,1,1443657600
2015-11,29,1,1446336000
2015-12,21,1,1448928000
2016-01,34,1,1451606400
2016-02,10,1,1454284800
2016-03,64,1,1456790400
2016-04,15,1,1459468800
2016-05,38,1,1462060800
2016-06,56,1,1464739200
2016-07,10,1,1467331200
2016-08,38,1,1470009600
2016-09,66,2,1472688000
2016-10,32,2,1475280000
2016-11,34,1,1477958400
2016-12,13,1,1480550400
2017-02,10,1,1485907200
2017-03,73,2,1488326400
2017-04,95,1,1491004800
2017-05,99,1,1493596800
2017-06,87,1,1496275200
2017-07,1,1,1498867200
2017-08,19,1,1501545600
2017-09,63,1,1504224000
2017-10,51,3,1506816000
2017-11,118,2,1509494400
2017-12,26,1,1512086400
2018-01,27,1,1514764800
2018-02,21,1,1517443200
2018-03,65,1,1519862400
2018-04,4,1,1522540800
