YYYY-MM,nCommits,nAuthors,timestamp
2000-11,6,2,973036800
2000-12,9,3,975628800
2001-01,27,5,978307200
2001-02,49,7,980985600
2001-03,82,9,983404800
2001-04,43,8,986083200
2001-05,50,6,988675200
2001-06,92,7,991353600
2001-07,116,11,993945600
2001-08,25,4,996624000
2001-09,15,3,999302400
2001-10,66,12,1001894400
2001-11,96,10,1004572800
2001-12,64,6,1007164800
2002-01,89,9,1009843200
2002-02,98,11,1012521600
2002-03,138,10,1014940800
2002-04,228,17,1017619200
2002-05,289,15,1020211200
2002-06,179,18,1022889600
2002-07,331,22,1025481600
2002-08,33,10,1028160000
2002-09,114,15,1030838400
2002-10,228,17,1033430400
2002-11,248,21,1036108800
2002-12,212,10,1038700800
2003-01,147,16,1041379200
2003-02,66,8,1044057600
2003-03,53,6,1046476800
2003-04,187,18,1049155200
2003-05,88,11,1051747200
2003-06,259,18,1054425600
2003-07,240,15,1057017600
2003-08,58,7,1059696000
2003-09,55,11,1062374400
2003-10,193,10,1064966400
2003-11,182,12,1067644800
2003-12,170,14,1070236800
2004-01,162,13,1072915200
2004-02,247,15,1075593600
2004-03,359,18,1078099200
2004-04,337,13,1080777600
2004-05,193,15,1083369600
2004-06,256,14,1086048000
2004-07,305,12,1088640000
2004-08,132,10,1091318400
2004-09,125,11,1093996800
2004-10,180,9,1096588800
2004-11,211,15,1099267200
2004-12,159,16,1101859200
2005-01,335,13,1104537600
2005-02,295,18,1107216000
2005-03,231,18,1109635200
2005-04,291,19,1112313600
2005-05,322,23,1114905600
2005-06,383,20,1117584000
2005-07,396,24,1120176000
2005-08,95,12,1122854400
2005-09,165,20,1125532800
2005-10,345,22,1128124800
2005-11,356,22,1130803200
2005-12,445,25,1133395200
2006-01,481,34,1136073600
2006-02,800,31,1138752000
2006-03,777,29,1141171200
2006-04,430,27,1143849600
2006-05,526,27,1146441600
2006-06,558,25,1149120000
2006-07,393,22,1151712000
2006-08,434,24,1154390400
2006-09,405,26,1157068800
2006-10,575,33,1159660800
2006-11,419,28,1162339200
2006-12,338,24,1164931200
2007-01,351,28,1167609600
2007-02,480,30,1170288000
2007-03,667,34,1172707200
2007-04,328,31,1175385600
2007-05,440,28,1177977600
2007-06,458,27,1180656000
2007-07,502,36,1183248000
2007-08,383,31,1185926400
2007-09,552,37,1188604800
2007-10,633,44,1191196800
2007-11,761,45,1193875200
2007-12,590,37,1196467200
2008-01,540,36,1199145600
2008-02,779,44,1201824000
2008-03,514,44,1204329600
2008-04,676,41,1207008000
2008-05,761,38,1209600000
2008-06,939,49,1212278400
2008-07,1230,52,1214870400
2008-08,671,47,1217548800
2008-09,934,51,1220227200
2008-10,886,42,1222819200
2008-11,788,39,1225497600
2008-12,591,34,1228089600
2009-01,883,38,1230768000
2009-02,874,49,1233446400
2009-03,842,52,1235865600
2009-04,896,56,1238544000
2009-05,984,50,1241136000
2009-06,1028,57,1243814400
2009-07,1094,67,1246406400
2009-08,885,54,1249084800
2009-09,849,55,1251763200
2009-10,1167,73,1254355200
2009-11,1365,68,1257033600
2009-12,647,63,1259625600
2010-01,1001,68,1262304000
2010-02,1225,75,1264982400
2010-03,1230,72,1267401600
2010-04,1122,68,1270080000
2010-05,1177,67,1272672000
2010-06,990,61,1275350400
2010-07,710,69,1277942400
2010-08,998,60,1280620800
2010-09,1075,81,1283299200
2010-10,847,76,1285891200
2010-11,637,54,1288569600
2010-12,424,42,1291161600
2011-01,859,43,1293840000
2011-02,1561,99,1296518400
2011-03,1084,80,1298937600
2011-04,678,55,1301616000
2011-05,661,80,1304208000
2011-06,758,73,1306886400
2011-07,710,72,1309478400
2011-08,668,79,1312156800
2011-09,570,63,1314835200
2011-10,491,59,1317427200
2011-11,698,71,1320105600
2011-12,494,42,1322697600
2012-01,508,68,1325376000
2012-02,762,64,1328054400
2012-03,865,76,1330560000
2012-04,772,79,1333238400
2012-05,566,68,1335830400
2012-06,799,79,1338508800
2012-07,543,56,1341100800
2012-08,482,77,1343779200
2012-09,508,59,1346457600
2012-10,488,52,1349049600
2012-11,727,60,1351728000
2012-12,407,76,1354320000
2013-01,290,54,1356998400
2013-02,576,63,1359676800
2013-03,457,72,1362096000
2013-04,693,52,1364774400
2013-05,734,67,1367366400
2013-06,632,60,1370044800
2013-07,572,57,1372636800
2013-08,507,82,1375315200
2013-09,428,59,1377993600
2013-10,576,69,1380585600
2013-11,248,56,1383264000
2013-12,338,50,1385856000
2014-01,743,94,1388534400
2014-02,819,61,1391212800
2014-03,507,56,1393632000
2014-04,519,53,1396310400
2014-05,403,52,1398902400
2014-06,526,56,1401580800
2014-07,624,74,1404172800
2014-08,806,85,1406851200
2014-09,707,78,1409529600
2014-10,655,86,1412121600
2014-11,570,82,1414800000
2014-12,513,63,1417392000
2015-01,664,58,1420070400
2015-02,697,72,1422748800
2015-03,894,88,1425168000
2015-04,746,88,1427846400
2015-05,896,123,1430438400
2015-06,870,86,1433116800
2015-07,887,89,1435708800
2015-08,965,81,1438387200
2015-09,458,66,1441065600
2015-10,842,67,1443657600
2015-11,691,88,1446336000
2015-12,320,69,1448928000
