YYYY-MM,nCommits,nAuthors,timestamp
2009-01,7,1,1230768000
2009-02,5,2,1233446400
2009-03,5,2,1235865600
2009-04,4,1,1238544000
2009-05,1,1,1241136000
2009-06,15,2,1243814400
2009-07,2,1,1246406400
2009-08,10,2,1249084800
2009-09,10,1,1251763200
2009-10,13,2,1254355200
2009-11,16,2,1257033600
2009-12,30,2,1259625600
2010-01,11,1,1262304000
2010-02,17,2,1264982400
2010-03,47,5,1267401600
2010-04,52,4,1270080000
2010-05,10,4,1272672000
2010-06,63,4,1275350400
2010-07,7,2,1277942400
2010-08,8,2,1280620800
2010-09,6,3,1283299200
2010-10,23,3,1285891200
2010-11,26,2,1288569600
2010-12,31,2,1291161600
2011-01,56,4,1293840000
2011-02,78,5,1296518400
2011-03,74,10,1298937600
2011-04,131,8,1301616000
2011-05,45,3,1304208000
2011-06,16,4,1306886400
2011-07,48,5,1309478400
2011-08,47,5,1312156800
2011-09,80,7,1314835200
2011-10,39,6,1317427200
2011-11,18,4,1320105600
2011-12,32,2,1322697600
2012-01,111,8,1325376000
2012-02,212,11,1328054400
2012-03,159,9,1330560000
2012-04,165,11,1333238400
2012-05,21,4,1335830400
2012-06,31,5,1338508800
2012-07,28,4,1341100800
2012-08,44,5,1343779200
2012-09,114,7,1346457600
2012-10,26,5,1349049600
2012-11,39,3,1351728000
2012-12,85,6,1354320000
2013-01,77,4,1356998400
2013-02,55,7,1359676800
2013-03,44,5,1362096000
2013-04,33,6,1364774400
2013-05,53,6,1367366400
2013-06,25,5,1370044800
2013-07,162,8,1372636800
2013-08,67,8,1375315200
2013-09,46,4,1377993600
2013-10,63,4,1380585600
2013-11,80,6,1383264000
2013-12,39,3,1385856000
2014-01,70,5,1388534400
2014-02,23,4,1391212800
2014-03,106,8,1393632000
2014-04,88,17,1396310400
2014-05,42,11,1398902400
2014-06,112,11,1401580800
2014-07,96,16,1404172800
2014-08,60,12,1406851200
2014-09,116,11,1409529600
2014-10,106,7,1412121600
2014-11,55,7,1414800000
2014-12,35,8,1417392000
2015-01,57,8,1420070400
2015-02,52,6,1422748800
2015-03,23,6,1425168000
2015-04,14,5,1427846400
2015-05,105,6,1430438400
2015-06,136,7,1433116800
2015-07,173,9,1435708800
2015-08,122,6,1438387200
2015-09,102,6,1441065600
2015-10,164,9,1443657600
2015-11,85,6,1446336000
2015-12,888,10,1448928000
2016-01,127,5,1451606400
2016-02,99,5,1454284800
2016-03,93,5,1456790400
2016-04,96,6,1459468800
2016-05,40,5,1462060800
2016-06,60,5,1464739200
2016-07,105,2,1467331200
2016-08,84,5,1470009600
2016-09,142,6,1472688000
2016-10,131,6,1475280000
2016-11,48,5,1477958400
2016-12,108,8,1480550400
2017-01,54,5,1483228800
2017-02,62,6,1485907200
2017-03,301,15,1488326400
2017-04,154,11,1491004800
2017-05,136,7,1493596800
2017-06,161,11,1496275200
2017-07,150,9,1498867200
2017-08,74,4,1501545600
2017-09,39,4,1504224000
2017-10,90,7,1506816000
2017-11,85,6,1509494400
2017-12,78,6,1512086400
2018-01,99,5,1514764800
2018-02,117,7,1517443200
2018-03,46,7,1519862400
2018-04,50,5,1522540800
2018-05,59,6,1525132800
2018-06,152,11,1527811200
2018-07,143,5,1530403200
2018-08,169,6,1533081600
2018-09,226,9,1535760000
2018-10,95,8,1538352000
2018-11,70,7,1541030400
2018-12,92,7,1543622400
2019-01,117,9,1546300800
2019-02,167,12,1548979200
2019-03,116,9,1551398400
2019-04,113,11,1554076800
2019-05,261,12,1556668800
2019-06,214,12,1559347200
2019-07,75,6,1561939200
2019-08,95,10,1564617600
2019-09,286,15,1567296000
2019-10,176,8,1569888000
2019-11,119,10,1572566400
2019-12,147,10,1575158400
2020-01,172,11,1577836800
2020-02,87,11,1580515200
2020-03,134,8,1583020800
2020-04,196,11,1585699200
2020-05,302,23,1588291200
2020-06,271,13,1590969600
2020-07,223,12,1593561600
2020-08,289,22,1596240000
2020-09,69,10,1598918400
