YYYY-MM,nCommits,nAuthors,timestamp
2015-11,19,3,1446336000
2015-12,5,3,1448928000
2016-01,21,18,1451606400
2016-02,40,31,1454284800
2016-03,74,55,1456790400
2016-04,82,63,1459468800
2016-05,34,28,1462060800
2016-06,30,25,1464739200
2016-07,76,48,1467331200
2016-08,47,24,1470009600
2016-09,42,26,1472688000
2016-10,19,16,1475280000
2016-11,17,15,1477958400
2016-12,25,16,1480550400
2017-01,19,16,1483228800
2017-02,26,17,1485907200
2017-03,35,25,1488326400
2017-04,32,25,1491004800
2017-05,21,18,1493596800
2017-06,33,28,1496275200
2017-07,47,35,1498867200
2017-08,43,29,1501545600
2017-09,29,28,1504224000
2017-10,65,45,1506816000
2017-11,59,42,1509494400
2017-12,68,50,1512086400
2018-01,433,398,1514764800
2018-02,75,55,1517443200
2018-03,104,75,1519862400
2018-04,169,100,1522540800
2018-05,128,71,1525132800
2018-06,94,74,1527811200
2018-07,138,95,1530403200
2018-08,133,78,1533081600
2018-09,98,63,1535760000
2018-10,109,77,1538352000
2018-11,43,30,1541030400
2018-12,49,33,1543622400
2019-01,65,42,1546300800
2019-02,53,37,1548979200
2019-03,64,36,1551398400
2019-04,75,46,1554076800
2019-05,86,64,1556668800
2019-06,71,51,1559347200
2019-07,37,30,1561939200
2019-08,49,49,1564617600
2019-09,47,45,1567296000
2019-10,34,29,1569888000
2019-11,40,39,1572566400
2019-12,22,8,1575158400
2020-01,17,15,1577836800
2020-02,18,15,1580515200
2020-03,22,13,1583020800
2020-04,11,4,1585699200
2020-05,10,10,1588291200
2020-06,6,4,1590969600
2020-07,19,12,1593561600
2020-08,7,7,1596240000
