YYYY-MM,nCommits,nAuthors,timestamp
2015-12,7,5,1448928000
2016-01,14,4,1451606400
2016-02,53,43,1454284800
2016-03,72,61,1456790400
2016-04,45,35,1459468800
2016-05,52,38,1462060800
2016-06,37,28,1464739200
2016-07,53,33,1467331200
2016-08,33,19,1470009600
2016-09,43,28,1472688000
2016-10,19,12,1475280000
2016-11,22,17,1477958400
2016-12,29,18,1480550400
2017-01,33,22,1483228800
2017-02,18,14,1485907200
2017-03,21,11,1488326400
2017-04,40,27,1491004800
2017-05,35,29,1493596800
2017-06,46,30,1496275200
2017-07,38,30,1498867200
2017-08,116,79,1501545600
2017-09,107,83,1504224000
2017-10,106,70,1506816000
2017-11,133,79,1509494400
2017-12,110,58,1512086400
2018-01,451,384,1514764800
2018-02,125,61,1517443200
2018-03,162,106,1519862400
2018-04,113,64,1522540800
2018-05,113,77,1525132800
2018-06,151,85,1527811200
2018-07,146,84,1530403200
2018-08,161,85,1533081600
2018-09,124,52,1535760000
2018-10,101,63,1538352000
2018-11,134,46,1541030400
2018-12,112,43,1543622400
2019-01,80,35,1546300800
2019-02,71,30,1548979200
2019-03,62,35,1551398400
2019-04,51,18,1554076800
2019-05,67,18,1556668800
2019-06,37,21,1559347200
2019-07,48,24,1561939200
2019-08,47,13,1564617600
2019-09,21,11,1567296000
2019-10,21,11,1569888000
2019-11,26,6,1572566400
2019-12,14,5,1575158400
2020-01,22,9,1577836800
2020-02,7,6,1580515200
2020-03,15,8,1583020800
2020-04,3,2,1585699200
2020-05,5,5,1588291200
2020-06,4,3,1590969600
2020-07,4,3,1593561600
2020-08,2,2,1596240000
