YYYY-MM,nCommits,nAuthors,timestamp
2013-10,2,2,1380585600
2013-12,2,1,1385856000
2014-01,4,1,1388534400
2014-05,2,1,1398902400
2014-09,7,1,1409529600
2014-10,5,2,1412121600
2015-02,4,1,1422748800
2015-03,2,1,1425168000
2015-06,1,1,1433116800
2015-07,2,1,1435708800
2015-08,3,3,1438387200
2015-09,1,1,1441065600
2015-10,4,4,1443657600
2015-11,15,14,1446336000
2015-12,27,22,1448928000
2016-01,64,57,1451606400
2016-02,48,41,1454284800
2016-03,56,45,1456790400
2016-04,37,35,1459468800
2016-05,50,41,1462060800
2016-06,39,31,1464739200
2016-07,37,28,1467331200
2016-08,28,19,1470009600
2016-09,23,20,1472688000
2016-10,22,19,1475280000
2016-11,20,18,1477958400
2016-12,21,18,1480550400
2017-01,22,17,1483228800
2017-02,28,24,1485907200
2017-03,40,32,1488326400
2017-04,49,43,1491004800
2017-05,52,40,1493596800
2017-06,63,52,1496275200
2017-07,43,38,1498867200
2017-08,55,46,1501545600
2017-09,78,64,1504224000
2017-10,66,57,1506816000
2017-11,95,77,1509494400
2017-12,106,80,1512086400
2018-01,155,121,1514764800
2018-02,107,97,1517443200
2018-03,934,904,1519862400
2018-04,126,109,1522540800
2018-05,154,127,1525132800
2018-06,138,122,1527811200
2018-07,114,90,1530403200
2018-08,101,82,1533081600
2018-09,83,68,1535760000
2018-10,106,82,1538352000
2018-11,47,36,1541030400
2018-12,22,18,1543622400
2019-01,34,20,1546300800
2019-02,24,16,1548979200
2019-03,23,17,1551398400
2019-04,13,9,1554076800
2019-05,35,34,1556668800
2019-06,63,55,1559347200
2019-07,22,20,1561939200
2019-08,3,3,1564617600
2019-09,7,6,1567296000
2019-11,2,2,1572566400
