YYYY-MM,nCommits,nAuthors,timestamp
1969-12,3155,37,-2678400
1970-12,50,2,28857600
1971-06,25,1,44582400
1971-07,50,2,47174400
1971-12,25,1,60393600
1972-07,75,3,78796800
1972-09,25,1,84153600
1972-12,25,1,92016000
1973-12,25,1,123552000
1974-07,25,1,141868800
1975-07,50,2,173404800
1975-12,25,1,186624000
1976-06,25,1,202435200
1976-12,50,2,218246400
1977-06,25,1,233971200
1977-12,50,2,249782400
1978-03,25,1,257558400
1978-06,50,2,265507200
1978-12,25,1,281318400
1979-01,50,2,283996800
1980-07,50,1,331257600
1981-01,25,1,347155200
1981-05,25,1,357523200
1981-12,25,1,376012800
1982-02,25,1,381369600
1982-06,25,1,391737600
1982-07,25,1,394329600
1984-07,25,1,457488000
1984-09,25,1,462844800
1985-02,25,1,476064000
1985-06,25,1,486432000
1985-07,25,1,489024000
1985-10,25,1,496972800
1985-12,25,1,502243200
1986-01,25,1,504921600
1986-06,25,1,517968000
1987-07,50,2,552096000
1988-01,50,2,567993600
1989-07,25,1,615254400
1989-12,25,1,628473600
1990-01,50,2,631152000
1991-11,25,1,688953600
1992-07,50,2,709948800
1992-12,25,1,723168000
1993-01,50,2,725846400
1993-07,25,1,741484800
1993-08,25,1,744163200
1993-09,25,1,746841600
1993-12,25,1,754704000
1994-01,25,1,757382400
1994-02,50,2,760060800
1994-06,25,1,770428800
1994-07,50,2,773020800
1994-09,25,1,778377600
1994-12,25,1,786240000
1995-02,25,1,791596800
1995-05,25,1,799286400
1995-07,25,1,804556800
1996-05,25,1,830908800
1996-07,75,3,836179200
1996-12,25,1,849398400
1997-10,25,1,875664000
1998-02,25,1,886291200
1998-04,25,1,891388800
1998-05,50,2,893980800
1998-06,50,2,896659200
1998-07,25,1,899251200
1998-08,25,1,901929600
1999-01,25,1,915148800
1999-07,25,1,930787200
1999-11,25,1,941414400
1999-12,50,2,944006400
2000-03,25,1,951868800
2000-06,50,2,959817600
2000-12,25,1,975628800
2001-02,25,1,980985600
2001-05,50,2,988675200
2001-12,75,3,1007164800
2002-01,25,1,1009843200
2002-03,25,1,1014940800
2002-06,25,1,1022889600
2003-08,25,1,1059696000
2003-11,25,1,1067644800
2004-01,25,1,1072915200
2004-05,25,1,1083369600
2004-06,50,2,1086048000
2004-08,50,2,1091318400
2004-11,25,1,1099267200
2004-12,50,2,1101859200
2005-01,25,1,1104537600
2005-02,50,2,1107216000
2005-05,25,1,1114905600
2005-06,50,2,1117584000
2005-07,25,1,1120176000
2005-08,25,1,1122854400
2005-12,25,1,1133395200
2006-01,25,1,1136073600
2006-03,50,2,1141171200
2006-04,50,2,1143849600
2006-06,25,1,1149120000
2006-07,25,1,1151712000
2006-11,25,1,1162339200
2006-12,25,1,1164931200
2007-01,52,2,1167609600
2007-02,104,4,1170288000
2007-03,78,3,1172707200
2007-06,26,1,1180656000
2007-11,26,1,1193875200
2007-12,52,2,1196467200
2008-05,26,1,1209600000
2008-06,52,2,1212278400
2008-08,26,1,1217548800
2008-12,52,2,1228089600
2009-01,52,2,1230768000
2009-03,52,2,1235865600
2009-05,78,3,1241136000
2009-11,26,1,1257033600
2009-12,26,1,1259625600
2010-02,26,1,1264982400
2010-05,26,1,1272672000
2010-06,52,2,1275350400
2010-07,26,1,1277942400
2010-09,26,1,1283299200
2010-11,26,1,1288569600
2010-12,26,1,1291161600
2011-03,104,5,1298937600
2011-04,26,1,1301616000
2011-05,26,1,1304208000
2011-06,26,1,1306886400
2011-07,26,1,1309478400
2011-08,26,1,1312156800
2011-12,26,1,1322697600
2012-03,26,1,1330560000
2012-05,26,1,1335830400
2012-06,26,1,1338508800
2012-09,26,1,1346457600
2012-12,26,2,1354320000
2013-05,26,1,1367366400
2013-08,26,1,1375315200
2013-12,26,1,1385856000
2014-03,52,2,1393632000
2014-06,52,2,1401580800
2014-07,26,1,1404172800
2014-08,52,2,1406851200
2014-12,26,1,1417392000
2015-02,26,1,1422748800
2015-03,26,1,1425168000
2015-07,26,1,1435708800
2015-08,78,2,1438387200
2015-10,26,1,1443657600
2015-12,52,2,1448928000
2016-02,26,1,1454284800
2016-03,26,1,1456790400
2016-06,52,2,1464739200
2016-08,26,1,1470009600
2016-09,27,1,1472688000
2016-10,27,1,1475280000
2016-11,27,1,1477958400
2016-12,108,4,1480550400
2017-03,27,1,1488326400
2017-09,27,1,1504224000
2017-10,27,1,1506816000
2017-12,27,1,1512086400
2018-01,27,1,1514764800
2018-08,23,1,1533081600
2018-09,25,1,1535760000
2019-02,22,1,1548979200
2019-03,15,1,1551398400
2019-05,11,1,1556668800
2019-07,22,2,1561939200
2019-10,7,1,1569888000
2019-12,25,4,1575158400
2020-02,3,1,1580515200
2020-08,15,1,1596240000
2021-06,3,1,1622505600
