YYYY-MM,nCommits,nAuthors,timestamp
2015-01,2,1,1420070400
2015-02,2,1,1422748800
2015-03,4,2,1425168000
2015-05,2,1,1430438400
2015-12,4,1,1448928000
2016-06,8,1,1464739200
2016-07,6,3,1467331200
2016-08,8,4,1470009600
2016-09,1,1,1472688000
2016-10,4,2,1475280000
2016-12,1,1,1480550400
2017-01,11,5,1483228800
2017-02,113,6,1485907200
2017-03,487,11,1488326400
2017-04,137,10,1491004800
2017-05,75,9,1493596800
2017-06,559,14,1496275200
2017-07,543,16,1498867200
2017-08,418,13,1501545600
2017-09,123,12,1504224000
2017-10,283,13,1506816000
2017-11,42,11,1509494400
2017-12,53,8,1512086400
2018-01,114,10,1514764800
2018-02,76,7,1517443200
2018-03,37,8,1519862400
2018-04,185,10,1522540800
2018-05,11,5,1525132800
2018-06,269,13,1527811200
2018-07,583,16,1530403200
2018-08,319,12,1533081600
2018-09,447,15,1535760000
2018-10,302,15,1538352000
2018-11,911,18,1541030400
2018-12,194,14,1543622400
2019-01,294,15,1546300800
2019-02,206,12,1548979200
2019-03,248,19,1551398400
2019-04,278,18,1554076800
2019-05,249,20,1556668800
2019-06,428,19,1559347200
2019-07,153,10,1561939200
2019-08,390,18,1564617600
2019-09,438,16,1567296000
2019-10,559,18,1569888000
2019-11,414,22,1572566400
2019-12,141,10,1575158400
2020-01,196,13,1577836800
2020-02,132,18,1580515200
2020-03,210,16,1583020800
2020-04,409,14,1585699200
2020-05,33,10,1588291200
2020-06,83,11,1590969600
2020-07,70,11,1593561600
2020-08,72,11,1596240000
2020-09,5,2,1598918400
