YYYY-MM,nCommits,nAuthors,timestamp
2001-05,15,2,988675200
2001-06,27,1,991353600
2001-07,14,1,993945600
2001-08,23,1,996624000
2001-09,7,1,999302400
2001-10,21,1,1001894400
2002-02,1,1,1012521600
2002-03,7,2,1014940800
2002-04,10,1,1017619200
2002-05,8,1,1020211200
2002-06,1,1,1022889600
2002-07,2,1,1025481600
2002-08,1,1,1028160000
2002-10,4,1,1033430400
2004-05,21,1,1083369600
2004-06,1,1,1086048000
2004-08,12,1,1091318400
2004-09,1,1,1093996800
2004-11,23,1,1099267200
2005-01,4,1,1104537600
2005-02,6,1,1107216000
2005-03,5,1,1109635200
2005-05,1,1,1114905600
2005-07,4,1,1120176000
2005-08,7,1,1122854400
2005-09,11,1,1125532800
2005-10,4,1,1128124800
2005-12,2,1,1133395200
2006-10,99,2,1159660800
2006-11,35,2,1162339200
2006-12,6,2,1164931200
2007-01,2,1,1167609600
2007-03,1,1,1172707200
2007-04,1,1,1175385600
2007-06,2,1,1180656000
2007-08,2,1,1185926400
2007-10,1,1,1191196800
2007-12,1,1,1196467200
2008-01,2,1,1199145600
2008-02,1,1,1201824000
2008-03,16,1,1204329600
2008-08,1,1,1217548800
2008-11,13,2,1225497600
2008-12,68,2,1228089600
2009-01,4,2,1230768000
2009-02,11,2,1233446400
2009-03,4,1,1235865600
2009-05,5,2,1241136000
2009-09,16,2,1251763200
2009-10,5,1,1254355200
2009-12,1,1,1259625600
2010-01,2,1,1262304000
2010-02,3,2,1264982400
2010-04,4,1,1270080000
2010-11,5,1,1288569600
2010-12,3,1,1291161600
2011-01,1,1,1293840000
2011-02,1,1,1296518400
2011-03,1,1,1298937600
2011-06,3,1,1306886400
2011-11,7,1,1320105600
2011-12,2,1,1322697600
2012-01,4,1,1325376000
2012-06,3,1,1338508800
2012-10,18,1,1349049600
2012-11,40,2,1351728000
2012-12,1,1,1354320000
2013-01,8,2,1356998400
2013-02,18,3,1359676800
2013-04,6,1,1364774400
2013-07,4,1,1372636800
2013-09,63,2,1377993600
2013-10,37,2,1380585600
2013-11,7,1,1383264000
2013-12,122,1,1385856000
2014-01,104,1,1388534400
2014-02,36,1,1391212800
2014-03,1,1,1393632000
2014-04,1,1,1396310400
2014-05,15,1,1398902400
2014-06,32,1,1401580800
2014-07,11,1,1404172800
2014-08,6,1,1406851200
2014-09,1,1,1409529600
2014-11,4,1,1414800000
2015-03,5,1,1425168000
2015-05,2,1,1430438400
2015-06,6,1,1433116800
2015-07,6,1,1435708800
2015-08,5,1,1438387200
2015-09,7,1,1441065600
2015-12,35,6,1448928000
2016-01,2,2,1451606400
2016-02,8,3,1454284800
2016-03,27,5,1456790400
2016-04,9,4,1459468800
2016-05,3,1,1462060800
2016-06,14,3,1464739200
2016-07,6,2,1467331200
2016-09,2,1,1472688000
2016-10,4,2,1475280000
2016-11,25,5,1477958400
2016-12,77,4,1480550400
2017-01,6,4,1483228800
2017-02,5,3,1485907200
2017-03,4,1,1488326400
2017-04,1,1,1491004800
2017-05,17,5,1493596800
2017-06,1,1,1496275200
2017-07,3,1,1498867200
2017-08,40,5,1501545600
2017-09,6,2,1504224000
2017-10,12,1,1506816000
2017-11,13,3,1509494400
2017-12,1,1,1512086400
2018-01,3,3,1514764800
2018-02,1,1,1517443200
2018-03,1,1,1519862400
2018-06,8,2,1527811200
2018-07,19,3,1530403200
2018-08,15,7,1533081600
2018-11,6,4,1541030400
2018-12,1,1,1543622400
2019-01,7,6,1546300800
2019-02,2,2,1548979200
2019-04,1,1,1554076800
2019-05,20,6,1556668800
2019-06,71,3,1559347200
2019-07,4,2,1561939200
2019-08,18,3,1564617600
2019-09,27,2,1567296000
2019-10,43,5,1569888000
2019-11,4,4,1572566400
2019-12,1,1,1575158400
2020-01,23,3,1577836800
2020-02,15,4,1580515200
2020-03,22,3,1583020800
2020-04,2,2,1585699200
2020-05,17,4,1588291200
2020-06,46,4,1590969600
2020-07,12,4,1593561600
2020-08,15,3,1596240000
