YYYY-MM,nCommits,nAuthors,timestamp
2010-03,162,2,1267401600
2010-04,100,1,1270080000
2010-05,34,2,1272672000
2010-06,79,2,1275350400
2010-07,45,2,1277942400
2010-08,21,1,1280620800
2010-09,64,1,1283299200
2010-10,285,3,1285891200
2010-11,246,4,1288569600
2010-12,179,4,1291161600
2011-01,168,5,1293840000
2011-02,153,6,1296518400
2011-03,92,4,1298937600
2011-04,143,5,1301616000
2011-05,139,7,1304208000
2011-06,140,4,1306886400
2011-07,117,10,1309478400
2011-08,159,10,1312156800
2011-09,132,5,1314835200
2011-10,92,4,1317427200
2011-11,63,4,1320105600
2011-12,230,3,1322697600
2012-01,160,2,1325376000
2012-02,111,6,1328054400
2012-03,253,7,1330560000
2012-04,58,6,1333238400
2012-05,49,7,1335830400
2012-06,130,8,1338508800
2012-07,89,5,1341100800
2012-08,421,24,1343779200
2012-09,253,31,1346457600
2012-10,300,35,1349049600
2012-11,230,29,1351728000
2012-12,366,37,1354320000
2013-01,416,53,1356998400
2013-02,297,39,1359676800
2013-03,461,40,1362096000
2013-04,237,33,1364774400
2013-05,507,56,1367366400
2013-06,313,49,1370044800
2013-07,218,40,1372636800
2013-08,187,33,1375315200
2013-09,471,35,1377993600
2013-10,247,37,1380585600
2013-11,239,42,1383264000
2013-12,259,36,1385856000
2014-01,254,39,1388534400
2014-02,330,45,1391212800
2014-03,509,60,1393632000
2014-04,394,48,1396310400
2014-05,340,56,1398902400
2014-06,267,56,1401580800
2014-07,295,48,1404172800
2014-08,223,38,1406851200
2014-09,335,53,1409529600
2014-10,356,53,1412121600
2014-11,144,36,1414800000
2014-12,207,30,1417392000
2015-01,140,48,1420070400
2015-02,180,44,1422748800
2015-03,208,37,1425168000
2015-04,157,30,1427846400
2015-05,173,39,1430438400
2015-06,113,33,1433116800
2015-07,130,32,1435708800
2015-08,90,25,1438387200
2015-09,96,33,1441065600
2015-10,161,35,1443657600
2015-11,162,42,1446336000
2015-12,183,33,1448928000
2016-01,245,51,1451606400
2016-02,86,35,1454284800
2016-03,191,55,1456790400
2016-04,134,43,1459468800
2016-05,159,32,1462060800
2016-06,86,28,1464739200
2016-07,33,17,1467331200
2016-08,90,32,1470009600
2016-09,65,27,1472688000
2016-10,67,28,1475280000
2016-11,125,38,1477958400
2016-12,134,38,1480550400
2017-01,77,37,1483228800
2017-02,31,22,1485907200
2017-03,102,34,1488326400
2017-04,78,37,1491004800
2017-05,203,134,1493596800
2017-06,109,43,1496275200
2017-07,48,18,1498867200
2017-08,54,26,1501545600
2017-09,54,20,1504224000
2017-10,117,27,1506816000
2017-11,63,23,1509494400
2017-12,62,21,1512086400
2018-01,25,13,1514764800
2018-02,93,49,1517443200
2018-03,73,29,1519862400
2018-04,85,22,1522540800
2018-05,100,31,1525132800
2018-06,83,28,1527811200
2018-07,45,15,1530403200
2018-08,56,20,1533081600
2018-09,82,18,1535760000
2018-10,114,53,1538352000
2018-11,72,41,1541030400
2018-12,150,50,1543622400
2019-01,128,53,1546300800
2019-02,101,37,1548979200
2019-03,57,20,1551398400
2019-04,85,43,1554076800
2019-05,110,40,1556668800
2019-06,145,24,1559347200
2019-07,56,14,1561939200
2019-08,89,29,1564617600
2019-09,37,14,1567296000
2019-10,24,12,1569888000
2019-11,49,12,1572566400
2019-12,30,12,1575158400
2020-01,33,15,1577836800
2020-02,138,14,1580515200
2020-03,106,26,1583020800
2020-04,81,23,1585699200
2020-05,57,19,1588291200
2020-06,59,18,1590969600
2020-07,54,17,1593561600
2020-08,125,34,1596240000
2020-09,137,41,1598918400
