YYYY-MM,nCommits,nAuthors,timestamp
2011-08,56,6,1312156800
2011-09,150,6,1314835200
2011-10,114,7,1317427200
2011-11,80,7,1320105600
2011-12,95,6,1322697600
2012-01,99,10,1325376000
2012-02,101,11,1328054400
2012-03,16,7,1330560000
2012-04,89,9,1333238400
2012-05,51,5,1335830400
2012-06,180,7,1338508800
2012-07,200,10,1341100800
2012-08,207,7,1343779200
2012-09,119,8,1346457600
2012-10,61,9,1349049600
2012-11,48,7,1351728000
2012-12,42,6,1354320000
2013-01,114,10,1356998400
2013-02,87,5,1359676800
2013-03,190,5,1362096000
2013-04,206,5,1364774400
2013-05,280,7,1367366400
2013-06,124,6,1370044800
2013-07,276,6,1372636800
2013-08,195,6,1375315200
2013-09,270,7,1377993600
2013-10,340,6,1380585600
2013-11,246,8,1383264000
2013-12,102,8,1385856000
2014-01,147,8,1388534400
2014-02,125,8,1391212800
2014-03,70,7,1393632000
2014-04,97,8,1396310400
2014-05,328,11,1398902400
2014-06,413,7,1401580800
2014-07,468,10,1404172800
2014-08,228,10,1406851200
2014-09,302,10,1409529600
2014-10,451,17,1412121600
2014-11,231,13,1414800000
2014-12,167,15,1417392000
2015-01,177,12,1420070400
2015-02,297,15,1422748800
2015-03,383,17,1425168000
2015-04,200,14,1427846400
2015-05,216,16,1430438400
2015-06,184,19,1433116800
2015-07,167,11,1435708800
2015-08,110,13,1438387200
2015-09,235,16,1441065600
2015-10,273,9,1443657600
2015-11,216,11,1446336000
2015-12,182,9,1448928000
2016-01,265,13,1451606400
2016-02,311,10,1454284800
2016-03,333,15,1456790400
2016-04,360,21,1459468800
2016-05,357,29,1462060800
2016-06,354,24,1464739200
2016-07,283,19,1467331200
2016-08,263,20,1470009600
2016-09,268,17,1472688000
2016-10,318,20,1475280000
2016-11,380,20,1477958400
2016-12,406,19,1480550400
2017-01,237,19,1483228800
2017-02,262,21,1485907200
2017-03,380,34,1488326400
2017-04,289,22,1491004800
2017-05,328,25,1493596800
2017-06,269,17,1496275200
2017-07,317,15,1498867200
2017-08,327,17,1501545600
2017-09,390,17,1504224000
2017-10,340,30,1506816000
2017-11,338,21,1509494400
2017-12,228,20,1512086400
2018-01,327,27,1514764800
2018-02,499,23,1517443200
2018-03,479,23,1519862400
2018-04,479,14,1522540800
2018-05,568,20,1525132800
2018-06,875,25,1527811200
2018-07,623,32,1530403200
2018-08,539,22,1533081600
2018-09,359,25,1535760000
2018-10,425,22,1538352000
2018-11,325,22,1541030400
2018-12,206,15,1543622400
2019-01,263,19,1546300800
2019-02,311,22,1548979200
2019-03,470,23,1551398400
2019-04,538,30,1554076800
2019-05,926,23,1556668800
2019-06,610,13,1559347200
2019-07,465,12,1561939200
2019-08,455,14,1564617600
2019-09,402,20,1567296000
2019-10,367,20,1569888000
2019-11,177,16,1572566400
2019-12,70,16,1575158400
2020-01,51,12,1577836800
2020-02,15,10,1580515200
2020-03,57,11,1583020800
2020-04,53,9,1585699200
2020-05,52,8,1588291200
2020-06,109,21,1590969600
2020-07,48,12,1593561600
2020-08,26,6,1596240000
