YYYY-MM,nCommits,nAuthors,timestamp
2008-09,29,1,1220227200
2008-10,34,1,1222819200
2008-11,33,1,1225497600
2008-12,8,1,1228089600
2009-01,46,2,1230768000
2009-02,47,2,1233446400
2009-03,55,2,1235865600
2009-04,45,2,1238544000
2009-05,59,2,1241136000
2009-06,35,1,1243814400
2009-07,9,1,1246406400
2009-08,51,3,1249084800
2009-09,64,2,1251763200
2009-10,39,2,1254355200
2009-11,68,2,1257033600
2009-12,71,2,1259625600
2010-01,53,2,1262304000
2010-02,42,3,1264982400
2010-03,39,3,1267401600
2010-04,32,3,1270080000
2010-05,40,1,1272672000
2010-06,46,2,1275350400
2010-07,23,2,1277942400
2010-08,29,1,1280620800
2010-09,26,1,1283299200
2010-10,11,2,1285891200
2010-11,13,2,1288569600
2010-12,5,2,1291161600
2011-01,1,1,1293840000
2011-02,8,1,1296518400
2011-03,11,2,1298937600
2011-04,61,3,1301616000
2011-05,30,4,1304208000
2011-06,19,2,1306886400
2011-07,72,4,1309478400
2011-08,137,3,1312156800
2011-09,76,9,1314835200
2011-10,48,7,1317427200
2011-11,29,7,1320105600
2011-12,21,5,1322697600
2012-01,36,5,1325376000
2012-02,58,13,1328054400
2012-03,85,9,1330560000
2012-04,228,9,1333238400
2012-05,76,8,1335830400
2012-06,91,6,1338508800
2012-07,87,7,1341100800
2012-08,37,7,1343779200
2012-09,39,14,1346457600
2012-10,48,11,1349049600
2012-11,29,6,1351728000
2012-12,56,10,1354320000
2013-01,69,11,1356998400
2013-02,41,5,1359676800
2013-03,17,5,1362096000
2013-04,98,11,1364774400
2013-05,40,5,1367366400
2013-06,39,4,1370044800
2013-07,79,13,1372636800
2013-08,39,8,1375315200
2013-09,27,10,1377993600
2013-10,20,7,1380585600
2013-11,10,4,1383264000
2013-12,10,2,1385856000
2014-01,76,2,1388534400
2014-02,57,2,1391212800
2014-03,28,5,1393632000
2014-04,42,6,1396310400
2014-05,36,2,1398902400
2014-06,46,2,1401580800
2014-07,55,2,1404172800
2014-08,43,3,1406851200
2014-09,35,2,1409529600
2014-10,58,6,1412121600
2014-11,62,3,1414800000
2014-12,59,2,1417392000
2015-01,33,4,1420070400
2015-02,69,6,1422748800
2015-03,48,5,1425168000
2015-04,32,4,1427846400
2015-05,9,2,1430438400
2015-06,28,3,1433116800
2015-07,3,2,1435708800
2015-08,13,2,1438387200
2015-09,8,2,1441065600
2015-10,23,2,1443657600
2015-11,17,2,1446336000
2015-12,2,1,1448928000
2016-01,6,2,1451606400
2016-02,4,2,1454284800
2016-03,6,2,1456790400
2016-04,8,4,1459468800
2016-05,8,4,1462060800
2016-06,8,3,1464739200
2016-07,4,1,1467331200
2016-08,11,4,1470009600
2016-09,9,3,1472688000
2016-10,22,2,1475280000
2016-11,11,3,1477958400
2016-12,10,3,1480550400
2017-01,42,5,1483228800
2017-02,25,8,1485907200
2017-03,33,4,1488326400
2017-04,9,3,1491004800
2017-05,7,2,1493596800
2017-07,5,1,1498867200
2017-08,1,1,1501545600
2017-09,9,2,1504224000
2018-04,2,2,1522540800
2018-05,15,4,1525132800
2018-06,3,3,1527811200
2018-10,2,1,1538352000
2018-11,7,1,1541030400
2018-12,4,4,1543622400
2019-01,2,1,1546300800
