YYYY-MM,nCommits,nAuthors,timestamp
2010-07,48,3,1277942400
2010-08,10,2,1280620800
2010-09,9,2,1283299200
2010-10,5,1,1285891200
2010-11,15,4,1288569600
2010-12,166,9,1291161600
2011-01,182,9,1293840000
2011-02,348,12,1296518400
2011-03,471,10,1298937600
2011-04,159,8,1301616000
2011-05,17,3,1304208000
2011-06,64,5,1306886400
2011-07,219,3,1309478400
2011-08,235,5,1312156800
2011-09,55,4,1314835200
2011-10,8,4,1317427200
2011-11,48,8,1320105600
2011-12,7,4,1322697600
2012-01,1,1,1325376000
2012-02,33,5,1328054400
2012-03,47,6,1330560000
2012-04,45,4,1333238400
2012-05,23,4,1335830400
2012-06,46,5,1338508800
2012-07,41,5,1341100800
2012-08,36,3,1343779200
2012-09,97,6,1346457600
2012-10,39,3,1349049600
2012-11,6,2,1351728000
2012-12,12,4,1354320000
2013-01,2,2,1356998400
2013-02,16,2,1359676800
2013-03,8,4,1362096000
2013-06,12,4,1370044800
2013-07,6,3,1372636800
2013-08,5,1,1375315200
2013-09,27,4,1377993600
2013-10,5,3,1380585600
2013-11,4,3,1383264000
2013-12,1,1,1385856000
2014-01,4,4,1388534400
2014-02,4,2,1391212800
2014-03,4,2,1393632000
2014-04,12,2,1396310400
2014-05,3,2,1398902400
2014-06,27,8,1401580800
2014-07,46,4,1404172800
2014-08,66,7,1406851200
2014-09,31,9,1409529600
2014-10,50,7,1412121600
2014-11,41,9,1414800000
2014-12,92,6,1417392000
2015-01,34,4,1420070400
