YYYY-MM,nCommits,nAuthors,timestamp
2006-06,54,4,1149120000
2006-07,29,5,1151712000
2006-08,9,3,1154390400
2006-09,5,2,1157068800
2006-10,64,4,1159660800
2006-11,104,7,1162339200
2006-12,104,7,1164931200
2007-01,107,5,1167609600
2007-02,118,6,1170288000
2007-03,201,6,1172707200
2007-04,59,6,1175385600
2007-05,68,4,1177977600
2007-06,129,5,1180656000
2007-07,191,6,1183248000
2007-08,219,6,1185926400
2007-09,265,5,1188604800
2007-10,120,4,1191196800
2007-11,95,3,1193875200
2007-12,42,3,1196467200
2008-01,30,3,1199145600
2008-02,77,5,1201824000
2008-03,31,3,1204329600
2008-04,29,3,1207008000
2008-05,16,3,1209600000
2008-06,33,4,1212278400
2008-07,49,5,1214870400
2008-08,195,7,1217548800
2008-09,102,9,1220227200
2008-10,50,6,1222819200
2008-11,17,4,1225497600
2008-12,47,6,1228089600
2009-01,28,4,1230768000
2009-02,11,2,1233446400
2009-03,10,2,1235865600
2009-04,41,5,1238544000
2009-05,44,5,1241136000
2009-06,79,6,1243814400
2009-07,52,4,1246406400
2009-08,19,5,1249084800
2009-09,36,6,1251763200
2009-10,12,4,1254355200
2009-11,12,3,1257033600
2009-12,6,2,1259625600
2010-01,50,5,1262304000
2010-02,17,4,1264982400
2010-03,16,6,1267401600
2010-04,60,6,1270080000
2010-05,90,7,1272672000
2010-06,183,5,1275350400
2010-07,46,4,1277942400
2010-08,26,4,1280620800
2010-09,42,5,1283299200
2010-10,4,2,1285891200
2010-11,9,4,1288569600
2010-12,66,5,1291161600
2011-01,36,2,1293840000
2011-02,24,3,1296518400
2011-03,18,6,1298937600
2011-04,39,3,1301616000
2011-05,11,2,1304208000
2011-06,25,4,1306886400
2011-07,39,6,1309478400
2011-08,56,4,1312156800
2011-09,44,4,1314835200
2011-10,29,4,1317427200
2011-11,33,3,1320105600
2011-12,2,2,1322697600
2012-01,3,1,1325376000
2012-02,6,3,1328054400
2012-03,8,4,1330560000
2012-04,2,1,1333238400
2012-06,5,2,1338508800
2012-07,34,6,1341100800
2012-08,43,6,1343779200
2012-09,24,3,1346457600
2012-10,47,5,1349049600
2012-11,58,2,1351728000
2012-12,32,3,1354320000
2013-01,91,3,1356998400
2013-02,29,6,1359676800
2013-03,29,2,1362096000
2013-04,19,2,1364774400
2013-05,22,3,1367366400
2013-06,70,4,1370044800
2013-07,177,8,1372636800
2013-08,81,1,1375315200
2013-09,40,4,1377993600
2013-10,31,3,1380585600
2013-11,118,3,1383264000
2013-12,36,7,1385856000
2014-01,175,3,1388534400
2014-02,77,3,1391212800
2014-03,50,2,1393632000
2014-04,16,1,1396310400
2014-06,2,1,1401580800
2014-07,15,2,1404172800
2014-08,17,2,1406851200
2014-09,4,2,1409529600
2014-10,9,2,1412121600
2014-11,2,1,1414800000
2015-01,12,1,1420070400
2015-02,17,1,1422748800
2015-03,3,1,1425168000
2015-09,4,2,1441065600
2015-10,4,2,1443657600
2015-11,1,1,1446336000
2016-01,4,2,1451606400
2016-02,3,3,1454284800
2017-02,4,2,1485907200
2017-04,2,1,1491004800
2017-06,4,1,1496275200
2017-10,4,1,1506816000
2017-11,6,2,1509494400
2017-12,1,1,1512086400
2018-02,1,1,1517443200
2018-05,2,1,1525132800
