YYYY-MM,nCommits,nAuthors,timestamp
2014-08,6,2,1406851200
2014-09,3,1,1409529600
2014-10,21,7,1412121600
2014-11,25,6,1414800000
2014-12,43,6,1417392000
2015-01,121,8,1420070400
2015-02,72,5,1422748800
2015-03,29,4,1425168000
2015-04,30,6,1427846400
2015-05,92,6,1430438400
2015-06,20,3,1433116800
2015-07,16,4,1435708800
2015-08,17,7,1438387200
2015-09,278,9,1441065600
2015-10,316,14,1443657600
2015-11,219,13,1446336000
2015-12,188,16,1448928000
2016-01,63,10,1451606400
2016-02,57,11,1454284800
2016-03,54,14,1456790400
2016-04,58,12,1459468800
2016-05,72,6,1462060800
2016-06,39,13,1464739200
2016-07,80,9,1467331200
2016-08,52,12,1470009600
2016-09,47,8,1472688000
2016-10,138,18,1475280000
2016-11,43,7,1477958400
2016-12,10,3,1480550400
2017-01,23,8,1483228800
2017-02,17,5,1485907200
2017-03,38,14,1488326400
2017-04,32,10,1491004800
2017-05,40,14,1493596800
2017-06,8,7,1496275200
2017-07,27,8,1498867200
2017-08,34,12,1501545600
2017-09,51,12,1504224000
2017-10,85,16,1506816000
2017-11,121,15,1509494400
2017-12,28,7,1512086400
2018-01,28,8,1514764800
2018-02,41,10,1517443200
2018-03,74,8,1519862400
2018-04,17,7,1522540800
2018-05,86,15,1525132800
2018-06,75,16,1527811200
2018-07,269,17,1530403200
2018-08,592,18,1533081600
2018-09,29,8,1535760000
2018-10,129,13,1538352000
2018-11,58,9,1541030400
2018-12,126,15,1543622400
2019-01,284,19,1546300800
2019-02,150,24,1548979200
2019-03,61,14,1551398400
2019-04,112,18,1554076800
2019-05,176,22,1556668800
2019-06,346,25,1559347200
2019-07,162,19,1561939200
2019-08,240,20,1564617600
2019-09,116,12,1567296000
2019-10,71,12,1569888000
2019-11,93,18,1572566400
2019-12,69,12,1575158400
2020-01,46,13,1577836800
2020-02,54,13,1580515200
2020-03,73,17,1583020800
2020-04,40,18,1585699200
2020-05,193,19,1588291200
2020-06,118,19,1590969600
2020-07,123,22,1593561600
2020-08,191,37,1596240000
2020-09,220,43,1598918400
