YYYY-MM,nCommits,nAuthors,timestamp
2010-04,89,8,1270080000
2010-05,71,9,1272672000
2010-06,118,4,1275350400
2010-07,77,8,1277942400
2010-08,89,6,1280620800
2010-09,91,11,1283299200
2010-10,78,10,1285891200
2010-11,120,11,1288569600
2010-12,185,15,1291161600
2011-01,172,14,1293840000
2011-02,149,14,1296518400
2011-03,55,6,1298937600
2011-04,17,3,1301616000
2011-05,14,5,1304208000
2011-06,17,3,1306886400
2011-07,136,8,1309478400
2011-08,66,7,1312156800
2011-09,105,8,1314835200
2011-10,25,3,1317427200
2011-11,40,5,1320105600
2011-12,43,8,1322697600
2012-01,71,12,1325376000
2012-02,157,15,1328054400
2012-03,21,8,1330560000
2012-04,41,5,1333238400
2012-05,8,5,1335830400
2012-06,16,6,1338508800
2012-07,64,11,1341100800
2012-08,57,5,1343779200
2012-09,79,3,1346457600
2012-10,43,7,1349049600
2012-11,58,9,1351728000
2012-12,33,10,1354320000
2013-01,93,7,1356998400
2013-02,45,8,1359676800
2013-03,13,3,1362096000
2013-04,94,7,1364774400
2013-05,202,7,1367366400
2013-06,188,9,1370044800
2013-07,193,14,1372636800
2013-08,308,12,1375315200
2013-09,79,8,1377993600
2013-10,74,6,1380585600
2013-11,22,7,1383264000
2013-12,145,7,1385856000
2014-01,112,8,1388534400
2014-02,217,10,1391212800
2014-03,60,12,1393632000
2014-04,49,6,1396310400
2014-05,192,10,1398902400
2014-06,181,12,1401580800
2014-07,178,10,1404172800
2014-08,173,9,1406851200
2014-09,47,8,1409529600
2014-10,138,7,1412121600
2014-11,192,9,1414800000
2014-12,328,14,1417392000
2015-01,33,10,1420070400
2015-02,220,10,1422748800
2015-03,265,13,1425168000
2015-04,273,11,1427846400
2015-05,203,8,1430438400
2015-06,133,9,1433116800
2015-07,121,11,1435708800
2015-08,139,13,1438387200
2015-09,216,10,1441065600
2015-10,573,18,1443657600
2015-11,301,13,1446336000
2015-12,308,14,1448928000
2016-01,356,20,1451606400
2016-02,294,14,1454284800
2016-03,363,14,1456790400
2016-04,323,17,1459468800
2016-05,214,17,1462060800
2016-06,400,19,1464739200
2016-07,214,11,1467331200
2016-08,143,14,1470009600
2016-09,138,15,1472688000
2016-10,124,14,1475280000
2016-11,154,14,1477958400
2016-12,161,12,1480550400
2017-01,177,15,1483228800
2017-02,413,27,1485907200
2017-03,634,19,1488326400
2017-04,483,19,1491004800
2017-05,476,36,1493596800
2017-06,340,25,1496275200
2017-07,355,23,1498867200
2017-08,377,26,1501545600
2017-09,218,17,1504224000
2017-10,211,20,1506816000
2017-11,185,18,1509494400
2017-12,185,17,1512086400
2018-01,388,17,1514764800
2018-02,259,14,1517443200
2018-03,298,20,1519862400
2018-04,206,21,1522540800
2018-05,224,24,1525132800
2018-06,225,19,1527811200
2018-07,120,16,1530403200
2018-08,192,14,1533081600
2018-09,111,15,1535760000
2018-10,273,13,1538352000
2018-11,185,18,1541030400
2018-12,202,18,1543622400
2019-01,248,17,1546300800
2019-02,157,16,1548979200
2019-03,131,15,1551398400
2019-04,327,23,1554076800
2019-05,327,23,1556668800
2019-06,251,20,1559347200
2019-07,347,21,1561939200
2019-08,361,20,1564617600
2019-09,367,19,1567296000
2019-10,431,32,1569888000
2019-11,418,31,1572566400
2019-12,434,38,1575158400
2020-01,206,22,1577836800
2020-02,340,26,1580515200
2020-03,321,22,1583020800
2020-04,206,21,1585699200
2020-05,217,29,1588291200
2020-06,305,22,1590969600
2020-07,163,17,1593561600
2020-08,174,18,1596240000
2020-09,63,27,1598918400
