YYYY-MM,nCommits,nAuthors,timestamp
2014-02,8,3,1391212800
2014-03,3,2,1393632000
2014-04,13,1,1396310400
2014-05,12,3,1398902400
2014-06,16,1,1401580800
2014-07,19,2,1404172800
2014-08,44,3,1406851200
2014-09,38,7,1409529600
2014-10,23,5,1412121600
2014-11,26,9,1414800000
2014-12,80,14,1417392000
2015-01,39,5,1420070400
2015-02,53,7,1422748800
2015-03,126,9,1425168000
2015-04,40,7,1427846400
2015-05,137,13,1430438400
2015-06,37,8,1433116800
2015-07,77,10,1435708800
2015-08,41,6,1438387200
2015-09,137,7,1441065600
2015-10,85,5,1443657600
2015-11,84,11,1446336000
2015-12,84,8,1448928000
2016-01,30,5,1451606400
2016-02,78,8,1454284800
2016-03,99,8,1456790400
2016-04,35,6,1459468800
2016-05,93,12,1462060800
2016-06,83,5,1464739200
2016-07,84,5,1467331200
2016-08,49,8,1470009600
2016-09,109,7,1472688000
2016-10,100,12,1475280000
2016-11,47,13,1477958400
2016-12,55,7,1480550400
2017-01,79,8,1483228800
2017-02,108,8,1485907200
2017-03,115,13,1488326400
2017-04,111,18,1491004800
2017-05,95,16,1493596800
2017-06,116,18,1496275200
2017-07,115,9,1498867200
2017-08,40,7,1501545600
2017-09,145,12,1504224000
2017-10,146,14,1506816000
2017-11,181,27,1509494400
2017-12,169,9,1512086400
2018-01,123,15,1514764800
2018-02,116,20,1517443200
2018-03,107,15,1519862400
2018-04,119,14,1522540800
2018-05,132,14,1525132800
2018-06,74,9,1527811200
2018-07,64,9,1530403200
2018-08,48,6,1533081600
2018-09,127,18,1535760000
2018-10,123,12,1538352000
2018-11,60,10,1541030400
2018-12,100,10,1543622400
2019-01,100,13,1546300800
2019-02,92,11,1548979200
2019-03,109,11,1551398400
2019-04,78,18,1554076800
2019-05,118,8,1556668800
2019-06,86,18,1559347200
2019-07,53,13,1561939200
2019-08,71,17,1564617600
2019-09,136,29,1567296000
2019-10,137,17,1569888000
2019-11,96,17,1572566400
2019-12,86,14,1575158400
2020-01,96,13,1577836800
2020-02,99,14,1580515200
2020-03,146,20,1583020800
2020-04,159,26,1585699200
2020-05,194,40,1588291200
2020-06,175,32,1590969600
2020-07,72,19,1593561600
2020-08,36,12,1596240000
2020-09,33,8,1598918400
