YYYY-MM,nCommits,nAuthors,timestamp
2016-06,206,12,1464739200
2016-07,66,7,1467331200
2016-08,204,14,1470009600
2016-09,279,12,1472688000
2016-10,378,20,1475280000
2016-11,550,23,1477958400
2016-12,260,24,1480550400
2017-01,434,23,1483228800
2017-02,427,27,1485907200
2017-03,738,32,1488326400
2017-04,748,35,1491004800
2017-05,599,38,1493596800
2017-06,877,50,1496275200
2017-07,842,39,1498867200
2017-08,791,37,1501545600
2017-09,662,33,1504224000
2017-10,427,31,1506816000
2017-11,513,25,1509494400
2017-12,595,34,1512086400
2018-01,654,36,1514764800
2018-02,614,21,1517443200
2018-03,478,27,1519862400
2018-04,232,26,1522540800
2018-05,84,20,1525132800
2018-06,215,29,1527811200
2018-07,293,31,1530403200
2018-08,295,30,1533081600
2018-09,277,35,1535760000
2018-10,256,41,1538352000
2018-11,208,34,1541030400
2018-12,402,33,1543622400
2019-01,289,38,1546300800
2019-02,201,31,1548979200
2019-03,293,19,1551398400
2019-04,174,33,1554076800
2019-05,247,30,1556668800
2019-06,267,40,1559347200
2019-07,197,30,1561939200
2019-08,170,22,1564617600
2019-09,121,22,1567296000
2019-10,41,12,1569888000
2019-11,9,4,1572566400
2019-12,45,5,1575158400
2020-01,68,13,1577836800
2020-02,57,18,1580515200
2020-03,55,6,1583020800
2020-04,19,6,1585699200
2020-05,10,3,1588291200
2020-06,38,4,1590969600
2020-07,23,5,1593561600
2020-08,94,18,1596240000
2020-09,13,5,1598918400
