YYYY-MM,nCommits,nAuthors,timestamp
2010-08,116,1,1280620800
2010-09,119,2,1283299200
2010-10,156,1,1285891200
2010-11,134,1,1288569600
2010-12,9,1,1291161600
2011-01,5,1,1293840000
2011-02,35,1,1296518400
2011-03,50,1,1298937600
2011-04,77,1,1301616000
2011-05,17,1,1304208000
2011-06,72,2,1306886400
2011-07,124,1,1309478400
2011-08,179,1,1312156800
2011-09,87,1,1314835200
2011-10,15,1,1317427200
2011-11,8,2,1320105600
2011-12,3,1,1322697600
2012-01,5,1,1325376000
2012-03,3,1,1330560000
2012-04,17,1,1333238400
2012-05,5,1,1335830400
2012-06,4,1,1338508800
2012-07,2,1,1341100800
2012-09,52,3,1346457600
2012-10,139,3,1349049600
2012-11,34,2,1351728000
2012-12,8,2,1354320000
2013-01,98,3,1356998400
2013-02,52,2,1359676800
2013-03,16,2,1362096000
2013-04,9,1,1364774400
2013-05,3,1,1367366400
2013-06,8,3,1370044800
2013-07,7,1,1372636800
2013-08,23,2,1375315200
2013-09,29,1,1377993600
2013-10,37,2,1380585600
2013-11,83,2,1383264000
2013-12,39,1,1385856000
2014-01,52,2,1388534400
2014-02,53,2,1391212800
2014-03,23,1,1393632000
2014-04,12,2,1396310400
2014-05,24,1,1398902400
2014-06,15,2,1401580800
2014-07,21,2,1404172800
2014-08,8,1,1406851200
2014-09,6,1,1409529600
2014-10,6,1,1412121600
2014-11,18,3,1414800000
2014-12,1,1,1417392000
2015-02,1,1,1422748800
2015-04,4,1,1427846400
2015-05,1,1,1430438400
2015-06,4,1,1433116800
2015-07,3,1,1435708800
2015-09,4,1,1441065600
2015-10,2,1,1443657600
2015-11,1,1,1446336000
2016-01,1,1,1451606400
2016-02,1,1,1454284800
2016-04,2,2,1459468800
2016-05,2,1,1462060800
2016-10,1,1,1475280000
2016-11,4,3,1477958400
2016-12,2,2,1480550400
2017-01,2,1,1483228800
2017-04,1,1,1491004800
2017-06,2,2,1496275200
2017-07,11,1,1498867200
2017-09,16,3,1504224000
2017-10,16,2,1506816000
2017-11,3,2,1509494400
2017-12,6,2,1512086400
2018-01,2,2,1514764800
2018-02,4,2,1517443200
2018-05,8,5,1525132800
2018-07,10,6,1530403200
2018-08,11,8,1533081600
2018-09,1,1,1535760000
2018-11,5,4,1541030400
2019-01,11,6,1546300800
2019-02,4,4,1548979200
2019-03,3,2,1551398400
2019-05,2,1,1556668800
2019-08,2,2,1564617600
2019-09,1,1,1567296000
2019-10,3,1,1569888000
2020-01,2,2,1577836800
2020-02,7,7,1580515200
2020-03,5,3,1583020800
2020-05,4,3,1588291200
