YYYY-MM,nCommits,nAuthors,timestamp
1999-04,166,8,922924800
1999-05,139,7,925516800
1999-06,118,9,928195200
1999-07,266,12,930787200
1999-08,177,17,933465600
1999-09,356,19,936144000
1999-10,260,17,938736000
1999-11,331,23,941414400
1999-12,405,20,944006400
2000-01,129,13,946684800
2000-02,389,21,949363200
2000-03,329,27,951868800
2000-04,316,29,954547200
2000-05,448,25,957139200
2000-06,497,28,959817600
2000-07,344,34,962409600
2000-08,430,37,965088000
2000-09,336,35,967766400
2000-10,368,37,970358400
2000-11,342,40,973036800
2000-12,248,34,975628800
2001-01,327,43,978307200
2001-02,258,40,980985600
2001-03,293,43,983404800
2001-04,275,42,986083200
2001-05,478,42,988675200
2001-06,216,36,991353600
2001-07,344,43,993945600
2001-08,540,39,996624000
2001-09,313,35,999302400
2001-10,297,34,1001894400
2001-11,229,37,1004572800
2001-12,376,44,1007164800
2002-01,287,44,1009843200
2002-02,217,41,1012521600
2002-03,788,50,1014940800
2002-04,592,42,1017619200
2002-05,548,43,1020211200
2002-06,426,39,1022889600
2002-07,384,43,1025481600
2002-08,498,50,1028160000
2002-09,456,43,1030838400
2002-10,955,51,1033430400
2002-11,666,55,1036108800
2002-12,384,38,1038700800
2003-01,511,39,1041379200
2003-02,578,45,1044057600
2003-03,357,34,1046476800
2003-04,400,34,1049155200
2003-05,441,37,1051747200
2003-06,499,36,1054425600
2003-07,363,36,1057017600
2003-08,517,32,1059696000
2003-09,362,28,1062374400
2003-10,316,38,1064966400
2003-11,303,31,1067644800
2003-12,606,34,1070236800
2004-01,490,36,1072915200
2004-02,392,38,1075593600
2004-03,350,39,1078099200
2004-04,272,25,1080777600
2004-05,435,31,1083369600
2004-06,203,27,1086048000
2004-07,267,31,1088640000
2004-08,216,31,1091318400
2004-09,221,25,1093996800
2004-10,136,19,1096588800
2004-11,164,22,1099267200
2004-12,164,23,1101859200
2005-01,272,22,1104537600
2005-02,427,29,1107216000
2005-03,319,32,1109635200
2005-04,248,30,1112313600
2005-05,208,22,1114905600
2005-06,400,27,1117584000
2005-07,374,26,1120176000
2005-08,353,26,1122854400
2005-09,238,19,1125532800
2005-10,342,20,1128124800
2005-11,344,20,1130803200
2005-12,408,24,1133395200
2006-01,244,22,1136073600
2006-02,236,20,1138752000
2006-03,354,27,1141171200
2006-04,187,20,1143849600
2006-05,273,23,1146441600
2006-06,204,19,1149120000
2006-07,378,20,1151712000
2006-08,320,19,1154390400
2006-09,258,16,1157068800
2006-10,307,20,1159660800
2006-11,261,19,1162339200
2006-12,364,20,1164931200
2007-01,362,21,1167609600
2007-02,213,20,1170288000
2007-03,175,24,1172707200
2007-04,192,25,1175385600
2007-05,308,22,1177977600
2007-06,205,17,1180656000
2007-07,366,22,1183248000
2007-08,193,22,1185926400
2007-09,192,17,1188604800
2007-10,171,25,1191196800
2007-11,215,24,1193875200
2007-12,177,27,1196467200
2008-01,355,31,1199145600
2008-02,367,27,1201824000
2008-03,272,30,1204329600
2008-04,456,27,1207008000
2008-05,241,29,1209600000
2008-06,160,29,1212278400
2008-07,488,36,1214870400
2008-08,375,34,1217548800
2008-09,185,27,1220227200
2008-10,186,25,1222819200
2008-11,270,34,1225497600
2008-12,19,13,1228089600
