YYYY-MM,nCommits,nAuthors,timestamp
2003-03,5,2,1046476800
2004-01,1,1,1072915200
2004-02,2,1,1075593600
2004-06,1,1,1086048000
2004-08,9,3,1091318400
2004-09,22,4,1093996800
2004-10,36,5,1096588800
2004-11,34,6,1099267200
2004-12,1,1,1101859200
2005-01,2,1,1104537600
2005-02,5,3,1107216000
2005-03,42,7,1109635200
2005-04,11,6,1112313600
2005-05,1,1,1114905600
2005-06,9,4,1117584000
2005-07,10,2,1120176000
2005-08,7,3,1122854400
2005-09,2,2,1125532800
2005-10,32,4,1128124800
2005-11,27,7,1130803200
2005-12,31,6,1133395200
2006-01,19,4,1136073600
2006-02,50,5,1138752000
2006-03,11,6,1141171200
2006-04,4,2,1143849600
2006-05,2,2,1146441600
2006-06,1,1,1149120000
2006-07,4,2,1151712000
2006-08,5,3,1154390400
2006-09,8,4,1157068800
2006-10,1,1,1159660800
2006-11,9,5,1162339200
2006-12,16,5,1164931200
2007-01,28,5,1167609600
2007-02,8,3,1170288000
2007-03,2,1,1172707200
2007-04,19,5,1175385600
2007-05,3,2,1177977600
2007-06,21,2,1180656000
2007-07,11,2,1183248000
2007-08,190,6,1185926400
2007-09,37,5,1188604800
2007-10,179,6,1191196800
2007-11,246,5,1193875200
2007-12,85,3,1196467200
2008-01,97,4,1199145600
2008-02,103,4,1201824000
2008-03,7,5,1204329600
2008-04,2,1,1207008000
2008-05,12,1,1209600000
2008-06,7,1,1212278400
2008-07,7,2,1214870400
2008-08,1,1,1217548800
2008-09,15,3,1220227200
2008-10,13,3,1222819200
2008-11,19,3,1225497600
2008-12,4,2,1228089600
2009-01,44,6,1230768000
2009-02,2,2,1233446400
2009-03,5,2,1235865600
2009-04,7,3,1238544000
2009-05,8,3,1241136000
2009-06,60,4,1243814400
2009-07,16,3,1246406400
2009-08,56,7,1249084800
2009-09,22,4,1251763200
2009-10,112,6,1254355200
2009-11,16,4,1257033600
2009-12,6,3,1259625600
2010-01,43,4,1262304000
2010-02,107,8,1264982400
2010-03,107,8,1267401600
2010-04,71,7,1270080000
2010-05,55,5,1272672000
2010-06,17,6,1275350400
2010-07,71,7,1277942400
2010-08,79,9,1280620800
2010-09,108,8,1283299200
2010-10,98,6,1285891200
2010-11,5,3,1288569600
2010-12,10,4,1291161600
2011-01,5,2,1293840000
2011-02,7,3,1296518400
2011-04,4,2,1301616000
2011-05,33,7,1304208000
2011-06,36,6,1306886400
2011-07,5,2,1309478400
2011-08,1,1,1312156800
2011-09,28,4,1314835200
2011-10,11,2,1317427200
2011-11,14,2,1320105600
2011-12,13,2,1322697600
2012-01,5,2,1325376000
2012-02,48,6,1328054400
2012-03,71,4,1330560000
2012-04,10,2,1333238400
2012-05,13,3,1335830400
2012-06,25,6,1338508800
2012-07,19,5,1341100800
2012-08,22,5,1343779200
2012-09,39,7,1346457600
2012-10,43,8,1349049600
2012-11,26,5,1351728000
2012-12,141,14,1354320000
2013-01,86,13,1356998400
2013-02,41,6,1359676800
2013-03,91,11,1362096000
2013-04,57,9,1364774400
2013-05,171,13,1367366400
2013-06,101,9,1370044800
2013-07,120,10,1372636800
2013-08,38,8,1375315200
2013-09,14,5,1377993600
2013-10,17,4,1380585600
2013-11,13,4,1383264000
2013-12,13,3,1385856000
2014-01,20,4,1388534400
2014-02,16,6,1391212800
2014-03,30,5,1393632000
2014-04,38,10,1396310400
2014-05,66,6,1398902400
2014-06,83,9,1401580800
2014-07,7,4,1404172800
2014-08,36,6,1406851200
2014-09,20,6,1409529600
2014-10,16,5,1412121600
2014-11,9,4,1414800000
2014-12,36,8,1417392000
2015-01,66,7,1420070400
2015-02,24,5,1422748800
2015-03,16,3,1425168000
2015-04,21,3,1427846400
2015-05,16,3,1430438400
2015-06,29,6,1433116800
2015-07,16,5,1435708800
2015-08,18,4,1438387200
2015-09,24,6,1441065600
2015-10,59,11,1443657600
2015-11,58,9,1446336000
2015-12,157,9,1448928000
2016-01,104,9,1451606400
2016-02,59,9,1454284800
2016-03,60,8,1456790400
2016-04,31,7,1459468800
2016-05,13,1,1462060800
2016-06,4,4,1464739200
2016-07,2,1,1467331200
2016-08,11,3,1470009600
2016-09,16,6,1472688000
2016-10,13,4,1475280000
2016-11,15,3,1477958400
2016-12,5,3,1480550400
2017-01,80,6,1483228800
2017-02,121,9,1485907200
2017-03,111,13,1488326400
2017-04,86,6,1491004800
2017-05,15,3,1493596800
2017-06,35,8,1496275200
2017-07,25,3,1498867200
2017-08,83,5,1501545600
2017-09,58,5,1504224000
2017-10,139,18,1506816000
2017-11,48,11,1509494400
2017-12,41,5,1512086400
2018-01,202,12,1514764800
2018-02,73,9,1517443200
2018-03,60,6,1519862400
2018-04,104,13,1522540800
2018-05,246,19,1525132800
2018-06,270,19,1527811200
2018-07,19,5,1530403200
2018-08,52,7,1533081600
2018-09,21,4,1535760000
2018-10,78,10,1538352000
2018-11,44,7,1541030400
2018-12,79,9,1543622400
2019-01,23,6,1546300800
2019-02,72,11,1548979200
2019-03,134,15,1551398400
2019-04,100,7,1554076800
2019-05,129,20,1556668800
2019-06,254,14,1559347200
2019-07,250,12,1561939200
2019-08,61,3,1564617600
2019-09,96,9,1567296000
2019-10,172,15,1569888000
2019-11,168,13,1572566400
2019-12,245,17,1575158400
2020-01,509,21,1577836800
2020-02,239,17,1580515200
2020-03,172,17,1583020800
2020-04,77,9,1585699200
2020-05,50,7,1588291200
2020-06,50,5,1590969600
2020-07,27,8,1593561600
2020-08,27,10,1596240000
2020-09,5,4,1598918400
