YYYY-MM,nCommits,nAuthors,timestamp
2011-11,44,8,1320105600
2011-12,106,15,1322697600
2012-01,360,17,1325376000
2012-02,419,18,1328054400
2012-03,563,16,1330560000
2012-04,336,17,1333238400
2012-05,421,24,1335830400
2012-06,294,18,1338508800
2012-07,254,23,1341100800
2012-08,39,15,1343779200
2012-09,2,2,1346457600
2012-10,36,9,1349049600
2012-11,147,13,1351728000
2012-12,47,9,1354320000
2013-01,113,11,1356998400
2013-02,174,14,1359676800
2013-03,210,10,1362096000
2013-04,110,8,1364774400
2013-05,129,12,1367366400
2013-06,167,16,1370044800
2013-07,167,13,1372636800
2013-08,156,19,1375315200
2013-09,122,17,1377993600
2013-10,114,13,1380585600
2013-11,97,12,1383264000
2013-12,107,13,1385856000
2014-01,87,15,1388534400
2014-02,92,13,1391212800
2014-03,58,8,1393632000
2014-04,37,10,1396310400
2014-05,29,10,1398902400
2014-06,11,5,1401580800
2014-07,14,7,1404172800
2014-08,14,3,1406851200
2014-09,14,3,1409529600
2014-10,38,5,1412121600
2014-11,22,3,1414800000
2014-12,6,2,1417392000
2015-01,7,4,1420070400
2015-02,47,8,1422748800
2015-03,35,5,1425168000
2015-04,32,4,1427846400
2015-05,34,6,1430438400
2015-06,21,7,1433116800
2015-07,27,8,1435708800
2015-08,43,7,1438387200
2015-09,54,11,1441065600
2015-10,83,9,1443657600
2015-11,49,6,1446336000
2015-12,29,6,1448928000
2016-01,98,8,1451606400
2016-02,63,3,1454284800
2016-03,30,5,1456790400
2016-04,35,3,1459468800
2016-05,18,5,1462060800
2016-06,26,3,1464739200
2016-07,18,6,1467331200
2016-08,37,5,1470009600
2016-09,62,4,1472688000
2016-10,21,3,1475280000
2016-11,10,1,1477958400
2016-12,25,3,1480550400
2017-01,6,3,1483228800
2017-02,7,2,1485907200
2017-03,79,5,1488326400
2017-04,89,6,1491004800
2017-05,98,7,1493596800
2017-06,79,6,1496275200
2017-07,119,7,1498867200
2017-08,105,9,1501545600
2017-09,108,8,1504224000
2017-10,94,9,1506816000
2017-11,127,10,1509494400
2017-12,76,10,1512086400
2018-01,154,9,1514764800
2018-02,131,6,1517443200
2018-03,102,8,1519862400
2018-04,135,9,1522540800
2018-05,128,7,1525132800
2018-06,71,6,1527811200
2018-07,44,5,1530403200
2018-08,29,6,1533081600
2018-09,8,3,1535760000
2018-10,12,5,1538352000
2018-11,19,3,1541030400
2018-12,22,3,1543622400
2019-01,55,5,1546300800
2019-02,47,3,1548979200
2019-03,22,4,1551398400
2019-04,2,1,1554076800
2019-05,6,3,1556668800
2019-06,2,2,1559347200
2019-08,30,1,1564617600
2019-09,14,4,1567296000
2019-10,14,7,1569888000
2019-11,20,7,1572566400
2019-12,4,1,1575158400
2020-02,6,1,1580515200
2020-03,6,1,1583020800
2020-04,3,1,1585699200
2020-05,1,1,1588291200
2020-07,2,1,1593561600
