YYYY-MM,nCommits,nAuthors,timestamp
2006-12,56,3,1164931200
2007-01,63,3,1167609600
2007-02,89,4,1170288000
2007-03,56,3,1172707200
2007-04,108,3,1175385600
2007-05,63,3,1177977600
2007-06,118,4,1180656000
2007-07,102,4,1183248000
2007-08,22,4,1185926400
2007-09,88,7,1188604800
2007-10,130,5,1191196800
2007-11,128,6,1193875200
2007-12,39,4,1196467200
2008-01,29,5,1199145600
2008-02,83,6,1201824000
2008-03,70,6,1204329600
2008-04,29,5,1207008000
2008-05,11,5,1209600000
2008-06,25,9,1212278400
2008-07,74,5,1214870400
2008-08,19,5,1217548800
2008-09,13,3,1220227200
2008-10,83,8,1222819200
2008-11,6,2,1225497600
2008-12,2,1,1228089600
2009-01,26,2,1230768000
2009-02,19,3,1233446400
2009-03,223,6,1235865600
2009-04,93,6,1238544000
2009-05,23,7,1241136000
2009-06,61,11,1243814400
2009-07,36,4,1246406400
2009-08,45,4,1249084800
2009-09,36,5,1251763200
2009-10,43,8,1254355200
2009-11,30,4,1257033600
2009-12,147,7,1259625600
2010-01,12,2,1262304000
2010-02,55,6,1264982400
2010-03,89,3,1267401600
2010-04,121,6,1270080000
2010-05,156,12,1272672000
2010-06,53,6,1275350400
2010-07,92,8,1277942400
2010-08,59,10,1280620800
2010-09,237,16,1283299200
2010-10,92,13,1285891200
2010-11,39,11,1288569600
2010-12,27,7,1291161600
2011-01,30,9,1293840000
2011-02,72,4,1296518400
2011-03,17,4,1298937600
2011-04,54,8,1301616000
2011-05,52,6,1304208000
2011-06,16,7,1306886400
2011-07,44,9,1309478400
2011-08,178,13,1312156800
2011-09,60,9,1314835200
2011-10,17,9,1317427200
2011-11,66,6,1320105600
2011-12,74,11,1322697600
2012-01,96,12,1325376000
2012-02,52,10,1328054400
2012-03,9,6,1330560000
2012-04,13,4,1333238400
2012-05,6,5,1335830400
2012-06,12,5,1338508800
2012-07,24,16,1341100800
2012-08,71,12,1343779200
2012-09,28,6,1346457600
2012-10,10,6,1349049600
2012-12,13,3,1354320000
2013-01,8,3,1356998400
2013-02,21,7,1359676800
2013-03,11,7,1362096000
2013-04,1,1,1364774400
2013-05,4,3,1367366400
2013-06,3,2,1370044800
2013-07,2,1,1372636800
2013-08,4,4,1375315200
2013-11,18,6,1383264000
2013-12,4,2,1385856000
2014-01,23,8,1388534400
2014-02,94,7,1391212800
2014-03,119,16,1393632000
2014-04,31,9,1396310400
2014-05,22,9,1398902400
2014-06,42,7,1401580800
2014-07,50,12,1404172800
2014-08,18,7,1406851200
2014-09,17,7,1409529600
2014-10,12,2,1412121600
2014-11,11,5,1414800000
2014-12,4,3,1417392000
2015-01,10,7,1420070400
2015-02,25,7,1422748800
2015-03,4,4,1425168000
2015-05,5,4,1430438400
2015-06,16,13,1433116800
2015-07,4,4,1435708800
2015-08,7,2,1438387200
2015-09,33,5,1441065600
2015-10,27,7,1443657600
2015-11,6,4,1446336000
2015-12,8,1,1448928000
2016-02,1,1,1454284800
2016-03,2,2,1456790400
2016-07,1,1,1467331200
2016-08,29,18,1470009600
2016-09,4,4,1472688000
2016-11,1,1,1477958400
2016-12,11,9,1480550400
2017-01,4,3,1483228800
2017-02,1,1,1485907200
2017-03,1,1,1488326400
2017-08,20,11,1501545600
2018-06,2,1,1527811200
2018-09,2,1,1535760000
2019-10,1,1,1569888000
2020-01,1,1,1577836800
2020-02,3,2,1580515200
2020-03,2,1,1583020800
