YYYY-MM,nCommits,nAuthors,timestamp
2014-05,93,1,1398902400
2014-06,65,1,1401580800
2014-07,101,1,1404172800
2014-08,153,1,1406851200
2014-09,74,2,1409529600
2014-10,137,1,1412121600
2014-11,84,1,1414800000
2014-12,120,1,1417392000
2015-01,77,1,1420070400
2015-02,58,1,1422748800
2015-03,85,1,1425168000
2015-04,7,1,1427846400
2015-05,8,1,1430438400
2015-06,14,1,1433116800
2015-07,39,1,1435708800
2015-08,61,1,1438387200
2015-09,73,2,1441065600
2015-10,26,1,1443657600
2015-11,28,1,1446336000
2015-12,28,2,1448928000
2016-01,51,2,1451606400
2016-02,55,2,1454284800
2016-03,80,2,1456790400
2016-04,82,3,1459468800
2016-05,6,1,1462060800
2017-01,56,2,1483228800
2017-02,89,3,1485907200
2017-03,112,2,1488326400
2017-04,72,3,1491004800
2017-05,38,2,1493596800
2017-06,56,2,1496275200
2017-07,84,3,1498867200
2017-08,97,4,1501545600
2017-09,29,2,1504224000
2017-10,36,3,1506816000
2017-11,43,2,1509494400
2017-12,178,20,1512086400
2018-01,264,39,1514764800
2018-02,179,30,1517443200
2018-03,204,18,1519862400
2018-04,313,20,1522540800
2018-05,129,17,1525132800
2018-06,151,21,1527811200
2018-07,362,16,1530403200
2018-08,422,16,1533081600
2018-09,391,16,1535760000
2018-10,432,14,1538352000
2018-11,290,12,1541030400
2018-12,461,21,1543622400
2019-01,829,22,1546300800
2019-02,487,17,1548979200
2019-03,370,13,1551398400
2019-04,342,11,1554076800
2019-05,539,12,1556668800
2019-06,57,9,1559347200
2019-07,61,7,1561939200
