YYYY-MM,nCommits,nAuthors,timestamp
2016-06,7,1,1464739200
2016-07,24,2,1467331200
2016-08,24,1,1470009600
2016-09,4,1,1472688000
2016-10,48,2,1475280000
2016-11,11,1,1477958400
2016-12,5,1,1480550400
2017-01,61,3,1483228800
2017-02,56,5,1485907200
2017-03,43,8,1488326400
2017-04,57,7,1491004800
2017-05,147,10,1493596800
2017-06,144,7,1496275200
2017-07,59,9,1498867200
2017-08,32,7,1501545600
2017-09,50,6,1504224000
2017-10,125,7,1506816000
2017-11,55,3,1509494400
2017-12,72,3,1512086400
2018-01,52,6,1514764800
2018-02,76,6,1517443200
2018-03,33,4,1519862400
2018-04,8,4,1522540800
2018-05,65,7,1525132800
2018-06,134,6,1527811200
2018-07,214,11,1530403200
2018-08,77,9,1533081600
2018-09,68,7,1535760000
2018-10,135,6,1538352000
2018-11,147,11,1541030400
2018-12,180,9,1543622400
2019-01,69,7,1546300800
2019-02,92,7,1548979200
2019-03,138,6,1551398400
2019-04,132,7,1554076800
2019-05,70,8,1556668800
2019-06,65,5,1559347200
2019-07,76,6,1561939200
2019-08,167,7,1564617600
2019-09,86,5,1567296000
2019-10,108,4,1569888000
2019-11,85,9,1572566400
2019-12,122,4,1575158400
2020-01,182,7,1577836800
2020-02,112,7,1580515200
2020-03,183,6,1583020800
2020-04,225,9,1585699200
2020-05,202,10,1588291200
2020-06,152,11,1590969600
2020-07,108,6,1593561600
2020-08,161,11,1596240000
2020-09,96,11,1598918400
