YYYY-MM,nCommits,nAuthors,timestamp
1969-12,6174,1,-2678400
2000-11,63,2,973036800
2000-12,175,3,975628800
2001-01,66,3,978307200
2001-02,90,2,980985600
2001-03,60,4,983404800
2001-04,36,2,986083200
2001-05,75,1,988675200
2001-06,58,2,991353600
2001-07,55,2,993945600
2001-08,217,2,996624000
2001-09,41,1,999302400
2001-10,58,3,1001894400
2001-11,98,2,1004572800
2001-12,41,3,1007164800
2002-01,35,1,1009843200
2002-02,34,4,1012521600
2002-03,15,2,1014940800
2002-04,31,1,1017619200
2002-05,55,1,1020211200
2002-06,19,1,1022889600
2002-07,6,1,1025481600
2002-08,20,1,1028160000
2002-09,31,1,1030838400
2002-10,34,1,1033430400
2002-11,72,2,1036108800
2002-12,9,1,1038700800
2003-01,29,1,1041379200
2003-02,106,3,1044057600
2003-03,104,1,1046476800
2003-04,81,2,1049155200
2003-05,33,2,1051747200
2003-06,42,1,1054425600
2003-07,18,1,1057017600
2003-08,12,1,1059696000
2003-09,14,2,1062374400
2003-10,32,1,1064966400
2003-11,70,1,1067644800
2003-12,69,1,1070236800
2004-01,8,1,1072915200
2004-02,24,1,1075593600
2004-03,43,1,1078099200
2004-04,104,3,1080777600
2004-05,119,1,1083369600
2004-06,76,3,1086048000
2004-07,56,1,1088640000
2004-08,26,2,1091318400
2004-09,60,2,1093996800
2004-10,87,2,1096588800
2004-11,62,2,1099267200
2004-12,145,1,1101859200
2005-01,71,1,1104537600
2005-02,28,2,1107216000
2005-03,84,2,1109635200
2005-04,31,2,1112313600
2005-05,22,2,1114905600
2005-06,66,3,1117584000
2005-07,19,2,1120176000
2005-08,26,5,1122854400
2005-09,29,2,1125532800
2005-10,30,2,1128124800
2005-11,47,3,1130803200
2005-12,45,2,1133395200
2006-01,86,1,1136073600
2006-02,56,1,1138752000
2006-03,39,2,1141171200
2006-04,31,2,1143849600
2006-05,21,1,1146441600
2006-06,4,1,1149120000
2006-07,19,2,1151712000
2006-08,162,2,1154390400
2006-09,56,3,1157068800
2006-10,12,2,1159660800
2006-11,135,4,1162339200
2006-12,69,3,1164931200
2007-01,43,2,1167609600
2007-02,47,2,1170288000
2007-03,38,2,1172707200
2007-04,32,3,1175385600
2007-05,56,3,1177977600
2007-06,5,2,1180656000
2007-07,30,2,1183248000
2007-08,93,3,1185926400
2007-09,80,2,1188604800
2007-10,25,2,1191196800
2007-11,31,3,1193875200
2007-12,5,2,1196467200
2008-01,100,2,1199145600
2008-02,105,4,1201824000
2008-03,98,2,1204329600
2008-04,90,4,1207008000
2008-05,19,3,1209600000
2008-06,59,4,1212278400
2008-07,95,3,1214870400
2008-08,82,5,1217548800
2008-09,48,4,1220227200
2008-10,65,6,1222819200
2008-11,115,5,1225497600
2008-12,80,5,1228089600
2009-01,105,4,1230768000
2009-02,65,5,1233446400
2009-03,46,4,1235865600
2009-04,31,4,1238544000
2009-05,34,5,1241136000
2009-06,76,8,1243814400
2009-07,34,5,1246406400
2009-08,146,7,1249084800
2009-09,137,6,1251763200
2009-10,122,8,1254355200
2009-11,118,10,1257033600
2009-12,100,12,1259625600
2010-01,123,11,1262304000
2010-02,101,12,1264982400
2010-03,235,15,1267401600
2010-04,70,14,1270080000
2010-05,76,10,1272672000
2010-06,64,11,1275350400
2010-07,59,8,1277942400
2010-08,70,7,1280620800
2010-09,50,7,1283299200
2010-10,75,10,1285891200
2010-11,79,13,1288569600
2010-12,39,10,1291161600
2011-01,31,9,1293840000
2011-02,20,9,1296518400
2011-03,74,16,1298937600
2011-04,60,8,1301616000
2011-05,96,11,1304208000
2011-06,69,10,1306886400
2011-07,40,10,1309478400
2011-08,21,9,1312156800
2011-09,95,11,1314835200
2011-10,126,13,1317427200
2011-11,83,13,1320105600
2011-12,122,12,1322697600
2012-01,196,17,1325376000
2012-02,191,19,1328054400
2012-03,136,18,1330560000
2012-04,81,17,1333238400
2012-05,55,11,1335830400
2012-06,160,11,1338508800
2012-07,93,13,1341100800
2012-08,114,10,1343779200
2012-09,151,10,1346457600
2012-10,170,16,1349049600
2012-11,240,14,1351728000
2012-12,105,14,1354320000
2013-01,152,14,1356998400
2013-02,111,13,1359676800
2013-03,103,12,1362096000
2013-04,98,16,1364774400
2013-05,159,15,1367366400
2013-06,142,14,1370044800
2013-07,133,11,1372636800
2013-08,78,9,1375315200
2013-09,186,11,1377993600
2013-10,92,13,1380585600
2013-11,68,10,1383264000
2013-12,38,8,1385856000
2014-01,67,8,1388534400
2014-02,112,11,1391212800
2014-03,124,11,1393632000
2014-04,96,9,1396310400
