YYYY-MM,nCommits,nAuthors,timestamp
2003-11,11,1,1067644800
2003-12,38,1,1070236800
2004-01,20,1,1072915200
2004-04,3,1,1080777600
2004-05,2,1,1083369600
2005-06,1,1,1117584000
2005-10,2,1,1128124800
2005-11,4,1,1130803200
2006-01,7,1,1136073600
2006-06,3,1,1149120000
2006-08,1,1,1154390400
2006-11,1,1,1162339200
2006-12,1,1,1164931200
2007-01,2,1,1167609600
2007-03,4,1,1172707200
2007-07,1,1,1183248000
2007-08,3,1,1185926400
2007-10,3,1,1191196800
2007-11,9,1,1193875200
2008-03,2,1,1204329600
2008-07,2,1,1214870400
2009-02,1,1,1233446400
2009-03,1,1,1235865600
2009-09,2,1,1251763200
2009-12,1,1,1259625600
2010-08,3,2,1280620800
2011-04,3,1,1301616000
2011-11,2,1,1320105600
2011-12,1,1,1322697600
2012-02,3,1,1328054400
2012-04,2,1,1333238400
2012-05,15,1,1335830400
2012-06,3,1,1338508800
2012-07,4,1,1341100800
2012-08,1,1,1343779200
2013-01,5,1,1356998400
2013-02,2,1,1359676800
2013-03,2,1,1362096000
2013-05,1,1,1367366400
2013-06,6,1,1370044800
2013-07,1,1,1372636800
2014-03,2,1,1393632000
2014-05,3,1,1398902400
2014-06,11,1,1401580800
2014-07,4,1,1404172800
2014-08,4,1,1406851200
2014-09,5,1,1409529600
2014-10,7,1,1412121600
2015-04,6,1,1427846400
2015-05,6,1,1430438400
2015-10,2,1,1443657600
2015-11,1,1,1446336000
2015-12,16,2,1448928000
2016-03,11,1,1456790400
2016-07,2,1,1467331200
2016-08,2,1,1470009600
2016-09,8,1,1472688000
2016-10,7,3,1475280000
2016-11,21,3,1477958400
2016-12,17,2,1480550400
2017-01,7,2,1483228800
2017-02,167,8,1485907200
2017-03,230,12,1488326400
2017-04,89,5,1491004800
2017-05,215,18,1493596800
2017-06,127,16,1496275200
2017-07,77,11,1498867200
2017-08,104,11,1501545600
2017-09,46,7,1504224000
2017-10,50,9,1506816000
2017-11,87,11,1509494400
2017-12,155,13,1512086400
2018-01,200,16,1514764800
2018-02,311,16,1517443200
2018-03,390,10,1519862400
2018-04,215,13,1522540800
2018-05,367,13,1525132800
2018-06,354,15,1527811200
2018-07,510,19,1530403200
2018-08,348,18,1533081600
2018-09,445,22,1535760000
2018-10,379,33,1538352000
2018-11,295,27,1541030400
2018-12,411,24,1543622400
2019-01,239,20,1546300800
2019-02,235,23,1548979200
2019-03,319,24,1551398400
2019-04,277,19,1554076800
2019-05,340,15,1556668800
2019-06,389,16,1559347200
2019-07,667,21,1561939200
2019-08,444,17,1564617600
2019-09,320,16,1567296000
2019-10,504,15,1569888000
2019-11,281,18,1572566400
2019-12,120,17,1575158400
2020-01,245,25,1577836800
2020-02,512,25,1580515200
2020-03,287,20,1583020800
2020-04,306,28,1585699200
2020-05,300,26,1588291200
2020-06,264,14,1590969600
2020-07,240,25,1593561600
2020-08,214,28,1596240000
2020-09,101,21,1598918400
