YYYY-MM,nCommits,nAuthors,timestamp
2011-09,113,3,1314835200
2011-10,1078,6,1317427200
2011-11,1702,7,1320105600
2011-12,1955,8,1322697600
2012-01,1062,8,1325376000
2012-02,978,10,1328054400
2012-03,1227,13,1330560000
2012-04,1226,12,1333238400
2012-05,1108,10,1335830400
2012-06,750,9,1338508800
2012-07,1312,10,1341100800
2012-08,1185,8,1343779200
2012-09,1360,12,1346457600
2012-10,1637,12,1349049600
2012-11,1788,11,1351728000
2012-12,1532,8,1354320000
2013-01,1864,10,1356998400
2013-02,1543,11,1359676800
2013-03,1749,12,1362096000
2013-04,1681,11,1364774400
2013-05,2452,12,1367366400
2013-06,1599,11,1370044800
2013-07,1842,14,1372636800
2013-08,1907,13,1375315200
2013-09,1765,17,1377993600
2013-10,1512,12,1380585600
2013-11,1512,14,1383264000
2013-12,1038,10,1385856000
2014-01,1557,11,1388534400
2014-02,977,10,1391212800
2014-03,860,11,1393632000
2014-04,984,11,1396310400
2014-05,1180,11,1398902400
2014-06,988,9,1401580800
2014-07,454,8,1404172800
2014-08,394,11,1406851200
2014-09,123,8,1409529600
2014-10,65,4,1412121600
2014-11,30,2,1414800000
2014-12,20,4,1417392000
2015-01,31,4,1420070400
2015-02,26,2,1422748800
2015-03,16,1,1425168000
2015-04,15,1,1427846400
2015-05,11,1,1430438400
2015-06,28,1,1433116800
2015-07,7,1,1435708800
2016-09,2,2,1472688000
