YYYY-MM,nCommits,nAuthors,timestamp
2012-12,46,1,1354320000
2013-01,2,1,1356998400
2013-02,58,1,1359676800
2013-03,184,2,1362096000
2013-04,43,3,1364774400
2013-05,24,6,1367366400
2013-06,32,6,1370044800
2013-07,21,2,1372636800
2013-08,33,1,1375315200
2013-09,130,8,1377993600
2013-10,58,13,1380585600
2013-11,114,17,1383264000
2013-12,37,15,1385856000
2014-01,73,14,1388534400
2014-02,61,13,1391212800
2014-03,53,13,1393632000
2014-04,41,12,1396310400
2014-05,53,13,1398902400
2014-06,42,11,1401580800
2014-07,32,10,1404172800
2014-08,52,13,1406851200
2014-09,68,14,1409529600
2014-10,29,12,1412121600
2014-11,52,13,1414800000
2014-12,11,5,1417392000
2015-01,29,14,1420070400
2015-02,63,15,1422748800
2015-03,68,20,1425168000
2015-04,77,11,1427846400
2015-05,59,13,1430438400
2015-06,21,8,1433116800
2015-07,66,20,1435708800
2015-08,29,10,1438387200
2015-09,36,15,1441065600
2015-10,47,14,1443657600
2015-11,22,18,1446336000
2015-12,48,22,1448928000
2016-01,17,10,1451606400
2016-02,23,11,1454284800
2016-03,54,12,1456790400
2016-04,55,21,1459468800
2016-05,7,4,1462060800
2016-06,32,14,1464739200
2016-07,35,11,1467331200
2016-08,67,24,1470009600
2016-09,14,11,1472688000
2016-10,33,25,1475280000
2016-11,31,26,1477958400
2016-12,18,9,1480550400
2017-01,14,5,1483228800
2017-02,6,3,1485907200
2017-04,2,2,1491004800
2017-06,4,1,1496275200
2017-11,3,1,1509494400
2017-12,1,1,1512086400
2018-03,2,1,1519862400
2018-05,1,1,1525132800
2019-06,2,2,1559347200
2019-10,2,1,1569888000
