YYYY-MM,nCommits,nAuthors,timestamp
2011-03,7,1,1298937600
2011-04,3,1,1301616000
2011-11,4,1,1320105600
2011-12,2,1,1322697600
2012-01,3,1,1325376000
2012-02,14,1,1328054400
2012-03,2,1,1330560000
2012-08,1,1,1343779200
2012-09,1,1,1346457600
2013-01,4,3,1356998400
2013-03,10,1,1362096000
2013-04,11,1,1364774400
2013-05,2,1,1367366400
2013-06,6,3,1370044800
2013-07,18,2,1372636800
2013-08,59,5,1375315200
2013-09,35,6,1377993600
2013-10,18,6,1380585600
2013-11,9,4,1383264000
2013-12,24,5,1385856000
2014-01,35,4,1388534400
2014-02,256,8,1391212800
2014-03,178,8,1393632000
2014-04,26,4,1396310400
2014-05,82,5,1398902400
2014-06,115,6,1401580800
2014-07,96,4,1404172800
2014-08,98,8,1406851200
2014-09,84,6,1409529600
2014-10,35,5,1412121600
2014-11,25,5,1414800000
2014-12,13,5,1417392000
2015-01,13,6,1420070400
2015-02,43,7,1422748800
2015-03,82,9,1425168000
2015-04,43,7,1427846400
2015-05,94,7,1430438400
2015-06,39,7,1433116800
2015-07,39,7,1435708800
2015-08,109,7,1438387200
2015-09,28,6,1441065600
2015-10,35,7,1443657600
2015-11,20,5,1446336000
2015-12,8,3,1448928000
2016-01,20,7,1451606400
2016-02,25,5,1454284800
2016-03,20,5,1456790400
2016-04,38,6,1459468800
2016-05,92,6,1462060800
2016-06,64,6,1464739200
2016-07,27,8,1467331200
2016-08,56,8,1470009600
2016-09,12,7,1472688000
2016-10,43,12,1475280000
2016-11,35,7,1477958400
2016-12,34,7,1480550400
2017-01,87,12,1483228800
2017-02,130,6,1485907200
2017-03,154,10,1488326400
2017-04,149,11,1491004800
2017-05,158,11,1493596800
2017-06,122,9,1496275200
2017-07,111,9,1498867200
2017-08,137,8,1501545600
2017-09,87,10,1504224000
2017-10,169,9,1506816000
2017-11,80,5,1509494400
2017-12,64,9,1512086400
2018-01,165,8,1514764800
2018-02,77,8,1517443200
2018-03,181,10,1519862400
2018-04,131,12,1522540800
2018-05,96,17,1525132800
2018-06,119,12,1527811200
2018-07,46,8,1530403200
2018-08,137,7,1533081600
2018-09,59,6,1535760000
2018-10,97,10,1538352000
2018-11,165,11,1541030400
2018-12,59,7,1543622400
2019-01,60,11,1546300800
2019-02,89,9,1548979200
2019-03,152,11,1551398400
2019-04,100,7,1554076800
2019-05,316,12,1556668800
2019-06,32,3,1559347200
2019-07,75,9,1561939200
2019-08,87,8,1564617600
2019-09,132,8,1567296000
2019-10,57,10,1569888000
2019-11,209,9,1572566400
2019-12,51,5,1575158400
2020-01,36,10,1577836800
2020-02,23,8,1580515200
2020-03,37,4,1583020800
2020-04,12,7,1585699200
2020-05,14,8,1588291200
2020-06,17,6,1590969600
2020-07,21,11,1593561600
2020-08,22,10,1596240000
2020-09,21,15,1598918400
