YYYY-MM,nCommits,nAuthors,timestamp
2008-04,6,2,1207008000
2008-05,2,1,1209600000
2008-06,2,1,1212278400
2008-08,28,3,1217548800
2008-09,37,4,1220227200
2008-10,5,1,1222819200
2009-01,101,3,1230768000
2009-02,84,4,1233446400
2009-03,217,7,1235865600
2009-04,18,1,1238544000
2009-05,49,5,1241136000
2009-06,48,4,1243814400
2009-07,14,2,1246406400
2009-08,50,4,1249084800
2009-09,2,1,1251763200
2009-10,101,7,1254355200
2009-11,20,3,1257033600
2009-12,544,12,1259625600
2010-01,112,7,1262304000
2010-02,60,7,1264982400
2010-03,36,5,1267401600
2010-04,50,1,1270080000
2010-05,39,5,1272672000
2010-06,154,4,1275350400
2010-07,30,3,1277942400
2010-08,36,2,1280620800
2010-09,171,9,1283299200
2010-10,60,7,1285891200
2010-11,112,10,1288569600
2010-12,9,3,1291161600
2011-01,1704,26,1293840000
2011-02,409,13,1296518400
2011-03,309,14,1298937600
2011-04,404,13,1301616000
2011-05,408,15,1304208000
2011-06,329,17,1306886400
2011-07,866,25,1309478400
2011-08,238,13,1312156800
2011-09,104,7,1314835200
2011-10,134,14,1317427200
2011-11,113,11,1320105600
2011-12,72,10,1322697600
2012-01,111,17,1325376000
2012-02,911,33,1328054400
2012-03,624,33,1330560000
2012-04,619,29,1333238400
2012-05,445,25,1335830400
2012-06,197,23,1338508800
2012-07,291,28,1341100800
2012-08,658,40,1343779200
2012-09,465,31,1346457600
2012-10,599,29,1349049600
2012-11,543,23,1351728000
2012-12,412,29,1354320000
2013-01,660,33,1356998400
2013-02,404,28,1359676800
2013-03,723,40,1362096000
2013-04,401,18,1364774400
2013-05,241,21,1367366400
2013-06,682,36,1370044800
2013-07,1373,43,1372636800
2013-08,542,39,1375315200
2013-09,132,21,1377993600
2013-10,210,24,1380585600
2013-11,149,19,1383264000
2013-12,212,30,1385856000
2014-01,201,22,1388534400
2014-02,224,30,1391212800
2014-03,501,43,1393632000
2014-04,181,29,1396310400
2014-05,187,23,1398902400
2014-06,219,27,1401580800
2014-07,290,25,1404172800
2014-08,493,30,1406851200
2014-09,518,31,1409529600
2014-10,762,22,1412121600
2014-11,274,20,1414800000
2014-12,273,18,1417392000
2015-01,346,28,1420070400
2015-02,335,27,1422748800
2015-03,244,24,1425168000
2015-04,222,25,1427846400
2015-05,440,26,1430438400
2015-06,872,34,1433116800
2015-07,844,38,1435708800
2015-08,971,39,1438387200
2015-09,529,30,1441065600
2015-10,621,32,1443657600
2015-11,668,37,1446336000
2015-12,546,25,1448928000
2016-01,248,25,1451606400
2016-02,1392,75,1454284800
2016-03,406,27,1456790400
2016-04,165,22,1459468800
2016-05,111,16,1462060800
2016-06,95,11,1464739200
2016-07,227,21,1467331200
2016-08,271,29,1470009600
2016-09,312,16,1472688000
2016-10,571,10,1475280000
2016-11,139,18,1477958400
2016-12,180,11,1480550400
2017-01,51,9,1483228800
2017-02,81,11,1485907200
2017-03,251,20,1488326400
2017-04,312,26,1491004800
2017-05,208,27,1493596800
2017-06,74,15,1496275200
2017-07,235,14,1498867200
2017-08,127,14,1501545600
2017-09,43,8,1504224000
2017-10,86,15,1506816000
2017-11,41,11,1509494400
2017-12,208,13,1512086400
2018-01,281,13,1514764800
2018-02,210,35,1517443200
2018-03,175,20,1519862400
2018-04,318,21,1522540800
2018-05,115,17,1525132800
2018-06,4,3,1527811200
2018-07,130,20,1530403200
2018-08,91,17,1533081600
2018-09,46,24,1535760000
2018-10,44,24,1538352000
2018-11,166,40,1541030400
2018-12,31,16,1543622400
2019-01,55,32,1546300800
2019-02,61,36,1548979200
2019-03,111,23,1551398400
2019-04,47,25,1554076800
2019-05,48,29,1556668800
2019-06,60,19,1559347200
2019-07,70,17,1561939200
2019-08,21,3,1564617600
2019-09,29,10,1567296000
2019-10,124,20,1569888000
2019-11,134,22,1572566400
2019-12,52,11,1575158400
2020-01,36,24,1577836800
2020-02,28,18,1580515200
2020-03,9,7,1583020800
2020-04,22,7,1585699200
2020-05,7,6,1588291200
2020-06,1,1,1590969600
2020-07,7,7,1593561600
2020-08,42,37,1596240000
2020-09,4,4,1598918400
