YYYY-MM,nCommits,nAuthors,timestamp
2014-07,58,5,1404172800
2014-09,5,1,1409529600
2014-10,4,2,1412121600
2014-11,12,2,1414800000
2014-12,28,5,1417392000
2015-01,37,3,1420070400
2015-02,19,2,1422748800
2015-03,27,4,1425168000
2015-04,61,6,1427846400
2015-05,48,5,1430438400
2015-06,169,9,1433116800
2015-07,277,5,1435708800
2015-08,228,7,1438387200
2015-09,142,3,1441065600
2015-10,49,6,1443657600
2015-11,106,7,1446336000
2015-12,48,6,1448928000
2016-01,129,5,1451606400
2016-02,145,8,1454284800
2016-03,47,6,1456790400
2016-04,28,3,1459468800
2016-05,45,5,1462060800
2016-06,13,5,1464739200
2016-07,20,5,1467331200
2016-08,150,13,1470009600
2016-09,12,5,1472688000
2016-10,44,9,1475280000
2016-11,43,10,1477958400
2016-12,25,8,1480550400
2017-01,9,5,1483228800
2017-02,18,6,1485907200
2017-03,19,5,1488326400
2017-04,35,9,1491004800
2017-05,48,8,1493596800
2017-06,33,6,1496275200
2017-07,46,4,1498867200
2017-08,46,6,1501545600
2017-09,99,7,1504224000
2017-10,123,7,1506816000
2017-11,217,9,1509494400
2017-12,42,5,1512086400
2018-01,22,8,1514764800
2018-02,23,3,1517443200
2018-03,71,6,1519862400
2018-04,31,7,1522540800
2018-05,54,6,1525132800
2018-06,143,8,1527811200
2018-07,35,4,1530403200
2018-08,34,4,1533081600
2018-09,109,7,1535760000
2018-10,41,7,1538352000
2018-11,170,6,1541030400
2018-12,253,7,1543622400
2019-01,119,5,1546300800
2019-02,196,8,1548979200
2019-03,126,8,1551398400
2019-04,102,6,1554076800
2019-05,140,8,1556668800
2019-06,97,7,1559347200
2019-07,117,9,1561939200
2019-08,57,9,1564617600
2019-09,45,4,1567296000
2019-10,70,7,1569888000
2019-11,60,10,1572566400
2019-12,73,7,1575158400
2020-01,83,9,1577836800
2020-02,153,8,1580515200
2020-03,111,8,1583020800
2020-04,118,6,1585699200
2020-05,117,8,1588291200
2020-06,69,9,1590969600
2020-07,29,4,1593561600
2020-08,21,9,1596240000
2020-09,33,8,1598918400
