YYYY-MM,nCommits,nAuthors,timestamp
2013-10,112,4,1380585600
2013-11,191,5,1383264000
2013-12,246,5,1385856000
2014-01,52,5,1388534400
2014-02,57,2,1391212800
2014-03,318,3,1393632000
2014-04,285,2,1396310400
2014-05,147,4,1398902400
2014-06,78,1,1401580800
2014-07,206,3,1404172800
2014-08,67,2,1406851200
2014-09,23,1,1409529600
2014-10,92,3,1412121600
2014-11,364,1,1414800000
2014-12,174,2,1417392000
2015-01,183,5,1420070400
2015-02,69,1,1422748800
2015-03,199,8,1425168000
2015-04,115,4,1427846400
2015-05,149,4,1430438400
2015-06,67,3,1433116800
2015-07,67,5,1435708800
2015-08,165,4,1438387200
2015-09,151,2,1441065600
2015-10,99,2,1443657600
2015-11,52,4,1446336000
2015-12,46,3,1448928000
2016-01,49,4,1451606400
2016-02,4,2,1454284800
2016-03,21,2,1456790400
2016-04,5,2,1459468800
2016-05,4,2,1462060800
2016-06,4,1,1464739200
2016-07,6,2,1467331200
2016-08,31,1,1470009600
2016-09,76,4,1472688000
2016-10,8,3,1475280000
2016-11,12,5,1477958400
2016-12,31,3,1480550400
2017-01,122,5,1483228800
2017-02,98,7,1485907200
2017-03,46,8,1488326400
2017-04,34,9,1491004800
2017-05,47,10,1493596800
2017-06,57,8,1496275200
2017-07,6,1,1498867200
2017-08,2,1,1501545600
2017-09,27,6,1504224000
2017-10,8,4,1506816000
2017-12,6,2,1512086400
2018-01,24,4,1514764800
2018-02,17,2,1517443200
2018-03,10,4,1519862400
2018-04,9,5,1522540800
2018-05,3,2,1525132800
2018-06,3,1,1527811200
2018-07,19,3,1530403200
2018-08,45,4,1533081600
2018-09,1,1,1535760000
2018-10,15,6,1538352000
2018-11,18,6,1541030400
2018-12,34,4,1543622400
2019-01,13,3,1546300800
2019-02,54,7,1548979200
2019-03,1,1,1551398400
2019-04,107,4,1554076800
2019-05,43,1,1556668800
2019-06,3,2,1559347200
2019-08,1,1,1564617600
2019-09,1,1,1567296000
2019-10,60,1,1569888000
2019-11,27,2,1572566400
2019-12,211,2,1575158400
2020-01,165,9,1577836800
2020-02,107,5,1580515200
2020-03,247,16,1583020800
2020-04,310,6,1585699200
2020-05,175,11,1588291200
2020-06,103,8,1590969600
2020-07,124,12,1593561600
2020-08,190,21,1596240000
2020-09,39,7,1598918400
