YYYY-MM,nCommits,nAuthors,timestamp
2010-02,18,1,1264982400
2010-03,23,1,1267401600
2010-04,116,2,1270080000
2010-05,94,4,1272672000
2010-06,31,1,1275350400
2010-07,36,3,1277942400
2010-08,44,1,1280620800
2010-09,152,2,1283299200
2010-10,123,4,1285891200
2010-11,114,6,1288569600
2010-12,49,5,1291161600
2011-01,158,5,1293840000
2011-02,114,3,1296518400
2011-03,154,5,1298937600
2011-04,80,4,1301616000
2011-05,19,2,1304208000
2011-06,114,3,1306886400
2011-07,20,2,1309478400
2011-08,45,6,1312156800
2011-09,51,5,1314835200
2011-10,64,2,1317427200
2011-11,26,3,1320105600
2011-12,24,4,1322697600
2012-01,41,2,1325376000
2012-02,45,1,1328054400
2012-03,56,3,1330560000
2012-04,70,3,1333238400
2012-05,24,1,1335830400
2012-06,26,3,1338508800
2012-07,78,3,1341100800
2012-08,57,5,1343779200
2012-09,10,1,1346457600
2012-10,67,4,1349049600
2012-11,47,2,1351728000
2012-12,48,4,1354320000
2013-01,87,6,1356998400
2013-02,122,3,1359676800
2013-03,123,7,1362096000
2013-04,128,5,1364774400
2013-05,104,6,1367366400
2013-06,79,11,1370044800
2013-07,19,6,1372636800
2013-08,37,9,1375315200
2013-09,61,3,1377993600
2013-10,93,4,1380585600
2013-11,73,3,1383264000
2013-12,20,1,1385856000
2014-01,56,5,1388534400
2014-02,82,1,1391212800
2014-03,115,6,1393632000
2014-04,65,1,1396310400
2014-05,8,2,1398902400
2014-06,82,4,1401580800
2014-08,2,2,1406851200
2014-09,1,1,1409529600
2014-10,5,2,1412121600
2014-11,7,3,1414800000
2014-12,10,2,1417392000
2015-06,10,2,1433116800
2015-07,6,2,1435708800
2015-08,10,2,1438387200
2015-10,8,2,1443657600
2015-12,9,2,1448928000
2016-01,14,2,1451606400
2016-02,5,2,1454284800
2016-03,1,1,1456790400
2016-04,6,2,1459468800
2016-05,10,7,1462060800
2016-12,2,2,1480550400
2017-04,17,11,1491004800
2018-04,1,1,1522540800
2018-05,1,1,1525132800
