YYYY-MM,nCommits,nAuthors,timestamp
2011-07,155,28,1309478400
2011-08,304,40,1312156800
2011-09,466,40,1314835200
2011-10,247,40,1317427200
2011-11,254,48,1320105600
2011-12,250,43,1322697600
2012-01,256,40,1325376000
2012-02,240,40,1328054400
2012-03,328,43,1330560000
2012-04,275,43,1333238400
2012-05,280,46,1335830400
2012-06,249,46,1338508800
2012-07,167,36,1341100800
2012-08,305,46,1343779200
2012-09,285,53,1346457600
2012-10,443,57,1349049600
2012-11,236,48,1351728000
2012-12,272,44,1354320000
2013-01,417,56,1356998400
2013-02,477,57,1359676800
2013-03,646,64,1362096000
2013-04,332,54,1364774400
2013-05,228,45,1367366400
2013-06,60,21,1370044800
2013-07,87,25,1372636800
2013-08,92,28,1375315200
2013-09,53,20,1377993600
2013-10,98,16,1380585600
2013-11,42,14,1383264000
2013-12,50,10,1385856000
2014-01,28,10,1388534400
2014-02,31,8,1391212800
2014-03,19,13,1393632000
2014-04,64,7,1396310400
2014-05,59,20,1398902400
2014-06,76,19,1401580800
2014-07,102,16,1404172800
2014-08,104,12,1406851200
2014-09,79,7,1409529600
2014-10,54,9,1412121600
2014-11,65,9,1414800000
2014-12,94,10,1417392000
2015-01,98,10,1420070400
2015-02,48,14,1422748800
2015-03,69,12,1425168000
2015-04,131,14,1427846400
2015-05,127,14,1430438400
2015-06,140,20,1433116800
2015-07,68,12,1435708800
2015-08,72,14,1438387200
2015-09,111,16,1441065600
2015-10,92,17,1443657600
2015-11,72,10,1446336000
2015-12,116,12,1448928000
2016-01,111,17,1451606400
2016-02,63,10,1454284800
2016-03,72,13,1456790400
2016-04,133,19,1459468800
2016-05,116,16,1462060800
2016-06,75,16,1464739200
2016-07,193,24,1467331200
2016-08,188,26,1470009600
2016-09,59,15,1472688000
2016-10,115,20,1475280000
2016-11,141,15,1477958400
2016-12,146,19,1480550400
2017-01,262,35,1483228800
2017-02,314,38,1485907200
2017-03,299,32,1488326400
2017-04,215,32,1491004800
2017-05,215,26,1493596800
2017-06,305,26,1496275200
2017-07,272,29,1498867200
2017-08,207,23,1501545600
2017-09,337,25,1504224000
2017-10,230,23,1506816000
2017-11,256,26,1509494400
2017-12,169,18,1512086400
2018-01,298,25,1514764800
2018-02,559,20,1517443200
2018-03,239,26,1519862400
2018-04,250,25,1522540800
2018-05,376,29,1525132800
2018-06,221,21,1527811200
2018-07,216,23,1530403200
2018-08,248,21,1533081600
2018-09,264,22,1535760000
2018-10,395,23,1538352000
2018-11,359,23,1541030400
2018-12,269,21,1543622400
2019-01,372,18,1546300800
2019-02,393,24,1548979200
2019-03,184,25,1551398400
2019-04,169,25,1554076800
2019-05,236,25,1556668800
2019-06,243,28,1559347200
2019-07,164,23,1561939200
2019-08,227,22,1564617600
2019-09,156,20,1567296000
2019-10,198,16,1569888000
2019-11,229,22,1572566400
2019-12,116,17,1575158400
2020-01,206,17,1577836800
2020-02,238,23,1580515200
2020-03,177,18,1583020800
2020-04,154,18,1585699200
2020-05,72,19,1588291200
2020-06,178,21,1590969600
2020-07,202,20,1593561600
2020-08,101,20,1596240000
2020-09,110,21,1598918400
