YYYY-MM,nCommits,nAuthors,timestamp
2000-05,65,3,957139200
2000-06,239,2,959817600
2000-07,106,2,962409600
2000-08,135,2,965088000
2000-09,143,2,967766400
2000-10,162,2,970358400
2000-11,239,2,973036800
2000-12,209,2,975628800
2001-01,194,2,978307200
2001-02,221,2,980985600
2001-03,159,4,983404800
2001-04,225,5,986083200
2001-05,236,4,988675200
2001-06,148,5,991353600
2001-07,122,4,993945600
2001-08,151,8,996624000
2001-09,115,6,999302400
2001-10,249,6,1001894400
2001-11,192,5,1004572800
2001-12,199,5,1007164800
2002-01,254,5,1009843200
2002-02,264,8,1012521600
2002-03,144,7,1014940800
2002-04,139,9,1017619200
2002-05,206,8,1020211200
2002-06,140,8,1022889600
2002-07,233,5,1025481600
2002-08,152,7,1028160000
2002-09,158,6,1030838400
2002-10,152,3,1033430400
2002-11,184,3,1036108800
2002-12,128,2,1038700800
2003-01,205,3,1041379200
2003-02,171,3,1044057600
2003-03,126,2,1046476800
2003-04,165,3,1049155200
2003-05,153,3,1051747200
2003-06,137,3,1054425600
2003-07,216,3,1057017600
2003-08,167,3,1059696000
2003-09,196,3,1062374400
2003-10,118,3,1064966400
2003-11,168,3,1067644800
2003-12,149,2,1070236800
2004-01,274,2,1072915200
2004-02,214,3,1075593600
2004-03,209,3,1078099200
2004-04,222,3,1080777600
2004-05,314,2,1083369600
2004-06,288,3,1086048000
2004-07,273,3,1088640000
2004-08,209,2,1091318400
2004-09,317,2,1093996800
2004-10,249,2,1096588800
2004-11,208,3,1099267200
2004-12,199,3,1101859200
2005-01,160,2,1104537600
2005-02,187,3,1107216000
2005-03,263,3,1109635200
2005-04,228,3,1112313600
2005-05,211,3,1114905600
2005-06,291,4,1117584000
2005-07,175,4,1120176000
2005-08,157,3,1122854400
2005-09,295,4,1125532800
2005-10,214,5,1128124800
2005-11,322,6,1130803200
2005-12,339,7,1133395200
2006-01,183,8,1136073600
2006-02,156,7,1138752000
2006-03,376,8,1141171200
2006-04,354,7,1143849600
2006-05,385,8,1146441600
2006-06,369,7,1149120000
2006-07,219,9,1151712000
2006-08,289,9,1154390400
2006-09,193,7,1157068800
2006-10,246,9,1159660800
2006-11,330,8,1162339200
2006-12,236,9,1164931200
2007-01,336,7,1167609600
2007-02,500,8,1170288000
2007-03,315,7,1172707200
2007-04,166,7,1175385600
2007-05,288,10,1177977600
2007-06,272,9,1180656000
2007-07,276,9,1183248000
2007-08,236,9,1185926400
2007-09,103,7,1188604800
2007-10,224,11,1191196800
2007-11,371,12,1193875200
2007-12,341,10,1196467200
2008-01,254,10,1199145600
2008-02,140,11,1201824000
2008-03,283,12,1204329600
2008-04,484,13,1207008000
2008-05,384,13,1209600000
2008-06,353,13,1212278400
2008-07,234,11,1214870400
2008-08,164,12,1217548800
2008-09,204,13,1220227200
2008-10,296,12,1222819200
2008-11,326,12,1225497600
2008-12,409,12,1228089600
2009-01,193,12,1230768000
2009-02,262,12,1233446400
2009-03,173,10,1235865600
2009-04,237,11,1238544000
2009-05,220,12,1241136000
2009-06,337,13,1243814400
2009-07,211,12,1246406400
2009-08,174,8,1249084800
2009-09,254,11,1251763200
2009-10,259,11,1254355200
2009-11,354,12,1257033600
2009-12,376,12,1259625600
2010-01,143,11,1262304000
2010-02,148,11,1264982400
2010-03,310,12,1267401600
2010-04,263,13,1270080000
2010-05,229,12,1272672000
2010-06,332,13,1275350400
2010-07,245,15,1277942400
2010-08,249,13,1280620800
2010-09,711,17,1283299200
2010-10,410,14,1285891200
2010-11,343,17,1288569600
2010-12,293,15,1291161600
2011-01,101,10,1293840000
2011-02,176,12,1296518400
2011-03,261,14,1298937600
2011-04,235,14,1301616000
2011-05,281,12,1304208000
2011-06,225,12,1306886400
2011-07,143,11,1309478400
2011-08,138,11,1312156800
2011-09,139,10,1314835200
2011-10,442,13,1317427200
2011-11,448,16,1320105600
2011-12,99,15,1322697600
2012-01,172,12,1325376000
2012-02,181,14,1328054400
2012-03,262,14,1330560000
2012-04,345,14,1333238400
2012-05,218,13,1335830400
2012-06,221,13,1338508800
2012-07,345,14,1341100800
2012-08,267,11,1343779200
2012-09,256,14,1346457600
2012-10,486,15,1349049600
2012-11,646,15,1351728000
2012-12,323,13,1354320000
2013-01,133,14,1356998400
2013-02,243,12,1359676800
2013-03,150,12,1362096000
2013-04,184,13,1364774400
