YYYY-MM,nCommits,nAuthors,timestamp
2011-10,30,2,1317427200
2011-11,119,2,1320105600
2011-12,89,2,1322697600
2012-01,101,2,1325376000
2012-02,118,2,1328054400
2012-03,55,2,1330560000
2012-04,84,2,1333238400
2012-05,37,2,1335830400
2012-06,146,2,1338508800
2012-07,22,2,1341100800
2012-08,30,3,1343779200
2012-09,52,3,1346457600
2012-10,77,3,1349049600
2012-11,148,3,1351728000
2012-12,137,4,1354320000
2013-01,111,4,1356998400
2013-02,73,3,1359676800
2013-03,83,3,1362096000
2013-04,68,3,1364774400
2013-05,145,4,1367366400
2013-06,78,4,1370044800
2013-07,24,2,1372636800
2013-08,59,4,1375315200
2013-09,33,4,1377993600
2013-10,163,5,1380585600
2013-11,129,6,1383264000
2013-12,39,3,1385856000
2014-01,208,4,1388534400
2014-02,48,3,1391212800
2014-03,60,4,1393632000
2014-04,49,4,1396310400
2014-05,103,4,1398902400
2014-06,124,12,1401580800
2014-07,39,6,1404172800
2014-08,20,5,1406851200
2014-09,47,7,1409529600
2014-10,129,10,1412121600
2014-11,186,10,1414800000
2014-12,201,10,1417392000
2015-01,68,6,1420070400
2015-02,32,5,1422748800
2015-03,139,8,1425168000
2015-04,178,8,1427846400
2015-05,167,10,1430438400
2015-06,195,11,1433116800
2015-07,135,9,1435708800
2015-08,96,8,1438387200
2015-09,92,7,1441065600
2015-10,98,8,1443657600
2015-11,131,11,1446336000
2015-12,109,12,1448928000
2016-01,169,9,1451606400
2016-02,101,9,1454284800
2016-03,82,6,1456790400
2016-04,102,5,1459468800
2016-05,148,8,1462060800
2016-06,159,9,1464739200
2016-07,265,10,1467331200
2016-08,80,11,1470009600
2016-09,88,8,1472688000
2016-10,128,8,1475280000
2016-11,114,10,1477958400
2016-12,140,12,1480550400
2017-01,56,10,1483228800
2017-02,127,10,1485907200
2017-03,137,14,1488326400
2017-04,81,9,1491004800
2017-05,60,10,1493596800
2017-06,69,6,1496275200
2017-07,85,10,1498867200
2017-08,90,11,1501545600
2017-09,44,10,1504224000
2017-10,94,11,1506816000
2017-11,122,7,1509494400
2017-12,85,6,1512086400
2018-01,68,9,1514764800
2018-02,130,16,1517443200
2018-03,260,17,1519862400
2018-04,187,15,1522540800
2018-05,182,12,1525132800
2018-06,109,9,1527811200
2018-07,130,8,1530403200
2018-08,194,12,1533081600
2018-09,249,9,1535760000
2018-10,243,16,1538352000
2018-11,194,13,1541030400
2018-12,53,9,1543622400
2019-01,54,12,1546300800
2019-02,90,14,1548979200
2019-03,74,9,1551398400
2019-04,164,13,1554076800
2019-05,170,9,1556668800
2019-06,123,11,1559347200
2019-07,125,13,1561939200
2019-08,256,11,1564617600
2019-09,123,16,1567296000
2019-10,98,13,1569888000
2019-11,153,12,1572566400
2019-12,133,16,1575158400
2020-01,210,25,1577836800
2020-02,185,13,1580515200
2020-03,281,18,1583020800
2020-04,376,26,1585699200
2020-05,298,23,1588291200
2020-06,465,15,1590969600
2020-07,356,25,1593561600
2020-08,163,21,1596240000
2020-09,62,13,1598918400
