YYYY-MM,nCommits,nAuthors,timestamp
2011-09,43,7,1314835200
2011-10,119,10,1317427200
2011-11,187,19,1320105600
2011-12,259,25,1322697600
2012-01,279,29,1325376000
2012-02,348,41,1328054400
2012-03,287,43,1330560000
2012-04,254,42,1333238400
2012-05,276,43,1335830400
2012-06,198,33,1338508800
2012-07,141,28,1341100800
2012-08,148,41,1343779200
2012-09,205,41,1346457600
2012-10,230,31,1349049600
2012-11,294,46,1351728000
2012-12,145,37,1354320000
2013-01,336,62,1356998400
2013-02,246,58,1359676800
2013-03,209,64,1362096000
2013-04,276,58,1364774400
2013-05,168,36,1367366400
2013-06,184,49,1370044800
2013-07,317,52,1372636800
2013-08,346,43,1375315200
2013-09,449,65,1377993600
2013-10,572,78,1380585600
2013-11,237,46,1383264000
2013-12,156,42,1385856000
2014-01,199,46,1388534400
2014-02,197,49,1391212800
2014-03,284,46,1393632000
2014-04,342,76,1396310400
2014-05,410,53,1398902400
2014-06,233,37,1401580800
2014-07,215,35,1404172800
2014-08,232,46,1406851200
2014-09,146,39,1409529600
2014-10,182,32,1412121600
2014-11,141,32,1414800000
2014-12,124,28,1417392000
2015-01,154,45,1420070400
2015-02,214,37,1422748800
2015-03,286,50,1425168000
2015-04,292,50,1427846400
2015-05,378,47,1430438400
2015-06,233,54,1433116800
2015-07,93,34,1435708800
2015-08,171,43,1438387200
2015-09,113,37,1441065600
2015-10,79,32,1443657600
2015-11,130,50,1446336000
2015-12,107,28,1448928000
2016-01,104,34,1451606400
2016-02,390,42,1454284800
2016-03,262,35,1456790400
2016-04,215,44,1459468800
2016-05,165,70,1462060800
2016-06,128,36,1464739200
2016-07,109,30,1467331200
2016-08,258,53,1470009600
2016-09,267,43,1472688000
2016-10,118,36,1475280000
2016-11,133,33,1477958400
2016-12,151,38,1480550400
2017-01,148,40,1483228800
2017-02,188,43,1485907200
2017-03,442,112,1488326400
2017-04,336,71,1491004800
2017-05,215,35,1493596800
2017-06,336,32,1496275200
2017-07,307,41,1498867200
2017-08,136,33,1501545600
2017-09,207,34,1504224000
2017-10,257,50,1506816000
2017-11,176,33,1509494400
2017-12,159,25,1512086400
2018-01,144,25,1514764800
2018-02,160,42,1517443200
2018-03,166,23,1519862400
2018-04,154,37,1522540800
2018-05,138,35,1525132800
2018-06,80,22,1527811200
2018-07,132,25,1530403200
2018-08,102,21,1533081600
2018-09,177,38,1535760000
2018-10,413,43,1538352000
2018-11,399,45,1541030400
2018-12,217,37,1543622400
2019-01,332,47,1546300800
2019-02,202,41,1548979200
2019-03,240,21,1551398400
2019-04,283,29,1554076800
2019-05,262,22,1556668800
2019-06,146,23,1559347200
2019-07,221,29,1561939200
2019-08,157,19,1564617600
2019-09,220,14,1567296000
2019-10,259,20,1569888000
2019-11,125,13,1572566400
2019-12,178,19,1575158400
2020-01,147,16,1577836800
2020-02,137,16,1580515200
2020-03,88,13,1583020800
2020-04,134,12,1585699200
2020-05,163,15,1588291200
2020-06,61,13,1590969600
2020-07,39,7,1593561600
2020-08,39,7,1596240000
2020-09,49,20,1598918400
