YYYY-MM,nCommits,nAuthors,timestamp
2011-04,4,1,1301616000
2011-06,31,4,1306886400
2011-07,125,5,1309478400
2011-08,6,2,1312156800
2011-09,20,2,1314835200
2011-10,14,1,1317427200
2011-11,9,2,1320105600
2011-12,73,5,1322697600
2012-01,170,8,1325376000
2012-02,110,3,1328054400
2012-03,25,2,1330560000
2012-04,12,2,1333238400
2012-05,20,1,1335830400
2012-06,34,5,1338508800
2012-07,147,6,1341100800
2012-08,16,2,1343779200
2012-09,96,7,1346457600
2012-10,15,3,1349049600
2012-11,75,5,1351728000
2012-12,122,4,1354320000
2013-01,106,5,1356998400
2013-02,39,4,1359676800
2013-03,47,4,1362096000
2013-04,89,4,1364774400
2013-05,84,6,1367366400
2013-06,50,6,1370044800
2013-07,56,6,1372636800
2013-08,123,6,1375315200
2013-09,39,3,1377993600
2013-10,101,5,1380585600
2013-11,80,6,1383264000
2013-12,86,5,1385856000
2014-01,117,7,1388534400
2014-02,70,5,1391212800
2014-03,20,4,1393632000
2014-04,59,5,1396310400
2014-05,132,9,1398902400
2014-06,149,5,1401580800
2014-07,53,3,1404172800
2014-08,65,2,1406851200
2014-09,156,9,1409529600
2014-10,115,8,1412121600
2014-11,73,7,1414800000
2014-12,88,8,1417392000
2015-01,90,7,1420070400
2015-02,90,7,1422748800
2015-03,168,10,1425168000
2015-04,197,11,1427846400
2015-05,55,7,1430438400
2015-06,201,6,1433116800
2015-07,149,5,1435708800
2015-08,62,7,1438387200
2015-09,45,6,1441065600
2015-10,166,6,1443657600
2015-11,88,6,1446336000
2015-12,127,6,1448928000
2016-01,182,5,1451606400
2016-02,188,5,1454284800
2016-03,163,6,1456790400
2016-04,109,4,1459468800
2016-05,100,10,1462060800
2016-06,245,8,1464739200
2016-07,197,8,1467331200
2016-08,46,7,1470009600
2016-09,256,9,1472688000
2016-10,195,10,1475280000
2016-11,114,8,1477958400
2016-12,42,5,1480550400
2017-01,92,5,1483228800
2017-02,108,7,1485907200
2017-03,178,12,1488326400
2017-04,212,14,1491004800
2017-05,216,11,1493596800
2017-06,217,10,1496275200
2017-07,135,10,1498867200
2017-08,186,11,1501545600
2017-09,372,18,1504224000
2017-10,170,13,1506816000
2017-11,154,11,1509494400
2017-12,65,6,1512086400
2018-01,62,8,1514764800
2018-02,170,9,1517443200
2018-03,216,11,1519862400
2018-04,126,9,1522540800
2018-05,101,8,1525132800
2018-06,102,9,1527811200
2018-07,127,10,1530403200
2018-08,22,7,1533081600
2018-09,150,10,1535760000
2018-10,180,11,1538352000
2018-11,130,8,1541030400
2018-12,209,11,1543622400
2019-01,52,9,1546300800
2019-02,72,8,1548979200
2019-03,71,5,1551398400
2019-04,140,18,1554076800
2019-05,163,14,1556668800
2019-06,82,10,1559347200
2019-07,337,9,1561939200
2019-08,178,11,1564617600
2019-09,41,8,1567296000
2019-10,64,7,1569888000
2019-11,61,5,1572566400
2019-12,8,4,1575158400
2020-01,127,7,1577836800
2020-02,51,7,1580515200
2020-03,84,10,1583020800
2020-04,39,10,1585699200
2020-05,34,11,1588291200
2020-06,75,7,1590969600
2020-07,67,9,1593561600
2020-08,50,8,1596240000
2020-09,6,3,1598918400
