YYYY-MM,nCommits,nAuthors,timestamp
2011-12,61,7,1322697600
2012-01,133,3,1325376000
2012-02,200,7,1328054400
2012-03,160,9,1330560000
2012-04,168,9,1333238400
2012-05,294,13,1335830400
2012-06,367,16,1338508800
2012-07,436,14,1341100800
2012-08,508,18,1343779200
2012-09,659,16,1346457600
2012-10,169,12,1349049600
2012-11,229,14,1351728000
2012-12,212,14,1354320000
2013-01,130,11,1356998400
2013-02,61,8,1359676800
2013-03,59,10,1362096000
2013-04,81,10,1364774400
2013-05,228,11,1367366400
2013-06,222,12,1370044800
2013-07,178,11,1372636800
2013-08,194,9,1375315200
2013-09,392,11,1377993600
2013-10,137,11,1380585600
2013-11,263,15,1383264000
2013-12,122,9,1385856000
2014-01,146,13,1388534400
2014-02,74,9,1391212800
2014-03,78,8,1393632000
2014-04,102,9,1396310400
2014-05,80,8,1398902400
2014-06,52,10,1401580800
2014-07,140,12,1404172800
2014-08,62,8,1406851200
2014-09,78,11,1409529600
2014-10,58,9,1412121600
2014-11,112,10,1414800000
2014-12,67,11,1417392000
2015-01,74,9,1420070400
2015-02,66,9,1422748800
2015-03,59,9,1425168000
2015-04,91,12,1427846400
2015-05,68,11,1430438400
2015-06,81,13,1433116800
2015-07,65,11,1435708800
2015-08,58,9,1438387200
2015-09,27,4,1441065600
2015-10,278,16,1443657600
2015-11,482,19,1446336000
2015-12,319,13,1448928000
2016-01,343,12,1451606400
2016-02,461,14,1454284800
2016-03,161,13,1456790400
2016-04,127,11,1459468800
2016-05,104,12,1462060800
2016-06,157,20,1464739200
2016-07,132,11,1467331200
2016-08,160,7,1470009600
2016-09,175,12,1472688000
2016-10,149,12,1475280000
2016-11,74,11,1477958400
2016-12,73,11,1480550400
2017-01,210,13,1483228800
2017-02,115,8,1485907200
2017-03,106,8,1488326400
2017-04,68,10,1491004800
2017-05,41,7,1493596800
2017-06,45,7,1496275200
2017-07,45,5,1498867200
2017-08,27,4,1501545600
2017-09,15,4,1504224000
2017-10,44,5,1506816000
2017-11,13,4,1509494400
2017-12,10,3,1512086400
2018-01,6,4,1514764800
2018-02,2,2,1517443200
2018-03,2,2,1519862400
2018-04,5,1,1522540800
2018-05,8,5,1525132800
2018-06,55,5,1527811200
2018-07,5,4,1530403200
2018-08,1,1,1533081600
2018-09,9,3,1535760000
2018-10,11,3,1538352000
2018-11,31,5,1541030400
2018-12,166,3,1543622400
2019-01,263,3,1546300800
2019-02,72,3,1548979200
2019-03,698,3,1551398400
2019-04,426,3,1554076800
2019-05,67,2,1556668800
2019-06,80,3,1559347200
2019-07,401,2,1561939200
2019-08,192,3,1564617600
2019-09,125,3,1567296000
2019-10,55,3,1569888000
2019-11,247,3,1572566400
2019-12,194,3,1575158400
2020-01,21,3,1577836800
2020-02,1,1,1580515200
2020-03,8,2,1583020800
2020-04,317,4,1585699200
2020-05,79,2,1588291200
