YYYY-MM,nCommits,nAuthors,timestamp
2014-09,151,2,1409529600
2014-10,418,2,1412121600
2014-11,258,2,1414800000
2014-12,364,5,1417392000
2015-01,187,4,1420070400
2015-02,232,3,1422748800
2015-03,414,6,1425168000
2015-04,230,3,1427846400
2015-05,34,2,1430438400
2015-06,47,3,1433116800
2015-07,77,6,1435708800
2015-08,14,4,1438387200
2015-09,172,3,1441065600
2015-10,329,4,1443657600
2015-11,139,2,1446336000
2015-12,27,2,1448928000
2016-01,13,1,1451606400
2016-02,16,1,1454284800
2016-03,19,3,1456790400
2016-04,102,10,1459468800
2016-05,150,10,1462060800
2016-06,10,3,1464739200
2016-07,32,1,1467331200
2016-08,39,4,1470009600
2016-10,49,1,1475280000
2016-11,109,8,1477958400
2016-12,161,8,1480550400
2017-01,40,2,1483228800
2017-02,15,4,1485907200
2017-03,24,2,1488326400
2017-04,52,5,1491004800
2017-05,62,4,1493596800
2017-06,27,7,1496275200
2017-07,193,2,1498867200
2017-08,33,1,1501545600
2017-09,103,3,1504224000
2017-10,22,1,1506816000
2017-11,77,7,1509494400
2017-12,30,2,1512086400
2018-01,54,2,1514764800
2018-02,7,3,1517443200
2018-03,8,2,1519862400
2018-04,32,1,1522540800
2018-05,13,1,1525132800
2018-06,39,4,1527811200
2018-07,31,4,1530403200
2018-08,9,1,1533081600
2018-09,37,5,1535760000
2018-10,39,5,1538352000
2018-11,34,4,1541030400
2018-12,42,4,1543622400
2019-01,66,6,1546300800
2019-02,20,3,1548979200
2019-03,37,2,1551398400
2019-04,16,3,1554076800
2019-05,31,1,1556668800
2019-06,3,1,1559347200
2019-07,7,1,1561939200
2019-08,1,1,1564617600
2019-09,41,2,1567296000
2019-10,40,2,1569888000
2019-11,14,4,1572566400
2019-12,26,2,1575158400
2020-01,19,2,1577836800
2020-02,57,3,1580515200
2020-03,6,1,1583020800
2020-04,1,1,1585699200
2020-05,25,1,1588291200
2020-06,40,2,1590969600
2020-07,29,1,1593561600
2020-08,41,1,1596240000
2020-09,10,1,1598918400
