YYYY-MM,nCommits,nAuthors,timestamp
2014-06,13,3,1401580800
2014-07,151,4,1404172800
2014-08,159,7,1406851200
2014-09,59,9,1409529600
2014-10,26,8,1412121600
2014-11,22,6,1414800000
2014-12,24,6,1417392000
2015-01,1,1,1420070400
2015-02,29,5,1422748800
2015-03,35,9,1425168000
2015-04,70,7,1427846400
2015-05,27,7,1430438400
2015-06,106,11,1433116800
2015-07,141,8,1435708800
2015-08,13,6,1438387200
2015-09,8,4,1441065600
2015-10,30,6,1443657600
2015-11,77,13,1446336000
2015-12,32,11,1448928000
2016-01,31,8,1451606400
2016-02,82,11,1454284800
2016-03,58,19,1456790400
2016-04,18,7,1459468800
2016-05,59,8,1462060800
2016-06,38,9,1464739200
2016-07,100,13,1467331200
2016-08,106,12,1470009600
2016-09,68,10,1472688000
2016-10,27,8,1475280000
2016-11,18,7,1477958400
2016-12,41,3,1480550400
2017-01,68,2,1483228800
2017-02,124,12,1485907200
2017-03,432,17,1488326400
2017-04,110,12,1491004800
2017-05,179,20,1493596800
2017-06,238,13,1496275200
2017-07,270,13,1498867200
2017-08,142,17,1501545600
2017-09,104,13,1504224000
2017-10,112,16,1506816000
2017-11,49,11,1509494400
2017-12,21,7,1512086400
2018-01,67,13,1514764800
2018-02,84,11,1517443200
2018-03,91,11,1519862400
2018-04,211,12,1522540800
2018-05,176,15,1525132800
2018-06,121,11,1527811200
2018-07,70,9,1530403200
2018-08,163,14,1533081600
2018-09,85,15,1535760000
2018-10,85,12,1538352000
2018-11,92,11,1541030400
2018-12,103,11,1543622400
2019-01,59,9,1546300800
2019-02,82,11,1548979200
2019-03,209,20,1551398400
2019-04,116,15,1554076800
2019-05,79,15,1556668800
2019-06,85,16,1559347200
2019-07,94,11,1561939200
2019-08,55,13,1564617600
2019-09,94,18,1567296000
2019-10,130,12,1569888000
2019-11,106,15,1572566400
2019-12,112,12,1575158400
2020-01,131,15,1577836800
2020-02,101,15,1580515200
2020-03,91,18,1583020800
2020-04,72,13,1585699200
2020-05,158,19,1588291200
2020-06,70,16,1590969600
2020-07,111,19,1593561600
2020-08,47,11,1596240000
2020-09,17,6,1598918400
