YYYY-MM,nCommits,nAuthors,timestamp
2010-08,276,6,1280620800
2010-09,328,3,1283299200
2010-10,775,8,1285891200
2010-11,471,6,1288569600
2010-12,179,6,1291161600
2011-01,135,4,1293840000
2011-02,7,2,1296518400
2011-03,2,2,1298937600
2011-04,29,2,1301616000
2011-05,49,3,1304208000
2011-06,75,3,1306886400
2011-07,31,2,1309478400
2011-08,3,1,1312156800
2011-09,21,3,1314835200
2011-10,31,2,1317427200
2011-11,75,2,1320105600
2011-12,42,2,1322697600
2012-01,10,1,1325376000
2012-02,2,1,1328054400
2012-03,51,2,1330560000
2012-04,3,1,1333238400
2012-05,15,1,1335830400
2012-07,13,4,1341100800
2012-08,17,3,1343779200
2012-11,2,2,1351728000
2012-12,15,2,1354320000
2013-01,1,1,1356998400
2013-02,2,1,1359676800
2013-03,6,2,1362096000
2013-05,6,1,1367366400
2013-06,28,2,1370044800
2013-07,8,6,1372636800
2013-08,33,5,1375315200
2013-09,13,5,1377993600
2013-10,12,2,1380585600
2013-11,8,1,1383264000
2014-01,20,6,1388534400
2014-02,40,5,1391212800
2014-03,81,6,1393632000
2014-04,18,3,1396310400
2014-05,59,5,1398902400
2014-06,31,5,1401580800
2014-07,13,3,1404172800
2014-08,48,3,1406851200
2014-09,39,4,1409529600
2014-10,12,2,1412121600
2014-11,75,9,1414800000
2014-12,55,6,1417392000
2015-01,32,8,1420070400
2015-02,24,4,1422748800
2015-03,8,4,1425168000
2015-04,39,5,1427846400
2015-05,19,4,1430438400
2015-06,44,5,1433116800
2015-07,117,6,1435708800
2015-08,35,4,1438387200
2015-09,54,2,1441065600
2015-10,89,7,1443657600
2015-11,66,5,1446336000
2015-12,31,4,1448928000
2016-01,33,6,1451606400
2016-02,14,2,1454284800
2016-03,71,6,1456790400
2016-04,72,7,1459468800
2016-05,60,6,1462060800
2016-06,62,3,1464739200
2016-07,71,5,1467331200
2016-08,34,6,1470009600
2016-09,93,9,1472688000
2016-10,92,7,1475280000
2016-11,176,10,1477958400
2016-12,274,8,1480550400
2017-01,128,7,1483228800
2017-02,306,5,1485907200
2017-03,231,7,1488326400
2017-04,222,7,1491004800
2017-05,142,6,1493596800
2017-06,64,5,1496275200
2017-07,55,4,1498867200
2017-08,18,4,1501545600
2017-09,54,4,1504224000
2017-10,43,4,1506816000
2017-11,86,5,1509494400
2017-12,22,3,1512086400
2018-01,12,3,1514764800
2018-02,140,6,1517443200
2018-03,148,8,1519862400
2018-04,23,6,1522540800
2018-05,158,12,1525132800
2018-06,88,8,1527811200
2018-07,80,6,1530403200
2018-08,128,7,1533081600
2018-09,45,5,1535760000
2018-10,61,10,1538352000
2018-11,48,4,1541030400
2018-12,88,7,1543622400
2019-01,25,5,1546300800
2019-02,114,10,1548979200
2019-03,170,10,1551398400
2019-04,352,6,1554076800
2019-05,158,7,1556668800
2019-06,77,3,1559347200
2019-07,139,1,1561939200
2019-08,287,1,1564617600
2019-09,37,1,1567296000
2019-10,109,7,1569888000
2019-11,80,4,1572566400
2019-12,76,5,1575158400
2020-01,59,3,1577836800
2020-02,54,2,1580515200
2020-03,6,2,1583020800
2020-04,101,4,1585699200
2020-05,13,2,1588291200
2020-06,161,5,1590969600
2020-07,213,12,1593561600
2020-08,74,11,1596240000
