YYYY-MM,nCommits,nAuthors,timestamp
1999-08,38,8,933465600
1999-09,64,7,936144000
1999-10,180,11,938736000
1999-11,62,9,941414400
1999-12,72,9,944006400
2000-01,76,7,946684800
2000-02,23,5,949363200
2000-03,94,14,951868800
2000-04,248,15,954547200
2000-05,117,14,957139200
2000-06,164,16,959817600
2000-07,177,13,962409600
2000-08,53,12,965088000
2000-09,24,6,967766400
2000-10,76,11,970358400
2000-11,205,15,973036800
2000-12,176,14,975628800
2001-01,176,14,978307200
2001-02,154,16,980985600
2001-03,93,12,983404800
2001-04,151,15,986083200
2001-05,113,18,988675200
2001-06,149,17,991353600
2001-07,231,19,993945600
2001-08,203,16,996624000
2001-09,119,13,999302400
2001-10,90,15,1001894400
2001-11,113,19,1004572800
2001-12,98,13,1007164800
2002-01,200,16,1009843200
2002-02,183,17,1012521600
2002-03,136,21,1014940800
2002-04,119,17,1017619200
2002-05,130,22,1020211200
2002-06,83,16,1022889600
2002-07,211,20,1025481600
2002-08,91,19,1028160000
2002-09,45,11,1030838400
2002-10,110,11,1033430400
2002-11,112,14,1036108800
2002-12,142,12,1038700800
2003-01,71,13,1041379200
2003-02,67,9,1044057600
2003-03,76,10,1046476800
2003-04,33,7,1049155200
2003-05,25,10,1051747200
2003-06,31,12,1054425600
2003-07,21,9,1057017600
2003-08,25,7,1059696000
2003-09,70,12,1062374400
2003-10,35,8,1064966400
2003-11,96,13,1067644800
2003-12,53,7,1070236800
2004-01,33,4,1072915200
2004-02,45,8,1075593600
2004-03,101,9,1078099200
2004-04,52,7,1080777600
2004-05,57,6,1083369600
2004-06,111,12,1086048000
2004-07,40,11,1088640000
2004-08,25,7,1091318400
2004-09,40,11,1093996800
2004-10,8,4,1096588800
2004-11,73,12,1099267200
2004-12,38,11,1101859200
2005-01,56,10,1104537600
2005-02,29,7,1107216000
2005-03,24,3,1109635200
2005-04,13,5,1112313600
2005-05,57,6,1114905600
2005-06,35,8,1117584000
2005-07,29,6,1120176000
2005-08,41,7,1122854400
2005-09,64,5,1125532800
2005-10,37,8,1128124800
2005-11,10,5,1130803200
2005-12,26,6,1133395200
2006-01,52,7,1136073600
2006-02,66,4,1138752000
2006-03,115,6,1141171200
2006-04,42,6,1143849600
2006-05,3,3,1146441600
2006-06,28,7,1149120000
2006-07,57,7,1151712000
2006-08,15,5,1154390400
2006-09,24,6,1157068800
2006-10,14,4,1159660800
2006-11,25,3,1162339200
2006-12,5,4,1164931200
2007-01,31,6,1167609600
2007-02,15,6,1170288000
2007-03,5,4,1172707200
2007-04,26,4,1175385600
2007-05,85,5,1177977600
2007-06,48,3,1180656000
2007-07,47,3,1183248000
2007-08,58,8,1185926400
2007-09,34,6,1188604800
2007-10,216,9,1191196800
2007-11,71,6,1193875200
2007-12,15,4,1196467200
2008-01,5,3,1199145600
2008-02,5,4,1201824000
2008-03,4,2,1204329600
2008-04,47,7,1207008000
2008-05,88,8,1209600000
2008-06,55,8,1212278400
2008-07,13,5,1214870400
2008-08,18,5,1217548800
2008-09,1,1,1220227200
2008-10,2,2,1222819200
2008-11,12,4,1225497600
2008-12,3,2,1228089600
2009-01,24,4,1230768000
