YYYY-MM,nCommits,nAuthors,timestamp
2014-04,90,20,1396310400
2014-05,115,9,1398902400
2014-06,204,18,1401580800
2014-07,86,19,1404172800
2014-08,19,13,1406851200
2014-09,47,22,1409529600
2014-10,36,13,1412121600
2014-11,37,16,1414800000
2014-12,187,22,1417392000
2015-01,190,29,1420070400
2015-02,155,15,1422748800
2015-03,79,6,1425168000
2015-04,119,13,1427846400
2015-05,99,12,1430438400
2015-06,82,9,1433116800
2015-07,75,9,1435708800
2015-08,101,6,1438387200
2015-09,67,3,1441065600
2015-10,85,6,1443657600
2015-11,121,11,1446336000
2015-12,77,7,1448928000
2016-01,100,8,1451606400
2016-02,71,4,1454284800
2016-03,73,7,1456790400
2016-04,89,7,1459468800
2016-05,81,8,1462060800
2016-06,65,3,1464739200
2016-07,104,8,1467331200
2016-08,70,10,1470009600
2016-09,67,6,1472688000
2016-10,97,7,1475280000
2016-11,84,4,1477958400
2016-12,49,1,1480550400
2017-01,69,4,1483228800
2017-02,94,8,1485907200
2017-03,131,10,1488326400
2017-04,67,7,1491004800
2017-05,36,11,1493596800
2017-06,25,10,1496275200
2017-07,14,8,1498867200
2017-08,31,6,1501545600
2017-09,112,17,1504224000
2017-10,63,14,1506816000
2017-11,44,15,1509494400
2017-12,33,13,1512086400
2018-01,118,20,1514764800
2018-02,15,9,1517443200
2018-03,36,8,1519862400
2018-04,62,8,1522540800
2018-05,20,9,1525132800
2018-06,1,1,1527811200
2018-07,10,5,1530403200
2018-08,12,6,1533081600
2018-09,12,8,1535760000
2018-10,7,3,1538352000
2018-11,17,9,1541030400
2018-12,32,15,1543622400
2019-01,20,13,1546300800
2019-02,22,7,1548979200
2019-03,16,9,1551398400
2019-04,28,8,1554076800
2019-05,12,6,1556668800
2019-06,26,6,1559347200
2019-07,32,11,1561939200
2019-08,23,11,1564617600
2019-09,42,7,1567296000
2019-10,26,10,1569888000
2019-11,5,5,1572566400
2019-12,6,3,1575158400
2020-01,3,3,1577836800
2020-02,14,7,1580515200
2020-03,39,11,1583020800
2020-04,27,13,1585699200
2020-05,11,5,1588291200
2020-06,10,8,1590969600
2020-07,5,4,1593561600
2020-08,26,10,1596240000
2020-09,2,1,1598918400
