YYYY-MM,nCommits,nAuthors,timestamp
2012-12,59,2,1354320000
2013-01,23,1,1356998400
2013-02,9,1,1359676800
2013-03,8,1,1362096000
2013-04,23,1,1364774400
2013-05,60,1,1367366400
2013-06,75,2,1370044800
2013-07,17,1,1372636800
2013-08,20,1,1375315200
2013-09,17,1,1377993600
2013-10,17,2,1380585600
2013-11,21,2,1383264000
2013-12,5,1,1385856000
2014-01,7,4,1388534400
2014-02,34,1,1391212800
2014-03,22,1,1393632000
2014-04,10,1,1396310400
2014-05,7,1,1398902400
2014-06,28,3,1401580800
2014-07,17,1,1404172800
2014-08,2,1,1406851200
2014-09,14,1,1409529600
2014-10,22,2,1412121600
2014-11,46,2,1414800000
2014-12,49,1,1417392000
2015-01,19,2,1420070400
2015-02,10,5,1422748800
2015-03,8,3,1425168000
2015-04,21,2,1427846400
2015-05,10,4,1430438400
2015-06,15,3,1433116800
2015-07,31,2,1435708800
2015-08,16,3,1438387200
2015-09,21,1,1441065600
2015-10,19,3,1443657600
2015-11,169,4,1446336000
2015-12,104,3,1448928000
2016-01,26,8,1451606400
2016-02,42,5,1454284800
2016-03,61,7,1456790400
2016-04,47,6,1459468800
2016-05,30,6,1462060800
2016-06,43,7,1464739200
2016-07,75,5,1467331200
2016-08,227,9,1470009600
2016-09,115,4,1472688000
2016-10,142,4,1475280000
2016-11,65,8,1477958400
2016-12,181,9,1480550400
2017-01,199,13,1483228800
2017-02,65,3,1485907200
2017-03,123,10,1488326400
2017-04,51,11,1491004800
2017-05,51,11,1493596800
2017-06,37,11,1496275200
2017-07,32,7,1498867200
2017-08,34,4,1501545600
2017-09,22,6,1504224000
2017-10,17,6,1506816000
2017-11,67,6,1509494400
2017-12,153,5,1512086400
2018-01,77,11,1514764800
2018-02,43,6,1517443200
2018-03,62,10,1519862400
2018-04,82,11,1522540800
2018-05,14,5,1525132800
2018-06,28,6,1527811200
2018-07,93,8,1530403200
2018-08,100,5,1533081600
2018-09,12,3,1535760000
2018-10,6,3,1538352000
2018-11,29,5,1541030400
2018-12,90,4,1543622400
2019-01,108,3,1546300800
2019-02,103,3,1548979200
2019-03,96,6,1551398400
2019-04,28,7,1554076800
2019-05,47,8,1556668800
2019-06,41,5,1559347200
2019-07,37,3,1561939200
2019-08,28,3,1564617600
2019-09,10,4,1567296000
2019-10,36,3,1569888000
2019-11,23,3,1572566400
2019-12,70,4,1575158400
2020-01,102,5,1577836800
2020-02,72,4,1580515200
2020-03,40,5,1583020800
2020-04,78,4,1585699200
2020-05,28,3,1588291200
2020-06,31,3,1590969600
2020-07,14,3,1593561600
2020-08,10,3,1596240000
