YYYY-MM,nCommits,nAuthors,timestamp
2012-05,5,1,1335830400
2012-09,10,3,1346457600
2012-10,117,2,1349049600
2012-11,70,5,1351728000
2012-12,54,6,1354320000
2013-01,61,7,1356998400
2013-02,50,4,1359676800
2013-03,115,2,1362096000
2013-04,181,4,1364774400
2013-05,83,5,1367366400
2013-06,45,7,1370044800
2013-07,27,4,1372636800
2013-08,37,3,1375315200
2013-09,91,6,1377993600
2013-10,74,6,1380585600
2013-11,16,3,1383264000
2013-12,21,6,1385856000
2014-01,56,4,1388534400
2014-02,26,6,1391212800
2014-03,82,5,1393632000
2014-04,36,9,1396310400
2014-05,34,5,1398902400
2014-06,101,6,1401580800
2014-07,149,7,1404172800
2014-08,44,4,1406851200
2014-09,103,7,1409529600
2014-10,22,6,1412121600
2014-11,46,5,1414800000
2014-12,7,3,1417392000
2015-01,35,3,1420070400
2015-02,49,4,1422748800
2015-03,96,10,1425168000
2015-04,93,7,1427846400
2015-05,99,13,1430438400
2015-06,96,4,1433116800
2015-07,81,8,1435708800
2015-08,16,5,1438387200
2015-09,51,7,1441065600
2015-10,64,9,1443657600
2015-11,57,6,1446336000
2015-12,72,10,1448928000
2016-01,84,5,1451606400
2016-02,121,6,1454284800
2016-03,154,6,1456790400
2016-04,191,11,1459468800
2016-05,116,5,1462060800
2016-06,191,11,1464739200
2016-07,115,9,1467331200
2016-08,111,11,1470009600
2016-09,137,8,1472688000
2016-10,37,9,1475280000
2016-11,89,13,1477958400
2016-12,67,14,1480550400
2017-01,150,11,1483228800
2017-02,164,12,1485907200
2017-03,193,15,1488326400
2017-04,81,10,1491004800
2017-05,91,9,1493596800
2017-06,199,13,1496275200
2017-07,129,14,1498867200
2017-08,98,14,1501545600
2017-09,156,21,1504224000
2017-10,118,16,1506816000
2017-11,94,13,1509494400
2017-12,285,16,1512086400
2018-01,202,17,1514764800
2018-02,93,11,1517443200
2018-03,189,19,1519862400
2018-04,116,15,1522540800
2018-05,26,9,1525132800
2018-06,12,5,1527811200
2018-07,40,7,1530403200
2018-08,13,6,1533081600
2018-09,57,9,1535760000
2018-10,61,13,1538352000
2018-11,111,17,1541030400
2018-12,47,12,1543622400
2019-01,63,14,1546300800
2019-02,13,7,1548979200
2019-03,38,6,1551398400
2019-04,25,11,1554076800
2019-05,18,11,1556668800
2019-06,29,9,1559347200
2019-07,8,4,1561939200
2019-08,18,4,1564617600
2019-09,45,8,1567296000
2019-10,74,16,1569888000
2019-11,149,15,1572566400
2019-12,38,8,1575158400
2020-01,92,18,1577836800
2020-02,33,11,1580515200
2020-03,52,14,1583020800
2020-04,66,16,1585699200
2020-05,23,8,1588291200
2020-06,28,11,1590969600
2020-07,17,7,1593561600
2020-08,34,10,1596240000
2020-09,5,4,1598918400
