YYYY-MM,nCommits,nAuthors,timestamp
2004-08,6,1,1091318400
2004-09,63,1,1093996800
2004-10,2,1,1096588800
2004-11,34,2,1099267200
2004-12,29,2,1101859200
2005-02,40,1,1107216000
2005-03,78,3,1109635200
2005-04,26,4,1112313600
2005-05,164,6,1114905600
2005-06,21,5,1117584000
2005-07,38,5,1120176000
2005-08,43,7,1122854400
2005-09,74,2,1125532800
2005-10,46,7,1128124800
2005-11,59,6,1130803200
2005-12,73,7,1133395200
2006-01,34,6,1136073600
2006-02,41,4,1138752000
2006-03,78,4,1141171200
2006-04,49,6,1143849600
2006-05,64,6,1146441600
2006-06,30,5,1149120000
2006-07,116,8,1151712000
2006-08,101,8,1154390400
2006-09,107,9,1157068800
2006-10,123,11,1159660800
2006-11,161,11,1162339200
2006-12,141,11,1164931200
2007-01,190,13,1167609600
2007-02,157,15,1170288000
2007-03,178,21,1172707200
2007-04,331,24,1175385600
2007-05,375,26,1177977600
2007-06,359,25,1180656000
2007-07,449,23,1183248000
2007-08,507,25,1185926400
2007-09,400,26,1188604800
2007-10,480,29,1191196800
2007-11,575,24,1193875200
2007-12,360,28,1196467200
2008-01,532,33,1199145600
2008-02,266,23,1201824000
2008-03,233,26,1204329600
2008-04,372,33,1207008000
2008-05,412,35,1209600000
2008-06,606,47,1212278400
2008-07,795,47,1214870400
2008-08,949,48,1217548800
2008-09,642,49,1220227200
2008-10,568,50,1222819200
2008-11,577,55,1225497600
2008-12,1039,44,1228089600
2009-01,1452,55,1230768000
2009-02,930,55,1233446400
2009-03,878,48,1235865600
2009-04,966,49,1238544000
2009-05,1184,57,1241136000
2009-06,1574,67,1243814400
2009-07,1028,57,1246406400
2009-08,1328,58,1249084800
2009-09,954,58,1251763200
2009-10,1022,52,1254355200
2009-11,966,49,1257033600
2009-12,728,46,1259625600
2010-01,916,41,1262304000
2010-02,1056,47,1264982400
2010-03,1058,59,1267401600
2010-04,550,45,1270080000
2010-05,996,47,1272672000
2010-06,1204,52,1275350400
2010-07,754,44,1277942400
2010-08,792,47,1280620800
2010-09,812,45,1283299200
2017-03,5,2,1488326400
