YYYY-MM,nCommits,nAuthors,timestamp
2010-09,122,6,1283299200
2010-10,148,7,1285891200
2010-11,19,1,1288569600
2010-12,55,3,1291161600
2011-01,81,3,1293840000
2011-02,10,3,1296518400
2011-03,99,3,1298937600
2011-04,11,5,1301616000
2011-05,97,3,1304208000
2011-06,2,2,1306886400
2011-07,3,3,1309478400
2011-08,40,2,1312156800
2011-09,8,3,1314835200
2011-10,13,4,1317427200
2011-11,4,4,1320105600
2011-12,92,8,1322697600
2012-01,48,7,1325376000
2012-02,59,11,1328054400
2012-03,15,8,1330560000
2012-04,119,12,1333238400
2012-05,28,9,1335830400
2012-06,55,12,1338508800
2012-07,66,15,1341100800
2012-08,163,15,1343779200
2012-09,85,10,1346457600
2012-10,40,9,1349049600
2012-12,25,11,1354320000
2013-01,10,7,1356998400
2013-02,5,3,1359676800
2013-03,44,9,1362096000
2013-04,43,18,1364774400
2013-05,11,5,1367366400
2013-06,56,20,1370044800
2013-07,73,13,1372636800
2013-08,25,11,1375315200
2013-09,121,21,1377993600
2013-10,87,19,1380585600
2013-11,53,16,1383264000
2013-12,193,15,1385856000
2014-01,22,8,1388534400
2014-02,77,20,1391212800
2014-03,84,25,1393632000
2014-04,26,8,1396310400
2014-05,13,8,1398902400
2014-06,26,6,1401580800
2014-07,18,11,1404172800
2014-08,21,18,1406851200
2014-09,18,11,1409529600
2014-10,26,14,1412121600
2014-11,18,9,1414800000
2014-12,16,9,1417392000
2015-01,6,5,1420070400
2015-02,229,41,1422748800
2015-03,254,40,1425168000
2015-04,144,23,1427846400
2015-05,139,16,1430438400
2015-06,159,22,1433116800
2015-07,104,20,1435708800
2015-08,107,21,1438387200
2015-09,50,8,1441065600
2015-10,83,19,1443657600
2015-11,82,14,1446336000
2015-12,74,20,1448928000
2016-01,49,21,1451606400
2016-02,86,27,1454284800
2016-03,40,11,1456790400
2016-04,32,15,1459468800
2016-05,97,16,1462060800
2016-06,10,9,1464739200
2016-07,28,8,1467331200
2016-08,13,8,1470009600
2016-09,17,5,1472688000
2016-10,27,6,1475280000
2016-11,37,16,1477958400
2016-12,62,10,1480550400
2017-01,60,19,1483228800
2017-02,22,12,1485907200
2017-03,69,12,1488326400
2017-04,37,22,1491004800
2017-05,76,27,1493596800
2017-06,32,13,1496275200
2017-07,24,9,1498867200
2017-08,42,14,1501545600
2017-09,14,4,1504224000
2017-10,5,2,1506816000
2017-11,60,18,1509494400
2017-12,15,7,1512086400
2018-01,21,4,1514764800
2018-02,62,13,1517443200
2018-03,13,7,1519862400
2018-04,24,8,1522540800
2018-05,25,13,1525132800
2018-06,15,5,1527811200
2018-07,21,8,1530403200
2018-08,29,11,1533081600
2018-09,28,9,1535760000
2018-10,19,9,1538352000
2018-11,103,23,1541030400
2018-12,30,5,1543622400
2019-01,40,13,1546300800
2019-02,109,15,1548979200
2019-03,86,8,1551398400
2019-04,221,20,1554076800
2019-05,53,7,1556668800
2019-06,93,11,1559347200
2019-07,36,8,1561939200
2019-08,151,14,1564617600
2019-09,28,10,1567296000
2019-10,29,9,1569888000
2019-11,27,8,1572566400
2019-12,30,5,1575158400
2020-01,39,9,1577836800
2020-02,2,2,1580515200
2020-03,4,3,1583020800
2020-04,25,5,1585699200
2020-05,31,4,1588291200
2020-06,16,3,1590969600
2020-07,15,3,1593561600
2020-08,6,2,1596240000
