YYYY-MM,nCommits,nAuthors,timestamp
2005-06,5,1,1117584000
2005-07,78,1,1120176000
2005-08,24,1,1122854400
2005-09,241,1,1125532800
2005-10,178,1,1128124800
2005-11,121,2,1130803200
2005-12,95,2,1133395200
2006-01,100,2,1136073600
2006-02,164,4,1138752000
2006-03,160,4,1141171200
2006-04,66,4,1143849600
2006-05,77,2,1146441600
2006-06,94,4,1149120000
2006-07,75,3,1151712000
2006-08,81,2,1154390400
2006-09,82,2,1157068800
2006-10,126,2,1159660800
2006-11,42,3,1162339200
2006-12,50,2,1164931200
2007-01,99,3,1167609600
2007-02,79,2,1170288000
2007-03,73,2,1172707200
2007-04,89,4,1175385600
2007-05,80,3,1177977600
2007-06,132,6,1180656000
2007-07,275,7,1183248000
2007-08,275,6,1185926400
2007-09,82,5,1188604800
2007-10,143,7,1191196800
2007-11,123,5,1193875200
2007-12,116,6,1196467200
2008-01,112,5,1199145600
2008-02,76,6,1201824000
2008-03,118,7,1204329600
2008-04,76,7,1207008000
2008-05,158,7,1209600000
2008-06,45,4,1212278400
2008-07,97,7,1214870400
2008-08,79,7,1217548800
2008-09,63,6,1220227200
2008-10,76,5,1222819200
2008-11,80,4,1225497600
2008-12,115,6,1228089600
2009-01,171,6,1230768000
2009-02,47,6,1233446400
2009-03,69,6,1235865600
2009-04,43,7,1238544000
2009-05,59,3,1241136000
2009-06,37,3,1243814400
2009-07,143,5,1246406400
2009-08,80,4,1249084800
2009-09,50,4,1251763200
2009-10,73,5,1254355200
2009-11,65,2,1257033600
2009-12,75,3,1259625600
2010-01,108,4,1262304000
2010-02,155,6,1264982400
2010-03,270,8,1267401600
2010-04,168,4,1270080000
2010-05,32,1,1272672000
2010-06,38,1,1275350400
2010-07,64,2,1277942400
2010-08,83,1,1280620800
2010-09,100,3,1283299200
2010-10,43,3,1285891200
2010-11,125,3,1288569600
2010-12,154,3,1291161600
2011-01,81,1,1293840000
2011-02,81,2,1296518400
2011-03,111,9,1298937600
2011-04,98,3,1301616000
2011-05,51,2,1304208000
2011-06,66,1,1306886400
2011-07,61,1,1309478400
2011-08,43,1,1312156800
2011-09,54,1,1314835200
2011-10,39,1,1317427200
2011-11,29,2,1320105600
2011-12,60,2,1322697600
2012-01,87,3,1325376000
2012-02,67,1,1328054400
2012-03,44,4,1330560000
2012-04,74,6,1333238400
2012-05,53,1,1335830400
2012-06,105,2,1338508800
2012-07,55,1,1341100800
2012-08,143,5,1343779200
2012-09,143,5,1346457600
2012-10,113,3,1349049600
2012-11,82,7,1351728000
2012-12,76,6,1354320000
2013-01,58,6,1356998400
2013-02,70,3,1359676800
2013-03,108,9,1362096000
2013-04,140,3,1364774400
2013-05,117,6,1367366400
2013-06,199,9,1370044800
2013-07,100,5,1372636800
2013-08,123,6,1375315200
2013-09,31,6,1377993600
2013-10,119,6,1380585600
2013-11,156,9,1383264000
2013-12,184,9,1385856000
2014-01,135,12,1388534400
2014-02,135,11,1391212800
2014-03,121,8,1393632000
2014-04,53,11,1396310400
2014-05,169,13,1398902400
2014-06,96,12,1401580800
2014-07,247,12,1404172800
2014-08,171,8,1406851200
2014-09,137,10,1409529600
2014-10,89,9,1412121600
2014-11,57,9,1414800000
2014-12,94,6,1417392000
2015-01,83,5,1420070400
2015-02,48,5,1422748800
2015-03,129,10,1425168000
2015-04,97,7,1427846400
2015-05,61,7,1430438400
2015-06,76,11,1433116800
2015-07,58,3,1435708800
2015-08,74,7,1438387200
2015-09,63,8,1441065600
2015-10,56,4,1443657600
2015-11,98,10,1446336000
2015-12,87,5,1448928000
2016-01,144,11,1451606400
2016-02,88,6,1454284800
2016-03,59,8,1456790400
2016-04,60,22,1459468800
2016-05,62,14,1462060800
2016-06,55,5,1464739200
2016-07,66,11,1467331200
2016-08,37,9,1470009600
2016-09,48,6,1472688000
2016-10,69,8,1475280000
2016-11,31,6,1477958400
2016-12,21,8,1480550400
2017-01,76,9,1483228800
2017-02,25,5,1485907200
2017-03,83,10,1488326400
2017-04,67,4,1491004800
2017-05,107,10,1493596800
2017-06,47,7,1496275200
2017-07,66,6,1498867200
2017-08,124,5,1501545600
2017-09,84,4,1504224000
2017-10,67,10,1506816000
2017-11,36,8,1509494400
2017-12,34,4,1512086400
2018-01,67,9,1514764800
2018-02,76,8,1517443200
2018-03,78,6,1519862400
2018-04,43,7,1522540800
2018-05,52,4,1525132800
2018-06,87,11,1527811200
2018-07,62,9,1530403200
2018-08,75,5,1533081600
2018-09,64,10,1535760000
2018-10,61,9,1538352000
2018-11,100,8,1541030400
2018-12,101,12,1543622400
2019-01,158,15,1546300800
2019-02,81,11,1548979200
2019-03,63,13,1551398400
2019-04,132,15,1554076800
2019-05,123,12,1556668800
2019-06,79,10,1559347200
2019-07,117,12,1561939200
2019-08,115,11,1564617600
2019-09,78,9,1567296000
2019-10,236,20,1569888000
2019-11,99,11,1572566400
2019-12,122,8,1575158400
2020-01,138,13,1577836800
2020-02,99,10,1580515200
2020-03,162,8,1583020800
2020-04,197,11,1585699200
2020-05,191,15,1588291200
2020-06,120,11,1590969600
2020-07,99,14,1593561600
2020-08,180,15,1596240000
2020-09,98,16,1598918400
