YYYY-MM,nCommits,nAuthors,timestamp
2011-05,5,2,1304208000
2011-06,1,1,1306886400
2011-12,2,1,1322697600
2012-01,1,1,1325376000
2012-04,2,1,1333238400
2012-05,1,1,1335830400
2012-07,33,6,1341100800
2012-08,34,12,1343779200
2012-09,78,10,1346457600
2012-10,12,4,1349049600
2012-11,23,8,1351728000
2012-12,54,6,1354320000
2013-01,57,8,1356998400
2013-02,52,13,1359676800
2013-03,27,6,1362096000
2013-04,66,10,1364774400
2013-05,112,15,1367366400
2013-06,55,6,1370044800
2013-07,75,12,1372636800
2013-08,123,13,1375315200
2013-09,40,12,1377993600
2013-10,21,12,1380585600
2013-11,35,12,1383264000
2013-12,60,14,1385856000
2014-01,216,15,1388534400
2014-02,137,15,1391212800
2014-03,205,16,1393632000
2014-04,198,23,1396310400
2014-05,180,17,1398902400
2014-06,154,23,1401580800
2014-07,86,19,1404172800
2014-08,48,13,1406851200
2014-09,28,8,1409529600
2014-10,115,22,1412121600
2014-11,98,14,1414800000
2014-12,143,14,1417392000
2015-01,125,17,1420070400
2015-02,43,15,1422748800
2015-03,86,20,1425168000
2015-04,53,17,1427846400
2015-05,106,17,1430438400
2015-06,41,17,1433116800
2015-07,20,8,1435708800
2015-08,46,12,1438387200
2015-09,51,17,1441065600
2015-10,37,12,1443657600
2015-11,118,31,1446336000
2015-12,151,21,1448928000
2016-01,123,23,1451606400
2016-02,90,13,1454284800
2016-03,53,20,1456790400
2016-04,56,15,1459468800
2016-05,76,17,1462060800
2016-06,61,18,1464739200
2016-07,95,17,1467331200
2016-08,36,19,1470009600
2016-09,53,17,1472688000
2016-10,43,20,1475280000
2016-11,63,15,1477958400
2016-12,42,12,1480550400
2017-01,73,12,1483228800
2017-02,36,11,1485907200
2017-03,46,14,1488326400
2017-04,58,17,1491004800
2017-05,87,47,1493596800
2017-06,70,32,1496275200
2017-07,47,18,1498867200
2017-08,124,23,1501545600
2017-09,65,18,1504224000
2017-10,8,6,1506816000
2017-11,31,10,1509494400
2017-12,58,15,1512086400
2018-01,62,23,1514764800
2018-02,183,27,1517443200
2018-03,22,11,1519862400
2018-04,37,11,1522540800
2018-05,60,15,1525132800
2018-06,88,16,1527811200
2018-07,117,16,1530403200
2018-08,48,12,1533081600
2018-09,89,14,1535760000
2018-10,62,19,1538352000
2018-11,114,23,1541030400
2018-12,116,23,1543622400
2019-01,111,26,1546300800
2019-02,143,23,1548979200
2019-03,356,25,1551398400
2019-04,320,24,1554076800
2019-05,341,25,1556668800
2019-06,293,19,1559347200
2019-07,126,6,1561939200
2019-08,105,8,1564617600
2019-09,193,7,1567296000
2019-10,99,14,1569888000
2019-11,42,7,1572566400
2019-12,70,9,1575158400
2020-01,159,11,1577836800
2020-02,95,8,1580515200
2020-03,204,13,1583020800
2020-04,194,8,1585699200
2020-05,220,13,1588291200
2020-06,85,8,1590969600
2020-07,41,7,1593561600
2020-08,43,12,1596240000
2020-09,49,8,1598918400
