YYYY-MM,nCommits,nAuthors,timestamp
2014-10,125,4,1412121600
2014-11,214,3,1414800000
2014-12,198,3,1417392000
2015-01,257,4,1420070400
2015-02,382,5,1422748800
2015-03,236,7,1425168000
2015-04,193,8,1427846400
2015-05,336,8,1430438400
2015-06,275,8,1433116800
2015-07,243,8,1435708800
2015-08,367,8,1438387200
2015-09,270,14,1441065600
2015-10,102,12,1443657600
2015-11,119,13,1446336000
2015-12,89,10,1448928000
2016-01,138,11,1451606400
2016-02,166,12,1454284800
2016-03,215,17,1456790400
2016-04,219,22,1459468800
2016-05,225,17,1462060800
2016-06,371,21,1464739200
2016-07,438,21,1467331200
2016-08,230,17,1470009600
2016-09,291,22,1472688000
2016-10,340,22,1475280000
2016-11,323,26,1477958400
2016-12,209,20,1480550400
2017-01,342,19,1483228800
2017-02,391,18,1485907200
2017-03,298,20,1488326400
2017-04,345,16,1491004800
2017-05,256,28,1493596800
2017-06,238,25,1496275200
2017-07,227,22,1498867200
2017-08,347,21,1501545600
2017-09,221,19,1504224000
2017-10,212,27,1506816000
2017-11,328,28,1509494400
2017-12,179,23,1512086400
2018-01,205,23,1514764800
2018-02,103,24,1517443200
2018-03,118,23,1519862400
2018-04,155,20,1522540800
2018-05,200,28,1525132800
2018-06,175,32,1527811200
2018-07,210,27,1530403200
2018-08,185,28,1533081600
2018-09,134,29,1535760000
2018-10,136,27,1538352000
2018-11,94,26,1541030400
2018-12,118,34,1543622400
2019-01,89,25,1546300800
2019-02,129,35,1548979200
2019-03,126,27,1551398400
2019-04,133,30,1554076800
2019-05,173,33,1556668800
2019-06,92,27,1559347200
2019-07,180,29,1561939200
2019-08,107,24,1564617600
2019-09,75,28,1567296000
2019-10,76,26,1569888000
2019-11,99,31,1572566400
2019-12,61,20,1575158400
2020-01,51,16,1577836800
2020-02,205,25,1580515200
2020-03,231,28,1583020800
2020-04,142,29,1585699200
2020-05,171,30,1588291200
2020-06,82,19,1590969600
2020-07,161,29,1593561600
2020-08,136,29,1596240000
2020-09,78,24,1598918400
