YYYY-MM,nCommits,nAuthors,timestamp
2005-04,117,3,1112313600
2005-05,648,4,1114905600
2005-06,453,9,1117584000
2005-07,46,4,1120176000
2005-08,136,8,1122854400
2005-09,68,2,1125532800
2005-10,68,4,1128124800
2005-11,52,12,1130803200
2005-12,110,12,1133395200
2006-01,140,10,1136073600
2006-02,126,10,1138752000
2006-03,90,14,1141171200
2006-04,20,5,1143849600
2006-05,16,4,1146441600
2006-06,44,7,1149120000
2006-07,6,2,1151712000
2006-08,22,6,1154390400
2006-09,18,8,1157068800
2006-10,90,8,1159660800
2006-11,122,6,1162339200
2006-12,194,8,1164931200
2007-01,154,6,1167609600
2007-02,134,10,1170288000
2007-03,122,8,1172707200
2007-04,144,8,1175385600
2007-05,96,8,1177977600
2007-06,118,6,1180656000
2007-07,14,2,1183248000
2007-08,110,10,1185926400
2007-09,234,10,1188604800
2007-10,74,8,1191196800
2007-11,128,8,1193875200
2007-12,44,4,1196467200
2008-01,118,10,1199145600
2008-02,166,8,1201824000
2008-03,754,8,1204329600
2008-04,458,6,1207008000
2008-05,144,8,1209600000
2008-06,108,10,1212278400
2008-07,46,6,1214870400
2008-08,176,12,1217548800
2008-09,286,8,1220227200
2008-10,586,6,1222819200
2008-11,290,6,1225497600
2008-12,262,6,1228089600
2009-01,140,6,1230768000
2009-02,170,6,1233446400
2009-03,118,8,1235865600
2009-04,148,6,1238544000
2009-05,74,6,1241136000
2009-06,46,6,1243814400
2009-08,12,6,1249084800
2009-09,22,8,1251763200
2009-10,60,4,1254355200
2009-11,32,6,1257033600
2009-12,46,6,1259625600
2010-01,60,4,1262304000
2010-02,110,6,1264982400
2010-03,86,6,1267401600
2010-04,54,8,1270080000
2010-05,58,4,1272672000
2010-06,30,4,1275350400
2010-07,26,4,1277942400
2010-08,194,8,1280620800
2010-09,142,8,1283299200
2010-10,170,6,1285891200
2010-11,170,10,1288569600
2010-12,52,4,1291161600
2011-01,172,8,1293840000
2011-02,178,8,1296518400
2011-03,128,10,1298937600
2011-04,130,8,1301616000
2011-05,64,4,1304208000
2011-06,84,8,1306886400
2011-07,28,4,1309478400
2011-08,96,6,1312156800
2011-09,152,6,1314835200
2011-10,68,6,1317427200
2011-11,80,6,1320105600
2011-12,22,8,1322697600
2012-01,124,10,1325376000
2012-02,118,8,1328054400
2012-03,54,6,1330560000
2012-04,90,6,1333238400
2012-05,114,6,1335830400
2012-06,64,10,1338508800
2012-07,6,2,1341100800
2012-08,116,10,1343779200
2012-09,42,4,1346457600
2012-10,129,9,1349049600
2012-11,84,6,1351728000
2012-12,106,10,1354320000
2013-01,45,10,1356998400
2013-02,57,6,1359676800
2013-03,45,8,1362096000
2013-04,45,9,1364774400
2013-05,41,6,1367366400
2013-06,78,6,1370044800
2013-07,2,1,1372636800
2013-08,24,4,1375315200
2013-09,42,5,1377993600
2013-10,60,7,1380585600
2013-11,46,8,1383264000
2013-12,42,7,1385856000
2014-01,24,4,1388534400
2014-02,29,6,1391212800
2014-03,105,7,1393632000
2014-04,75,6,1396310400
2014-05,55,4,1398902400
2014-06,34,6,1401580800
2014-07,7,3,1404172800
2014-08,22,5,1406851200
2014-09,48,7,1409529600
2014-10,94,6,1412121600
2014-11,54,9,1414800000
2014-12,56,7,1417392000
2015-01,36,5,1420070400
2015-02,7,2,1422748800
